id,date,exp_date,house_direction,balcony_direction,bedroom,toilet,legit,furniture,floor,facade,entrance,city,district,ward,street,area,price
batdongsan_com_vn_35339744,25/11/2022,05/12/2022,Nam,Bắc,3,2,None,,None,None,None,Hà Nội,Tây Hồ,Phường Phú Thượng,None,100.0,4000.0
batdongsan_com_vn_35747475,28/11/2022,08/12/2022,Nam,Bắc,2,2,Sổ đỏ/ Sổ hồng,,None,None,None,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường Võ Chí Công,80.74,3496.0419999999995
batdongsan_com_vn_35981012,29/11/2022,06/12/2022,None,None,3,3,Sổ đỏ/ Sổ hồng,Đầy đủ,None,None,None,Hà Nội,Cầu Giấy,Phường Yên Hòa,Đường Dương Đình Nghệ,131.0,5900.0
batdongsan_com_vn_35968324,28/11/2022,08/12/2022,None,None,5,None,Sổ đỏ/ Sổ hồng.,Cơ bản.,5,None,None,Hà Nội,Long Biên,Phường Bồ Đề,Đường Bồ Đề,52.0,6750.0
batdongsan_com_vn_35957404,26/11/2022,03/12/2022,None,None,3,2,Sổ đỏ/ Sổ hồng,"Nội thất đầy đủ: Thiết bị điện tử(tivi, tủ lạnh, máy giặt), hệ thống bếp, tủ bếp, điều hòa, giường tủ quần áo...",None,None,None,Hà Nội,Nam Từ Liêm,Thị trấn Cầu Diễn,Đường Hàm Nghi,119.0,5800.0
batdongsan_com_vn_35980998,29/11/2022,06/12/2022,None,None,6,6,Đã có sổ đỏ,Đầy đủ,6,5.1 m,30,Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Phố Xã Đàn,80.0,28000.0
batdongsan_com_vn_35499847,26/11/2022,03/12/2022,None,None,6,4,Sổ đỏ,Đầy đủ.,5,4.6 m,None,Hà Nội,Hà Đông,Phường Quang Trung,Đường Quang Trung,78.0,6100.0
batdongsan_com_vn_35751705,26/11/2022,03/12/2022,None,None,4,3,Sổ đỏ/ Sổ hồng,Đầy đủ.,4,5 m,None,Hà Nội,Hà Đông,Phường Quang Trung,Đường Quang Trung,48.0,6200.0
batdongsan_com_vn_35055115,28/11/2022,05/12/2022,None,None,4,3,Sổ đỏ,Đầy đủ.,4,4 m,None,Hà Nội,Hà Đông,Phường Văn Quán,Đường 19/5,43.0,3800.0
batdongsan_com_vn_35980995,29/11/2022,06/12/2022,None,None,3,4,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,5,4 m,2.5,Hà Nội,Nam Từ Liêm,Phường Phú Đô,Đường Lê Quang Đạo,35.0,4000.0
batdongsan_com_vn_35971010,28/11/2022,05/12/2022,None,None,4,3,Sổ đỏ/ Sổ hồng,Đầy đủ.,4,4.5 m,None,Hà Nội,Thanh Xuân,Phường Nhân Chính,Phố Quan Nhân,51.0,5150.0
batdongsan_com_vn_35635248,28/11/2022,05/12/2022,None,None,4,3,Sổ đỏ/ Sổ hồng.,Đầy đủ.,4,4.1 m,8,Hà Nội,Nam Từ Liêm,Phường Trung Văn,đường Trung Văn,55.0,4800.0
batdongsan_com_vn_33946919,29/11/2022,06/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng.,,None,4.4 m,3,Hà Nội,Thanh Trì,Thị trấn Văn Điển,Đường Ngọc Hồi,58.0,3800.0
batdongsan_com_vn_35778722,28/11/2022,05/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng,Đầy đủ.,None,4.8 m,None,Hà Nội,Hà Đông,Phường Vạn Phúc,Phố Vạn Phúc,35.0,3880.0
batdongsan_com_vn_35948160,25/11/2022,05/12/2022,None,None,2,2,None,,None,None,None,Hà Nội,Nam Từ Liêm,Thị trấn Cầu Diễn,Đường Trần Hữu Dực,80.0,3100.0
batdongsan_com_vn_35888201,28/11/2022,05/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng.,,None,4 m,None,Hà Nội,Long Biên,Phường Thượng Thanh,None,44.0,2700.0
batdongsan_com_vn_35793139,29/11/2022,06/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng.,,None,7 m,8,Hà Nội,Hoàng Mai,Phường Thịnh Liệt,Đường Giải Phóng,336.0,23000.0
batdongsan_com_vn_35980986,29/11/2022,06/12/2022,None,None,4,4,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,5,4 m,3,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,Đường Nhân Mỹ,35.0,4000.0
batdongsan_com_vn_35050433,29/11/2022,06/12/2022,None,None,13,26,None,,6,None,None,Hà Nội,Tây Hồ,Phường Yên Phụ,đường Nghi Tàm,150.0,25500.0
batdongsan_com_vn_35920029,29/11/2022,06/12/2022,Đông,None,None,None,Sổ đỏ/ Sổ hồng,,5,9 m,None,Hà Nội,Cầu Giấy,Phường Nghĩa Đô,Đường Nguyễn Văn Huyên,180.0,88000.0
batdongsan_com_vn_35926414,23/11/2022,23/12/2022,None,None,1,1,Sổ đỏ/ Sổ hồng,,2,3.7 m,5,Hà Nội,Hai Bà Trưng,Phường Đồng Tâm,Phố Lê Thanh Nghị,50.0,11800.0
batdongsan_com_vn_35639367,29/11/2022,06/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng,,None,None,None,Hà Nội,Tây Hồ,Phường Quảng An,Đường Âu Cơ,97.0,9000.0
batdongsan_com_vn_35800157,29/11/2022,06/12/2022,Đông,Đông,5,5,Sổ đỏ/ Sổ hồng,Cao cấp,7,5 m,4,Hà Nội,Ba Đình,Phường Ngọc Hà,Đường Hoàng Hoa Thám,50.0,10400.0
batdongsan_com_vn_35718281,29/11/2022,06/12/2022,None,None,3,3,Sổ đỏ.,Cao cấp.,5,3.5 m,4,Hà Nội,Cầu Giấy,Phường Quan Hoa,Đường Nguyễn Khánh Toàn,36.0,4000.0
batdongsan_com_vn_35737441,29/11/2022,06/12/2022,None,None,3,2,None,,None,None,None,Hà Nội,Hoàng Mai,Phường Đại Kim,Đường Nguyễn Phan Chánh,80.0,2850.0
batdongsan_com_vn_35470139,29/11/2022,06/12/2022,None,None,6,5,Sổ đỏ,Nội thất ngoại nhập.,4,10 m,15,Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Bằng A,200.0,42000.0
batdongsan_com_vn_35672321,29/11/2022,06/12/2022,None,None,4,4,Sổ đỏ/ Sổ hồng,,5,5.5 m,15,Hà Nội,Tây Hồ,Phường Xuân La,Đường Xuân La,85.0,22000.0
batdongsan_com_vn_35817767,29/11/2022,06/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng,,None,6.5 m,20,Hà Nội,Cầu Giấy,Phường Nghĩa Đô,Phố Hoàng Sâm,140.0,21000.0
batdongsan_com_vn_31726450,29/11/2022,06/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng,,None,7 m,15,Hà Nội,Cầu Giấy,Phường Mai Dịch,Đường Dương Khuê,100.0,18000.0
batdongsan_com_vn_35044974,29/11/2022,06/12/2022,None,None,3,4,Sổ đỏ.,,3,8.6 m,25,Hà Nội,Cầu Giấy,Phường Quan Hoa,Đường Nguyễn Khánh Toàn,225.0,70000.0
batdongsan_com_vn_35653190,28/11/2022,05/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng.,Toàn bộ nội thất.,6,None,None,Hà Nội,Hoàng Mai,Phường Lĩnh Nam,Đường Nam Dư,33.0,3150.0
batdongsan_com_vn_35758828,08/11/2022,06/02/2023,Đông - Nam,None,2,1,Sổ hồng chính chủ.,,None,None,None,Hà Nội,Đống Đa,Phường Trung Tự,Đường Tôn Thất Tùng,32.5,1450.0
batdongsan_com_vn_33741785,11/10/2022,09/01/2023,None,None,5,4,Sổ đỏ/ Sổ hồng,Nội thất chất lượng cao,9,8 m,11,Hà Nội,Cầu Giấy,Phường Trung Hòa,Đường Nguyễn Khang,161.0,52900.0
batdongsan_com_vn_35442556,11/10/2022,09/01/2023,None,None,None,None,Đang chờ sổ,Bàn giao Chủ đầu tư,1,None,None,Hà Nội.,Nam Từ Liêm,Phường Tây Mỗ,None,73.3,12000.0
batdongsan_com_vn_35363943,04/10/2022,02/01/2023,Đông - Nam,None,None,None,Đã có sổ đỏ,,None,5 m,4,Hà Nội,Hà Đông,Phường Phú Lãm,Đường 21B,85.0,4420.0
batdongsan_com_vn_35976025,29/11/2022,09/12/2022,Đông - Nam,Đông - Nam,2,2,Sổ đỏ/ Sổ hồng,Đầy đủ,None,None,None,Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 1,Đường Phạm Văn Đồng,70.0,2000.0
batdongsan_com_vn_35980949,29/11/2022,06/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng,,None,5 m,6,Hà Nội,Long Biên,Phường Long Biên,Đường Tư Đình,55.0,4450.0
batdongsan_com_vn_35862205,29/11/2022,06/12/2022,None,None,5,None,Sổ đỏ/ Sổ hồng,Không nội thất.,5,6 m,None,Hà Nội,Long Biên,Phường Ngọc Lâm,Đường Nguyễn Văn Cừ,93.0,10500.0
batdongsan_com_vn_35791591,29/11/2022,09/12/2022,None,None,7,4,Sổ đỏ/ Sổ hồng.,Đầy đủ,5,3.8 m,4,Hà Nội,Thanh Trì,Xã Thanh Liệt,Đường Kim Giang,58.0,8500.0
