,Price,Address,Area,Direction,Facade,Building Line,Floors,Bedrooms,Toilets,Details,Publish Time,Type,ID,District
5,7990,"Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",50.0,None,4.0,6.0,5,4,5,"Cc cần bán nhà trung tâm của quận Ba Đình, view Hồ Tây cực đẹp, vị trí Vip, cạnh ngã 3 Trích Sài. + Nhà có vị trí không thể đẹp hơn nữa, tuy là nhà mặt ngõ nhưng ngõ nông 50m2 thông sang 2 mặt phố Thụy Khuê và Nguyễn Đình Thi, cách đúng 3 bước chân là ta có thể di chuyển ra Hồ Tây lộng gió ngắm cảnh, thể dục. + Nhà mới xây nên còn rất mới, nội thất bên trong cực sang trọng và bắt mắt theo phong cách Châu Âu hiện đại. Gia đình đã cẩn thận và tâm huyết thuê kiến trúc sư về thiết kế ngôi nhà 5 tầng với tổng 4 ngủ và 1 phòng thờ, đặc biệt tầng trên cùng được view Hồ Tây cực đẹp nên gia đình đã thiết kế tiểu cảnh trên đó làm bàn trà là nơi cả gia đình ngồi nghỉ ngơi thư giãn sau 1 ngày làm việc. + Nhà là nơi sống tận hưởng không khí mát mẻ quanh năm, tràn đầy năng lượng, khách có thể sử dụng Kinh Doanh homestay thì quá tuyệt vời bởi giá trị của nhà và vị trí gần Hồ. + Nhà mình sát ngay ngã ba giao phố Văn Cao với Trích Sài và Nguyễn Đình Thi, gần nhà là trụ sở của công an phường nên an ninh cực kì tốt, hàng xóm xung quanh toàn cán bộ trí thức cao. + Là tuyến phố giáp danh với quận Đống Đa, Hoàn Kiếm, Cầu Giấy, ra Note Đào Tấn chừng 5 phút đi xe, nối với Lạc Long Quân, Phan Đình Phùng, đường Thanh Niên, thông sang Liễu Giai, Đội Cấn… đi đâu cũng thuận đường đặc biệt ra Lăng Bác chừng 10 phút. + Sổ đỏ vuông đẹp, chính chủ, giá bán 7.99 tỷ, gia đình có gia lộc cho khách thiện chí mua. + Liên hệ: Nguyễn Minh  0978741699, gia đình chỉ gặp khách thiện chí mua, miễn MG trung gian. Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",25/11/2021,Tin thường,batdongsan_so_com_vn_1673831410.7385442,Tây Hồ
40,12500,"Kim Đồng, Hoàng Mai, Hà Nội",119.0,None,4.0,7.0,5,5,5,"Nhà Mặt ngõ: 1 nhà 5t, R4.5m, 60m2, vỉa hè 2m + 1 Dãy Nhà trọ 60m2 đang cho thuê. Mặt ngõ R7m, thông, cách phố 50m, Kinh doanh sầm uất tại phố KIM ĐỒNG, p. Giáp Bát, q. Hoàng Mai, Hà Nội:  + Thông số: 1 nhà 5t, R4.5m, 60m2, vỉa hè 2m + 1 Dãy Nhà trọ 60m2 đang cho thuê 40 triệu/th. Mặt ngõ R7m, thông, cách phố 50m. Nhà thiết bị nội thất cao cấp, mới sạch ở ngay. + Vị trí khu vực: Nhà Mặt ngõ thông kinh doanh sầm uất, trước nhà đầy đủ các loại hình kinh doanh, 50m ra phố Kim Đồng, cách Bến xe Giáp Bát 200m, Bệnh viện Bạch Mai, Trường ĐH Kinh tế Quốc dân, Đại học Bách Khoa 2 km, đi phố Cổ Hoàn Kiếm 5km. + Giá bán:12.5 tỷ ( Có thương lượng vì chủ nhà rất thiện chí bán). + LH Em Tuấn (24/7): Tư vấn pháp lý, xem BĐS, hỗ trợ sang nhượng miễn phí.  Nhận tìm BĐS các quận Nội thành Hà Nội theo đúng tài chính và yêu cầu về thời gian của Quý anh, chị: Nhiệt tình- chính xác- Nhanh và uy tín (Miễn phí). Cảm ơn Quý anh chị đã xem tin!",17/09/2021,Tin thường,batdongsan_so_com_vn_1673831496.202973,Hoàng Mai
41,17100,"Mặt phố Hoàng Văn Thái, Khương Mai, Thanh Xuân, Hà Nội",79.0,None,4.0,11.0,5,6,None,"Mặt phố Hoàng Văn Thái: 79m2, 5t, Hè R3m, phố R11m Full Nội thất cao cấp, nhà đẹp, đang cho thuê 40 triệu/th; KD sầm uất tất cả các mặt hàng.  + Thông số: Sổ đỏ 79m2, 5 tầng, Hè R3m, phố R11m Full Nội thất cao cấp, nhà đẹp, đang cho thuê 40 triệu/th. + Vị trí khu vực: Nhà Mặt phố, một mặt ngõ sau,, 500m ra Ngã Tư Sở, Bộ Tư lệnh PKKQ, Học viện Khoa học Quân sự; Bệnh viện Bưu điện, 2km ra Đại học Bách Khoa, KTQD, ĐH KHXH& NV; Bến xe; 10km lên Bờ Hồ Hoàn Kiếm. + Giá bán: 17.1 tỷ. ( Có thương lượng vì chủ nhà rất thiện chí bán để giải quyết công việc gia đình). + LH Em Tuấn (24/7): Tư vấn pháp lý, xem BĐS, hỗ trợ sang nhượng miễn phí.  Nhận tìm BĐS các quận Nội thành Hà Nội theo hạn mức tài chính và đúng yêu cầu về thời gian của Quý anh, chị: Nhiệt tình- chính xác- Nhanh và uy tín (Miễn phí). Cảm ơn Quý anh chị đã xem tin!",19/09/2021,Tin thường,batdongsan_so_com_vn_1673831497.3578837,Thanh Xuân
42,9900,"Lê Trọng Tấn, Khương Mai, Thanh Xuân, Hà Nội",46.0,None,4.0,5.0,7,5,None,"Tòa Văn phòng: 7 tầng, 46m2, giá bán 9.9 tỷ. Thang máy, nội thất nhập ngoại tiền tỉ. Gara ô tô 7 chổ. Phố Víp Lê Trọng Tấn nơi tụ hội của giới quan chức cấp cao, tướng lĩnh quân đội. Ở sướng Kinh doanh đỉnh. + Tòa xây mới, 7 tầng, thang máy nhập, đầy đủ thiết bị, nội thất cao cấp; + Thiết kế hiện đại, thông sàn từ tầng 1, 2, 3,4. Các tầng trên bếp, khách, ngủ và phòng thờ. Mặt ngõ rộng 5m, vỉa hè, thông, cách phố Lê Trọng Tấn 200m, bạt ngàn các tòa văn phòng, Công ty. + Pháp lý chuẩn, sổ vuông, + Giá bán 9 tỷ 9 Có thương lượng ( Không tiếp Trung gian). + LH Em Tuấn (24/7) SĐT 0975642126; Tư vấn pháp lý, xem BĐS, hỗ trợ sang nhượng miễn phí.  Nhận tìm các dạng Tòa Văn phòng thang máy kinh doanh, ở sướng tại Khu Víp Lê Trọng Tấn và các quận Nội thành Hà Nội theo hạn mức tài chính và đúng yêu cầu về thời gian của Quý anh, chị: Nhiệt tình- chính xác- Nhanh và uy tín (Miễn phí). Cảm ơn Quý anh chị đã xem tin! ",07/10/2021,Tin thường,batdongsan_so_com_vn_1673831498.554682,Thanh Xuân
47,6800,"Lý Thường Kiệt, Hà Đông, Hà Nội.",45.0,None,4.0,10.0,5,4,None," # Bán nhà mặt phố Lý Thường Kiệt, Hà Đông, ô tô 7 chỗ đỗ cửa, có gara ô tô vào nhà, kinh doanh được nhiều loại hình . DT 40/45mT1, 5T, MT 4.5m. Giá chỉ trên 6 tỷ.  + Vị trí đắc địa mặt phố Lý Thường Kiệt, khu hiếm nhà bán, trung tâm phố nhiều tiện ích.  + Đường trước nhà rộng 3 ô tô tránh, ô tô dừng đỗ ngày đêm, giao thông vô cùng thuận lợi.   + Gần chợ Văn La, trường C1, C2, tiện ích KĐT Văn Phú, phù hợp vừa ở vừa kinh doanh.  + Nhà chủ tự xây 5T khung cột chắc, thiết kế hiện đại, T1 thông sàn, lên trên mỗi tầng 2 phòng rộng thoáng sáng.  + Giá 6.8 tỷ ( có thương lượng ).  + Sổ đỏ chính chủ, sẵn sàng giao dịch.  + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 tỷ.  # LH SĐT: 0906113879 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất",27/02/2022,Tin thường,batdongsan_so_com_vn_1673831504.0100873,Hà Đông
53,9500,"Văn Quán, Hà Đông, Hà Nội",113.0,None,12.0,2.0,1,3,None," #  Hiếm nhà ngõ Văn Quán, Hà Đông, 5m ra ô tô tránh, kinh doanh sầm uất, phù hợp ở, xây tòa nhà CCMN, hay chia 3 lô xây 5T thì đẹp lắm. DT 113m C4, MT 12m, Giá chỉ trên 9 tỷ.  + Vị trí đẹp lý tưởng tại KĐT Văn Quán, phù hợp ở, kinh doanh CCMN, xây chia lô.  + 3 bước chân ra đường ô tô tránh, khu dân trí cao, tiện ích ngập tràn, giao thông vô cùng thuận lợi.  + Gần hồ Văn Quán, trường C2 Văn Yên, chợ Xanh Văn Quán.  + Nhà C4 chủ cần tiền bán gấp rất phù hợp cho các nhà đầu tư hay Anh chị đang cần tìm mua về nơi đây.  + Giá chỉ 9.5 tỷ chủ rất cần bán nhanh trong thời điểm này.  + Sổ đỏ chính chủ, sẵn sàng giao dịch.  + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 tỷ.  # LH SĐT: 0906113879 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất",27/02/2022,Tin thường,batdongsan_so_com_vn_1673831516.023976,Hà Đông
58,9600,"Lê Xuân Điệp, Kiến Hưng, Hà Đông, Hà Nội",63.0,None,5.0,12.0,7,6,None," # Bán nhà LK Kiến Hưng, Hà Đông, phân lô, vỉa hè, kinh doanh, đường 4 ô tô tránh, 7T thang máy, mới kính koong, DT 63m, 7T, MT 5m Giá chỉ 9.6 tỷ.  + Vị trí đắc địa, đẹp thuộc phường Kiến Hưng, nằm trong khu dịch vụ và các tòa chung cư, phù hợp vừa ở vừa làm Văn phòng hoặc kinh doanh.  + Tiện ích quần thể xung quanh chung cư Mipec, trường quốc tế Nhật Bản, chợ, TTTM, Khu vui chơi...không thiếu thứ gì.  + Đường trước nhà rộng 12m 4 ô tô tránh, ô tô dừng đỗ ngày đêm, giao thông vô cùng thuận lợi.  + Nhà chủ tự xây chắc chắn, 7 tầng thang máy nhập, nhà mới tinh, thiết kế đẹp, hiện đại, T1,2,3 thông sàn, lên trên mỗi tầng 2 phòng, gạch, trang thiết bị toàn đồ cao cấp nhập ngoại.  + Giá 9.6 tỷ.  + Sổ đỏ vuông chính chủ, sẵn sàng giao dịch.  + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 tỷ.  # LH SĐT: 0906113879 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất",27/02/2022,Tin thường,batdongsan_so_com_vn_1673831521.4307063,Hà Đông
59,6500,"Ba Đình, Hà Nội",52.0,None,5.0,5.0,5,5,4,"Bán nhà đường Liễu Giai, quận Ba Đình. Lô góc, ô tô đỗ cửa, vào nhà, văn phòng, kinh doanh bất chấp + Khu vực VIP, hàng xóm toàn cán bộ cao cấp.  + Thông số vàng: 52m x 5 tầng, mặt tiền 5.2m,. + Nhà xây đẹp như cung điện - Tầng 1 Gara, bếp, WC - Tầng 2: phòng khách + 1 ngủ + WC - Tầng 3+4: mỗi tầng 2 phòng ngủ +WC - Tầng 5: Phòng thờ + Sân phơi + Giá chào: 6.5 tỷ (có thương lượng) + Sổ đỏ sẵn sàng. Liên hệ: Anh Đức 0988484701",11/12/2021,Tin thường,batdongsan_so_com_vn_1673831522.3881445,Ba Đình
80,3090,Viện rau khu B -TT Trâu Quỳ -Gia Lâm -Hà Nội,60.0, Nam,4.0,7.0,None,None,None,"- Người thân gửi bán hộ thửa đất vị trí đẹp nhiều tiềm năng tại viện nghiên cứu rau qua khu B- TT Trâu Quỳ -Gia Lâm.- Khu vực được học viện Nông Nghiệp I phân cho cán bộ, giáo viên của trường, nằm trọn trong khuôn viên trường bồn mùa thoáng mát, yên tĩnh ,an ninh tốt và dân trí cực cao.- Đất Phân lô bàn cờ, đường thông các ngả, thửa đất vuông vắn như tờ A4, mặt tiền rộng 4m, đường trước đất rộng 6.7m, hướng nam mát mẻ.- Tiện ích xung quanh đầy đủ, gần chợ Trâu Quỳ, trường học và khối hành chính các cấp, giao thông thuận tiện, ngay cạnh đường gom cao tốc và nút giao Cổ Linh, thông Thạch Bàn và Ngô Xuân Quảng,….- Sổ đỏ chính chủ, pháp lý chuẩn, giá đầu tư vô cùng hợp lý chỉ 51.5tr/m2 tiềm năng còn nhiều nhất là khi Gia Lâm sắp lên Quận và đất Trâu Quỳ đang lên từng ngày.Liên hệ xem đất và biết thêm thông tin chi tiết E.Nhật: 0982852808, 0948584888 ",26/02/2022,Tin thường,batdongsan_so_com_vn_1673831582.9215155,Gia Lâm
89,2550,"phố thông phong , quốc tử giám , đống đa , hà nội",70.0,None,4.0,8.0,3,2,3,"CHÍNH CHỦ)  Bán Nhà Ngõ Thông Phong, Tôn Đức Thắng, HN Thông Số: + Diện Tích : 22,5m2x3Tầng ( Móng 5 tầng nhà khung bê tông), DTSD > 70m2, thoáng 02 mặt. Hướng: Đông Nam Giá bán : 2 tỷ 550 triệu (có thương lượng nhẹ). Thiết kế khép kín từng tầng : Tầng 1: Để xe+Bếp từ+ P.Khách+Wc, có Giếng trời thoáng mát. Tầng 2: Phòng Ngủ +Wc Tầng 3: Phòng riêng+Wc+ sân phơi, ban công. + Sổ đỏ chính chủ. Nội thất đầy đủ sang trọng, Khách mua chỉ việc dọn đến ở. Chính chủ để lại toàn bộ đồ gỗi sồi, điều hoà, máy giặt, bếp từ đôi... Nhà nằm vị trí khu vực trung tâm Hà Nội ( gần bệnh viện, trường, chợ, ..), cạnh khu biệt  thự cán bộ cao cấp Thành uỷ Hà nội, đi bộ thể thao thuận tiện 5 phút là ra Văn Miếu, 10 phút đến Lăng Bác và công viên LêNin, cách đường ô tô 50m. Thông sang  Quốc Tử Giám ,Cát Linh .  Mặt tiền riêng. + Liên hệ chính chủ :Ms. Phượng   0978741699 miễn môi giới và trung gian",26/09/2021,Tin thường,batdongsan_so_com_vn_1673831596.5442235,Đống Đa
