price,area,address,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ,description
 80 tỷ , 533 m, Đường Lạc Long Quân. Phường Xuân La. Quận Tây Hồ. Hà Nội,12374565,_,,Cần bán,32m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,25m,5,,---,5,---,"Siêu phẩm nhà sân vườn - đất thổ cư xây cao - view trọn Hồ Tây - vị trí vip trung tâm Hồ Tây.

MẶT PHỐ LẠC LONG QUÂN
- Diện tích 533m².
- Mặt tiền 15m.
- Nhà 5 tầng sân vườn đẹp ở luôn.
- Vị trí tuyệt vời xây khách sạn & toà văn phòng, cafe nhà hàng showroom...
- Sổ đỏ thổ cư, không quy hoạch, lỗi phong thuỷ, vuông vắn nở hậu.
Liên hệ em Huy: 0977 371 - 263 để xem nhà."
 28.9 tỷ , 140 m, Đường Nghĩa Tân. Phường Nghĩa Tân. Quận Cầu Giấy. Hà Nội,8607391,Đông,,Cần bán,10m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,10m,8,,14m,18,---,"CHÍNH CHỦ CẦN BÁN TOÀ NHÀ PHỐ NGHĨA TÂN: 140M, 8 TẦNG THANG MÁY, 18 CĂN HỘ CHỈ 28.9 TỶ
Mô tả: 
+ Nhà hướng chính Đông, Phụ chính Bắc; mới xây vừa đưa vào sử sụng 2019, 140m2 7 tầng thang máy, lô góc ô tô chạy vòng quanh không phải quay đầu khu Hoàng Quốc Việt, Tô Hiệu, Nghĩa Tân.
Tầng 1 thông sàn làm Gara ô tô, lễ tân, phòng bảo vệ; Tầng 2 thông sàn 105m làm hội trường và sân chơi 35m; từ tầng 3 đến tầng 7 mỗi tầng 3 căn hộ khép kín cho tây thuê; tầng 8 Penhouse, tum.
+ Nội thất và kiến trúc hiện đại, đầy đủ GPXD, PCCN đúng đủ theo quy định của pháp luật Việt Nam; giá cho thuê 7,5 triệu/1 căn hộ nếu cho thuê cả nhà khoảng 120 triệu/1 tháng, pháp lý sạch, nhà không lỗi phong thuỷ.
+ Với kinh nghiệm nhiều năm, bằng sự uy tín và trách nhiệm luôn luôn muốn mang tới cho khách hàng những sản phẩm đã được chọn lọc tốt nhất, đẹp nhất đi cùng sự an tâm về tính pháp lý nên quý khách hãy tin tưởng và hoàn toàn yên tâm khi sở hữu căn nhà.
 + Miễn phí cho khách mua từ khâu đi xem nhà đến khi giao dịch thành công. 
+ Ai có nhu cầu xin vui lòng liên hệ Mr Thành, sinh năm 1972.
“TRUNG GIAN VÀ CÁC TRANG Web KHÔNG LÀM PHIỀN”.
“ THÀNH CÔNG BỞI CHỮ TÍN”"
 5.5 tỷ , 42 m, 114C7 Đường Phúc Đồng. Phường Phúc Đồng. Quận Long Biên. Hà Nội,11958924,_,,Cần bán,10m,,Nhà mặt tiền,---,,4m,1,,"10,5m",2,---,"MẢNH ĐẤT VÀNG KHU PHÂN LÔ QĐ CỰC ĐẸP, PHÂN CHO CÁN BỘ CAO CẤP VÀ PHI CÔNG Ở NGAY CỔNG SÂN GOLF LONG BIÊN, RIÊNG DÃY C6 VÀ C7 RỘNG VÀ ĐẸP NHẤT KHU C.

+ Hướng: Đông Bắc.
+ Nhà cấp 4 xác định bán đất, hiện đang để không, sổ ở nhà sẵn sàng giao dịch.
Nhà khu phân lô QĐ, ngay gần cổng sân golf Long Biên, gần nhà và sân VHTT của khu nên rất đẹp. C6, C7 là 2 dãy quay mặt vào nhau lòng đường rộng nhất khu (8m lòng đường và vỉa hè mỗi bên hơn 1m). Thích hợp xây tòa nhà 5 tầng 1 tum thang máy ở miễn bàn hoặc mua giữ tiền đều được.

Ai có nhu cầu liên hệ: Mr Thành.
Chấp nhận trung gian."
 6.5 tỷ , 42 m, Phố Xã Đàn. Phường Thổ Quan. Quận Đống Đa. Hà Nội,12309050,Tây Nam,,Cần bán,"2,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,4m,5,---,11m,4,---,"CHÍNH CHỦ BÁN TOÀ NHÀ 5 TẦNG, THANG MÁY TẠI XÃ ĐÀN, ĐỐNG ĐA: 42M, MT 4M CHỈ TỪ 6.0 - 6.5 TỶ TUỲ CĂN.
+ Nhà hướng: Tây Nam, mới tinh ở tết Quý Mão 2023.
+ Nhà lô góc, cách phố khoảng vài chục mét, lô góc.
+ Thiết kế: Mỗi tầng 1 phòng ngủ và 1wc, thang máy và thang bộ cuối nhà (như ảnh). 
•	HIỆN CÓ 3 TOÀ 5 TẦNG THANG MÁY:
1.	Xã Đàn, Trung Phụng: 42m, 5 tầng, mặt tiền 4m, lô góc, thang máy, giá 6.5 tỷ (Hướng: Tây Nam);
2.	Kim Hoa, Xã Đàn: 42m, 5 tầng, mặt tiền 4m, thang máy,giá 6.2 tỷ (Hướng Đông Nam);
3.	Kim Ngưu, Trần Khát Chân: 41m, 5 tầng, mặt tiền 4.2m, thang máy, giá 6.0 tỷ (Hướng Đông Nam).
+ Với kinh nghiệm nhiều năm, bằng sự uy tín và trách nhiệm luôn luôn muốn mang tới cho khách hàng những sản phẩm đã được chọn lọc tốt nhất, đẹp nhất đi cùng sự an tâm về tính pháp lý nên quý khách hãy tin tưởng và hoàn toàn yên tâm khi sở hữu căn nhà.
 + Miễn phí cho khách mua từ khâu đi xem nhà đến khi giao dịch thành công. 
+ Ai có nhu cầu xin vui lòng liên hệ Mr Thành, sinh năm 1972.
“TRUNG GIAN VÀ CÁC TRANG Web KHÔNG LÀM PHIỀN”.
“ THÀNH CÔNG BỞI CHỮ TÍN”"
 5.5 tỷ , 40 m, Phố Nguyễn Ngọc Vũ. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,12373782,_,,Cần bán,"2,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,4m,4,---,---,4,---,"Bán nhà Nguyễn Ngọc Vũ Cầu Giấy 40m2 - 4t - mặt tiền 4m. 5,5tỷ. Lô Góc, Nở Hậu, Nhà ở luôn 
- Nằm vị trí đẹp gần phố , khu phân lô quân đội, ngõ to 3 gác tránh xe máy chạy vòng quanh. 
- Nhà chủ tự tay thiết kế tỉ mỉ khung cột chắc chắn, nhà lô góc nên các phòng đều thoáng , thiết kế 4 phòng ngủ 
- Xung quanh nhiều tiện ích gần các trường đại học, công viên , bệnh viện, cơ quan nhà nước. 
- Sổ đỏ nở hậu giao dịch ngay 
- Liên Hệ Phi Hùng để được tư vấn xem nhà mua nhà miễn phí."
 21.5 tỷ , 65 m, Đường Hồ Tùng Mậu. Phường Mai Dịch. Quận Cầu Giấy. Hà Nội,12373303,_,,Cần bán,20m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"4,5m",5,,14m,4,---,"MẶT PHỐ KD SẦM UẤT TẬP NẬP NHẤT CẦU GIẤY - HAI THOÁNG - VỈA HÈ 10M - KINH DOANH VÔ ĐỊCH PHÙ HỢP MỌI LOẠI HÌNH. 

+ Vị trí đẹp nhất phố, đoạn vỉa hè rộng nhất, hai thoáng, ngõ sau ô tô vào tận nơi, kết nối giao thông tuyệt vời, vào nội đô đi liên tỉnh đều tiện, hạ tầng hiện đại đồng bộ. 
+ Nhà xây 5 tầng khung cột bê tông chắc chắn lên thêm tầng vô tư: 
- T1,2: Thông sàn, wc. 
- T3,4: Tầng hai phòng khép kín. 
- T5: Phòng thờ, kho, sân phơi. 
+ Hiện đang cho thuê cả nhà 60triệu/tháng.
+ Sổ đỏ đẹp, sẵn sàng giao dịch.

Liên hệ tư vấn em Cương xem nhà miễn phí 24/7 ạ."
 4.45 tỷ , 56 m, Đường Mai Động. Phường Mai Động. Quận Hoàng Mai. Hà Nội,12084223,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,4,,---,4,---,"CHỦ CẦN TIỀN BÁN GẤP NHÀ MAI ĐỘNG - DTSD 56M2, LÔ GÓC 3 THOÁNG - 4 TẦNG - 4PN - TIỆN ÍCH NGẬP TRÀN - GIÁ 4.45 TỶ

- Nhà dân xây cực kỳ đẹp và chắc chắn.
- Nhà nằm cạnh Times City, lô góc 3 thoáng, mặt ngõ 3 gác tránh. 
- Khu vực trung tâm vô vàn tiện ích, giáp ranh hai quận Hoàng Mai và Hai Bà Trưng, gần các trường cấp 1, 2, 3. Gần chợ đầu mối phía Nam thỏa sức mua hàng giá rẻ. 
- Hàng xóm Times City thừa hưởng luôn các tiện ích đẳng cấp.
- Nhà thiết kế cực kỳ thoáng, phòng nào cũng có cửa sổ, đầy đủ công năng, khách chỉ việc sách vali về ở.
Tầng 1: phòng ngoài để 6 xe máy + phòng khách
Tầng 2: bếp, phòng ăn, 1 phòng ngủ + WC.
Tầng 3: 2 phòng ngủ + WC.
Tầng 4: 1 phòng ngủ, sân phơi + phòng thờ
Sổ đỏ vuông vắn, giao dịch phút mốt"
 1.45 tỷ , 15 m, Phố Hồng Mai. Phường Bạch Mai. Quận Hai Bà Trưng. Hà Nội,12371082,Đông Nam,,Cần bán,2m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,3m,3,---,---,2,---,"Bán nhà chính chủ phố Bạch Mai, Hai Bà Trưng, 1,45 tỷ.
Nhà đất bán có diện tích: 15m² x 3,5 tầng, ngõ thông, khu an ninh tốt, gần chợ, trường tiện sinh hoạt.
Sổ đỏ chính chủ. Giao nhà ngay.
Nội thất tặng kèm nhiều đồ cơ bản: Giường, tủ, bếp, điều hòa, nóng lạnh, tủ lạnh...
Giá bán: 1,45 tỷ (có thỏa thuận)"
 15.45 tỷ , 55 m, 40 Phố Tạ Quang Bửu. Phường Bách Khoa. Quận Hai Bà Trưng. Hà Nội,12371061,Nam,,Cần bán,6m,,Nhà trong hẻm,---,,7m,6,,---,4,---,"Bán nhà phân lô phố Tạ Quang Bửu, phường Bách Khoa, HBT.

Bán nhà khu phân lô cán bộ Bách Khoa, mặt ngõ 40 Tạ Quang Bửu. Khu vực dân trí, gần các trường Bách Khoa, Xây Dựng. Vị trí rất đẹp,
- Diện tích: 55m² (Xây mới 6 tầng thang máy). Mặt tiền 8m. Lô góc 2 ngõ.
- Ngõ rộng ô tô đỗ cửa.
- Sổ đỏ chính chủ, thiện chí bán.
Giá bán nhỉnh 15, xxx tỷ (thoả thuận)."
 5 tỷ , 48 m, 364 Đường Minh Khai. Phường Vĩnh Tuy. Quận Hai Bà Trưng. Hà Nội,12371046,Nam,,Cần bán,2m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,5m,5,---,---,3,---,"Bán nhà lô góc 48m² x 5 tầng: Ngõ 364 Minh Khai, Hai Bà Trưng gần Times City.
+ Địa chỉ: Ngõ 364 Minh Khai, phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội.
+ Diện tích: 48m², 5 tầng, 3 ngủ, 4 WC, bếp, khách, phòng thờ, sân phơi.
Lô góc 2 mặt thoáng, view nhìn khuôn viên chung cư Green Pearl.
Mặt tiền: 4.8m.
Cửa nhà: Hướng Nam.
Đầy đủ tủ bếp, sàn gỗ, nhà mới xây hoàn thiện Đẹp long lanh.
Đường vào ngõ rộng, có sân, cổng để xe thoải mái.
Giá 5 tỷ"
