,price,area,Hướng,Phòng ăn,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Số lầu,Chổ để xe hơi,Số phòng ngủ,Chính chủ,city,district,ward,street
0,38400000,160.0,None,1,20.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,3,1,4,0, Hà Nội, Quận Nam Từ Liêm, Phường Xuân Phương, Đường 70
1,295000,155.0,None,1,20.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,5,1,6,0, Hà Nội, Quận Bắc Từ Liêm, Phường Tây Tựu, Đường Văn Tiến Dũng
2,113000,79.0,None,1,20.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,5,1,4,0, Hà Nội, Quận Nam Từ Liêm, Phường Phương Canh, Đường 70
3,4928,64.0,None,1,15.0,1,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,1,None,1,None,0, Hà Nội, Huyện Hoài Đức, Xã Vân Canh, Tỉnh Lộ 422B
4,137000,95.0,None,1,15.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,5,1,6,0, Hà Nội, Quận Nam Từ Liêm, Phường Phương Canh, Đường 70
5,116000,95.0,None,1,15.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,5,1,6,0, Hà Nội, Quận Nam Từ Liêm, Phường Phương Canh, Đường 70
6,92000,79.0,None,1,15.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,5,1,4,0, Hà Nội, Quận Nam Từ Liêm, Phường Xuân Phương, Đường 70
7,240000,154.0,None,1,17.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,3,1,4,0, Hà Nội, Quận Nam Từ Liêm, Phường Xuân Phương, Đường 70
8,30400000,152.0,None,1,15.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,5,1,4,0, Hà Nội, Quận Nam Từ Liêm, Phường Xuân Phương, Đường 70
9,10605000,101.0,None,1,15.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,4,1,4,0, Hà Nội, Huyện Hoài Đức, Xã Vân Canh, Tỉnh Lộ 422B
10,25160000,136.0,None,1,15.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,5,1,6,0, Hà Nội, Quận Nam Từ Liêm, Phường Xuân Phương, Đường 70
11,24025000,155.0,None,1,15.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,4,1,6,0, Hà Nội, Huyện Hoài Đức, Xã Vân Canh, Tỉnh Lộ 422B
12,147000,150.0,None,1,17.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,4,1,4,0, Hà Nội, Huyện Hoài Đức, Xã Vân Canh, Tỉnh lộ 422
13,160000,90.0,None,1,20.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,5,1,4,0, Hà Nội, Quận Nam Từ Liêm, Phường Xuân Phương, Đường 70
14,330000,180.0,None,1,17.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,3,1,6,0, Hà Nội, Quận Nam Từ Liêm, Phường Phương Canh, Đường 70
15,160000,90.0,None,1,17.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,5,1,4,0, Hà Nội, Quận Nam Từ Liêm, Phường Xuân Phương, Đường 70
16,82000,100.0,None,1,13.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,5,1,4,0, Hà Nội, Huyện Hoài Đức, Xã Vân Canh, Tỉnh Lộ 422B
17,129000,93.0,None,1,20.0,1,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1,4,1,4,0, Hà Nội, Quận Nam Từ Liêm, Phường Phương Canh, Phố Hòe Thị
18,41160000,168.0,None,1,17.0,1,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,1,3,1,4,0, Hà Nội, Quận Nam Từ Liêm, Phường Xuân Phương, Đường 70
