price,area,address,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
 24 tỷ / m, 160 m, Đường 70. Nan Từ Liêm. Hà Nội. Đường 70. Phường Xuân Phương. Quận Nam Từ Liêm. Hà Nội,11317900,_,,Cần bán,20m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,10m,3,,---,4,---
 29.5 tỷ , 155 m, Tây Thăng Long. Bắc Từ Liêm. Hà Nội. Đường Văn Tiến Dũng. Phường Tây Tựu. Quận Bắc Từ Liêm. Hà Nội,11703782,_,,Cần bán,20m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,"8,5m",5,,---,6,---
 11.3 tỷ , 79 m, Đường 70. Phường Phương Canh. Quận Nam Từ Liêm. Hà Nội,11676472,_,,Cần bán,20m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,5m,5,,---,4,---
 77 triệu / m, 64 m, Đường 70. Nam Từ Liêm. Hà Nội. Tỉnh Lộ 422B. Xã Vân Canh. Huyện Hoài Đức. Hà Nội,11680863,_,,Cần bán,15m,,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,,"4,2m",---,,---,---,---
 13.7 tỷ , 95 m, Đường 70. Nam Từ Liêm. Hà Nội. Đường 70. Phường Phương Canh. Quận Nam Từ Liêm. Hà Nội,11638070,_,,Cần bán,15m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,6m,5,,---,6,---
 11.6 tỷ , 95 m, Đường 70. Nam Từ Liêm. Hà Nội. Đường 70. Phường Phương Canh. Quận Nam Từ Liêm. Hà Nội,11638024,_,,Cần bán,15m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,5m,5,,---,6,---
 9.2 tỷ , 79 m, Đường 70. Nam Từ Liêm. Hà Nội. Đường 70. Phường Xuân Phương. Quận Nam Từ Liêm. Hà Nội,11649123,_,,Cần bán,15m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,5m,5,,---,4,---
 24 tỷ , 154 m, Đường 70. Phường Xuân Phương. Quận Nam Từ Liêm. Hà Nội,11658507,_,,Cần bán,17m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,9m,3,,---,4,---
 20 tỷ / m, 152 m, Đường 70. Nam Từ Liêm. Hà Nội. Đường 70. Phường Xuân Phương. Quận Nam Từ Liêm. Hà Nội,11606990,_,,Cần bán,15m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,7m,5,,---,4,---
 10.5 tỷ / m, 101 m, Đường 70. Nam Từ Liêm. Hà Nội. Tỉnh Lộ 422B. Xã Vân Canh. Huyện Hoài Đức. Hà Nội,11607151,_,,Cần bán,15m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,5m,4,,---,4,---
 18.5 tỷ / m, 136 m, Đường 70. Nam Từ Liêm. Hà Nội. Đường 70. Phường Xuân Phương. Quận Nam Từ Liêm. Hà Nội,11616830,_,,Cần bán,15m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,8m,5,,---,6,---
 15.5 tỷ / m, 155 m, Đường 70. Nam Từ Liêm. Hà Nội. Tỉnh Lộ 422B. Xã Vân Canh. Huyện Hoài Đức. Hà Nội,11616617,_,,Cần bán,15m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,8m,4,,---,6,---
 14.7 tỷ , 150 m, Tỉnh lộ 422. Xã Vân Canh. Huyện Hoài Đức. Hà Nội,11857575,_,,Cần bán,17m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,7m,4,,---,4,---
 16 tỷ , 90 m, Đường 70. Phường Xuân Phương. Quận Nam Từ Liêm. Hà Nội,11857488,_,,Cần bán,20m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,6m,5,,---,4,---
 33 tỷ , 180 m, Đường 70. Phường Phương Canh. Quận Nam Từ Liêm. Hà Nội,11937236,_,,Cần bán,17m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,10m,3,,---,6,---
 16 tỷ , 90 m, Đường 70. Phường Xuân Phương. Quận Nam Từ Liêm. Hà Nội,11937319,_,,Cần bán,17m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,6m,5,,---,4,---
 8.2 tỷ , 100 m, Tỉnh Lộ 422B. Xã Vân Canh. Huyện Hoài Đức. Hà Nội,11937365,_,,Cần bán,13m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,5m,5,,---,4,---
 12.9 tỷ , 93 m, Hòe Thị. Nam Từ Liêm. Hà Nội. Phố Hòe Thị. Phường Phương Canh. Quận Nam Từ Liêm. Hà Nội,11994406,_,,Cần bán,20m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,6m,4,,---,4,---
 24.5 tỷ / m, 168 m, Đường 70. Nam Từ Liêm. Hà Nội. Đường 70. Phường Xuân Phương. Quận Nam Từ Liêm. Hà Nội,12044426,_,,Cần bán,17m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,10m,3,,---,4,---
 7.5 tỷ , 45 m, Phố Đội cấn. Phường Cống Vị. Quận Ba Đình. Hà Nội,12070632,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"5,2m",5,---,9m,4,---
 7.5 tỷ , 45 m, Phố Đội cấn. Phường Cống Vị. Quận Ba Đình. Hà Nội,12070644,_,,Cần bán,"3,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,5m,5,,9m,4,---
 14 tỷ , 58 m, Đường Điện Biên Phủ. Phường Điện Biên. Quận Ba Đình. Hà Nội,12070439,_,---,Cần bán,4m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,8m,6,---,"7,5m",8,---
 5.8 tỷ , 36 m, Đường Ngọc Hà. Phường Đội Cấn. Quận Ba Đình. Hà Nội,12066788,Đông Nam,---,Cần bán,"2,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"3,6m",5,---,10m,3,---
 1.98 tỷ , 21 m, Đường Thụy Khuê. Phường Quảng An. Quận Tây Hồ. Hà Nội,12122947,_,,Cần bán,1m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,8m,3,,25m,2,---
 10.4 tỷ , 85 m, Phố Bồ Đề. Phường Bồ Đề. Quận Long Biên. Hà Nội,12122585,_,---,Cần bán,6m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"5,4m",1,---,"15,7m",---,---
 10.7 tỷ , 52 m, Đường Phan Đình Phùng. Phường Nguyễn Trung Trực. Quận Ba Đình. Hà Nội,12122689,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"4,4m",4,---,12m,4,---
 45 tỷ , 170 m, Phố Cửa Bắc. Phường Nguyễn Trung Trực. Quận Ba Đình. Hà Nội,12114676,_,---,Cần bán,7m,---,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,"8,5m",5,---,20m,6,---
 6.89 tỷ , 30 m, Phố Quang Trung. Phường Hàng Trống. Quận Hoàn Kiếm. Hà Nội,12116792,_,---,Cần bán,5m,---,Nhà trong hẻm,---,---,"4,2m",3,---,8m,2,---
 42.5 tỷ , 64 m, Phố Hàng Cá. Phường Hàng Bồ. Quận Hoàn Kiếm. Hà Nội,12116510,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,"3,9m",2,---,24m,1,---
 3 tỷ , 22 m, Phố Giang Văn Minh. Phường Cống Vị. Quận Ba Đình. Hà Nội,12110208,_,,Cần bán,"4,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,34m,6,,7m,3,---
 13 tỷ , 45 m, Đường Hồng Hà. Phường Cống Vị. Quận Ba Đình. Hà Nội,10688571,_,---,Cần bán,8m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"3,6m",5,---,"12,5m",4,---
 24.3 tỷ , 150 m, Đường Nguyễn Sơn. Phường Ngọc Lâm. Quận Long Biên. Hà Nội,11695490,_,---,Cần bán,18m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,5m",2,---,33m,3,---
 33 tỷ , 130 m, Phố Lý Nam Đế. Phường Hàng Mã. Quận Hoàn Kiếm. Hà Nội,12097570,_,,Cần bán,5m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,5m,4,,26m,4,---
 16.8 tỷ , 30 m, Phố Lý Nam Đế. Phường Hàng Mã. Quận Hoàn Kiếm. Hà Nội,12127747,_,---,Cần bán,12m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"3,6m",4,---,9m,1,---
 8 tỷ , 45 m, Phố Tân Ấp. Phường Phúc Xá. Quận Ba Đình. Hà Nội,12160261,_,---,Cần bán,6m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,5,---,11m,3,---
 6.95 tỷ , 39 m, Đường Thạch Bàn. Phường Thạch Bàn. Quận Long Biên. Hà Nội,12030286,_,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"3,7m",5,---,---,3,---
 9.9 tỷ , 55 m, Phố Bồ Đề. Phường Bồ Đề. Quận Long Biên. Hà Nội,11997990,_,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,5,---,---,4,---
 14.9 tỷ , 50 m, Phố Đặng Tiến Đông. Phường Trung Liệt. Quận Đống Đa. Hà Nội,12045715,_,---,Cần bán,7m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"7,1m",8,---,---,6,---
 5.15 tỷ , 28 m, Phố Kim Ngưu. Phường Thanh Lương. Quận Hai Bà Trưng. Hà Nội,11930799,_,,Cần bán,5m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,8m",4,---,---,2,---
 2.15 tỷ , 17 m, Phố Khâm Thiên. Phường Khâm Thiên. Quận Đống Đa. Hà Nội,11932536,_,,Cần bán,2m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,3m,4,---,---,3,---
 15.5 tỷ , 53 m, Đường Tam Khương. Phường Khương Thượng. Quận Đống Đa. Hà Nội,11938894,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,2m",7,,---,4,---
 2.78 tỷ , 22 m, Phố Vọng. Phường Đồng Tâm. Quận Hai Bà Trưng. Hà Nội,11939865,_,,Cần bán,"2,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,2m",4,---,---,2,---
 17.9 tỷ , 65 m, Phố Hoàng Văn Thái. Phường Khương Trung. Quận Thanh Xuân. Hà Nội,11941138,_,,Cần bán,5m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"3,9m",7,,---,10,---
 11.4 tỷ , 50 m, Đường Yên Lãng. Phường Láng Hạ. Quận Đống Đa. Hà Nội,11961624,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,5m",6,---,---,6,---
 3.9 tỷ , 34 m, Phố Tôn Đức Thắng. Phường Văn Chương. Quận Đống Đa. Hà Nội,12077428,_,,Cần bán,"2,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,6m",4,---,---,4,---
 26 tỷ , 75 m, Phố Lê Trọng Tấn. Phường Khương Mai. Quận Thanh Xuân. Hà Nội,9714295,_,,Cần bán,20m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,6m,9,,12m,12,---
 14 tỷ , 110 m, Phố Bạch Mai. Phường Bạch Mai. Quận Hai Bà Trưng. Hà Nội,9907552,_,---,Cần bán,5m,---,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,---,5m,8,---,22m,32,---
 11.5 tỷ , 100 m, Phố Trần Đại Nghĩa. Phường Đồng Tâm. Quận Hai Bà Trưng. Hà Nội,9932688,_,---,Cần bán,5m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,7,---,20m,24,---
 125 tỷ , 240 m, Phố Đội cấn. Phường Cống Vị. Quận Ba Đình. Hà Nội,9720558,_,,Cần bán,20m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,8m,11,,30m,12,---
 25.5 tỷ , 80 m, Phố Lê Trọng Tấn. Phường Khương Mai. Quận Thanh Xuân. Hà Nội,9761469,_,,Cần bán,20m,,Nhà mặt tiền,---,,"6,5m",5,,14m,6,---
 72.5 tỷ , 335 m, Đường 19 tháng 5. Phường Văn Quán. Quận Hà Đông. Hà Nội,9961029,_,,Cần bán,30m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,16m,4,,22m,6,---
 20 tỷ , 130 m, Phố Nguyễn Viết Xuân. Phường Khương Đình. Quận Thanh Xuân. Hà Nội,10044630,_,,Cần bán,10m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"6,2m",5,,23m,8,---
 26 tỷ , 140 m, Đường Minh Khai. Phường Minh Khai. Quận Hai Bà Trưng. Hà Nội,10082423,_,---,Cần bán,40m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,6m,4,---,23m,4,---
 19 tỷ , 70 m, Phố Bạch Mai. Phường Bạch Mai. Quận Hai Bà Trưng. Hà Nội,10073413,_,---,Cần bán,30m,---,Nhà mặt tiền,---,---,5m,4,---,14m,6,---
 41.5 tỷ , 106 m, Phố Mai Anh Tuấn. Phường Nam Đồng. Quận Đống Đa. Hà Nội,11987116,_,,Cần bán,24m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"6,5m",3,,---,5,---
 32 tỷ , 89 m, Phố Liễu Giai. Phường Liễu Giai. Quận Ba Đình. Hà Nội,11939044,_,---,Cần bán,5m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,6m,9,---,---,18,---
 170 tỷ , 350 m, Đường Cầu Giấy. Phường Dịch Vọng. Quận Cầu Giấy. Hà Nội,12180828,_,---,Cần bán,22m,---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,---,30m,9,---,---,60,---
 8 tỷ , 69 m, Địa điểm BĐ Phố Kim Ngưu. Quận Hai Bà Trưng. Hà Nội,12178351,_,---,Cần bán,5m,---,Nhà trong hẻm,---,---,6m,4,---,---,3,---
 67 tỷ , 160 m, Đường Kim Mã. Phường Ngọc Khánh. Quận Ba Đình. Hà Nội,11939131,_,---,Cần bán,7m,---,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,12m,5,---,---,5,---
