address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Pháp lý,Nội thất,Đường vào
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', '136', 'Goldmark City']","
VPBH CĐT Kính gửi anh chị khách hàng thông tin chi tiết 15 căn mở bán duy nhất trong tháng các tòa Ruby và Saphire - Goldmark City - 136 Hồ Tùng Mậu:* Căn 2PN 2WC:- Căn R2.1501, căn số 01, tầng 15, tòa Ruby 2, 74,5m², có ban công. Ban công TN, cửa ĐB, view bể bơi, nhìn toàn bộ quảng trường Ruby, căn mát không bị nắng, full nội thất, giá 2,250 tỷ.- Căn R2.1016, căn số 16, tầng 10, tòa Ruby 2, 84m², ban công ĐN, cửa TB, view quảng trường Ruby, căn hướng mát, full nội thất, giá 2,2 tỷ.- Căn R2.2011, căn số 11, tầng 20, tòa Ruby 2, 83m², ban công TB, cửa ĐN, view thành phố, nhìn được sông Nhuệ, núi Tản Viên Ba Vì, full nội thất, giá từ 2,230 tỷ.- Căn R3. 2212, căn số 12, tầng 22, tòa Ruby 3, 83,38m², ban công ĐN, cửa TB, view thành phố, hồ điều hòa, hướng mát, căn đẹp, full nội thất, giá 2,280 tỷ.- Căn R3.2508, căn số 08, tầng 25, tòa Ruby 3, 83,6m², ban công ĐN, cửa TB, view thành phố, hồ điều hòa, căn mát, view đẹp, full nội thất, giá 2,190 tỷ.- Căn S3.1116, căn số 16, tầng 11, tòa Sapphire 3, 83,38m², ban công TN, cửa ĐB, view quảng trường Sapphire, nội thất chủ đầu tư, nhà mới chưa ở, giá 2,280 tỷ.- Căn S3.1811, căn số 11, tầng 18, tòa Sapphire 3, 83,46m², ban công ĐB, cửa TN, view quảng trường nước R4, con đường lễ hội, nhà mới nhận bàn giao, cắt lỗ 2,325 tỷ.- Căn S3. 2805, căn số 05, tầng 28, tòa S3, 83,38m², ban công TN, cửa ĐB, view Hồ Tùng Mậu, Mỹ Đình, cắt lỗ 2,3 tỷ.- Căn S4.1001, căn số 01, tầng 10, tòa S4, có ban công, 74m², view quảng trường Sapphire, bể bơi, full nội thất, giá 2,350 tỷ.- Căn S4. 2611, căn số 11, tầng 26, tòa S4, ban công TN, cửa ĐB, view trung tâm Mỹ Đình, full nội thất, giá 2,480 tỷ.* Căn 3PN - 2WC:- Căn S3.1615, căn số 15, tầng 16, ban công TN, cửa ĐB, 100m², view quảng trường Sapphire, bể bơi, nội thất CĐT, giá 2,8 tỷ.- Căn S4.2114, căn số 14, tầng 21, 100m², ban công TN, cửa ĐB, view trung tâm Mỹ Đình, HTM, full nội thất, giá 2,950 tỷ.- Căn R4.1915, căn số 15, tầng 14, 110,52m², ban công ĐN, cửa TB, view quảng trường nước, thành phố, hồ điều hòa, full nội thất, giá 3,350 tỷ.- Căn R1.1809, căn số 09, tầng 18, 139m², ban công TN, cửa ĐB, view quảng trường quảng trường Sapphire, con đường lễ hội, căn góc, hướng mát, full nội thất, giá 3,3 tỷ.* Căn 4PN - 3WC:- Căn R4. 2013, căn số 13, tầng 20, 160m², nội thất cơ bản đẹp và một số nội thất rời, giá bán 4,1 tỷ.Anh chị có nhu cầu mua và xem nhà liên hệ hotline:Mr Hùng 0967 613 ***Quý khách hàng vui lòng không nhắn tin Zalo, xin cảm ơn).            ",83 m²,2.25 tỷ,Đông - Nam,Tây - Nam,2 phòng,2 phòng,18/11/2022,28/11/2022,Tin Vip đặc biệt,35880595,batdongsan_com_vn_35880595,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Định Công Thượng']","
Chính chủ cần bán nhà riêng tại ngách 96, ngõ 230 Định Công Thượng, Hoàng Mai, Hà Nội.- Diện tích: 32m².- Dài 3,2m, sâu 10m.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- Nhà chính chủ tự xây chắc chắn, thiết kế 4 tầng + ) tầng 1: Bếp + để xe + WC.+ ) tầng 2: Phòng khách.+ ) tầng 3: 1 ngủ + 1 WC.+ ) tầng 4: 1 ngủ + 1WC.+ ) tầng 5: Kho + Phòng thờ + sân phơi).- Chủ nhà để lại toàn bộ nội thất cơ bản.- Cách ngõ 230 Định Công Thượng 20m (Ngõ taxi vào được).- Khu vực có nhiều bãi đỗ oto và chợ dân sinh,gần Trường học mầm non, cấp 1,...  (Chợ Thượng, Chợ Cầu Lủ).- Giá: 3 tỷ 815 triệu (có thương lượng).- Liên hệ: Anh Cường (Chính chủ) - 0978102007.(Miễn môi giới, trung gian).            ",32 m²,3.815 tỷ,,,,,25/11/2022,10/12/2022,Tin Vip đặc biệt,35949025,batdongsan_com_vn_35949025,3.2 m,4 tầng,"Sổ đỏ chính chủ, sẵn sàng giao dịch",Cơ bản,
"['Hà Nội', 'Sơn Tây', 'Xã Cổ Đông', 'Đường 21']","
Bánh nhanh lô góc 2 mặt tiền, sẵn sổ đỏ, full thổ cư, nằm trung tâm hành chính xã, khu vực dân cư đông đúc, kinh doanh sầm uất.- Chỉ 10 phút về khu công nghệ cao Hoà Lạc.- 10 phút về tới tổ hợp các trường ĐHQG và ĐH FPT.- Ngay ngã tư Lục quân.            ",61 m²,700 triệu,Đông - Nam,,,,25/11/2022,05/12/2022,Tin Vip đặc biệt,35949034,batdongsan_com_vn_35949034,6 m,,Sổ đỏ/ Sổ hồng.,,6 m
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án The Tonkin - Vinhomes Smart City']","
Quỹ căn ngoại giao đảm bảo giá rẻ nhất thị trường chung cư Vinhomes Smartcity.Nhận nhà luôn, hỗ trợ lãi suất đến 2024.- Căn Studio: 24 - 35m² giá từ 1.15 tỷ đến 1.4 tỷ.- Căn 1PN + 1: 43 - 48m² giá từ 1.6 tỷ đến 1.9 tỷ.- Căn 2PN: 55m² giá từ 2 tỷ đến 2.3 tỷ.- Căn 2PN + 1: Từ 64m² giá từ 2.5 tỷ đến 2.9 tỷ.- Căn 3PN: 75m - 94m - 97m² giá từ 2.9 tỷ - 3.7 tỷ - 4.3 tỷ.Oto đưa đón đi xem dự án và xem trực tiếp căn hộ.Gọi ngay 0967 016 *** Em Duyên để được hỗ trợ nhiệt tình 24/24.            ",35 m²,1.4 tỷ,Tây - Bắc,Đông - Nam,,,25/11/2022,05/12/2022,Tin Vip đặc biệt,35829049,batdongsan_com_vn_35829049,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Bằng Liệt', 'Dự án Hà Nội Melody Residences']","
Chiết khấu 35%, hỗ trợ 24 tháng không lãi, giá cực tốt dành cho khách hàng.Tên dự án: Hà Nội Melody Residences.Vị trí: Khu đô thị Tây Nam Linh Đàm, Hoàng Mai, Hà Nội.Đơn vị phân phối: Hưng Thịnh Land.Liên hệ Phòng kinh doanh CĐT Hưng Thịnh: 0976 491 *** hoặc 0966 239 ***HaNoi Melody Residences là tổ hợp thương mại và căn hộ cao cấp nhất khu đô thị Linh Đàm do tập đoàn Hưng Thịnh làm chủ đầu tư.Hà Nội Melody Linh Đàm gồm 4 tòa tháp chung cư cao 29 tầng được thiết kế hiện đại và tinh tế với hơn 2000 căn hộ cao cấp có diện tích đa dạng từ 67m² đến 145m², công năng từ 2 đến 3 phòng ngủ.* Chiết khấu:- Chiết khấu 7% giá trị căn hộ cho khách hàng không vay ngân hàng.- Thanh toán sớm: Chiết khấu 31%.- Giảm 50% phí dịch vụ trong 2 năm.- Ngân hàng hỗ trợ vay 70% giá trị căn hộ, Ân hạn gốc và lãi suất 0% trong 24 tháng.* Căn 2 PN thiết kế:+ Căn hộ gồm: Phòng khách, bếp, 2 PN, 2PVS, 2 ban công logia.+ Diện tích: 67m² - 74m² - 75m² - 87m² - 89m².* Căn 3 PN thiết kế:+ Căn hộ gồm: Phòng khách, bếp, 3 PN, 2PVS, 2 ban công logia.+ Diện tích: 120m² - 128m² - 145m².* Tiện ích nội khu chuẩn quốc tế:Hồ bơi, vườn dạo bộ, khu vui chơi trẻ em.Khu TDTT (tennis, bóng rổ, bơi... ).Khu BBQ ngoài trời.Khu TTTM, nhà trẻ, gym, spa...Phòng lánh nạn, an ninh đảm bảo 24/7...Liên hệ Phòng kinh doanh CĐT Hưng Thịnh: 0976 491 *** hoặc 0966 239 *** ",73.6 m²,31 triệu/m²,Đông - Bắc,Tây - Nam,2 phòng,2 phòng,21/11/2022,01/12/2022,Tin Vip đặc biệt,35336054,batdongsan_com_vn_35336054,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Dự án Sunshine City']","
Chung cư Sunshine City - Bắc Từ Liêm - Ciputra.* LH: 0398 732 *** - phòng kinh doanh Sunshine City.Cam kết giá tốt nhất! (tư vấn mọi thủ tục sổ đỏ + ngân hàng).Bảng hàng hot 30 căn ký trực tiếp CĐT chiết khấu lên đến 20% Cam kết chính sác mới nhất tốt nhất đến quý khách hàng.(Cam kết còn hàng, giá chuẩn).Hot mẫu 3 ngủ:* S2 - căn góc View biệt thự bể bơi giá 4670 bao phí Full đồ.- 97m² thông thủy.* S1 - 05 tầng trung (3PN 2WC).- 98m² thông thủy, căn góc.- Giá: 4.3 tỷ (bao phí, mới).* S1 - 86 m² thông thủy - View nội khu, thành phố.- Tầng Cao.- Góc 3 ngủ - 2 wc.- Giá: 3.765 tỷ.* S3 - Căn 105m² (tầng trung) - View sông Hồng.- Căn 3PN + 2WC view thoáng.- Mẫu thiết kế đẹp nhất.- Full đồ.Giá: 4.55 tỷ.* S4 - 03 tầng trung.- Full đồ.- Ban công Tây, cửa Đông - 100m².- Giá từ: 4.05 tỷ.* Căn S4 - 08 Sunshine City. View sông, cầu Nhật Tân, sân golf Ciputra.- 116,7m² (căn to nhất dự án). Thiết kế 3PN + 2WC.- Hướng BC: Đông Bắc.Giá: 5.4 tỷ (mới tinh).* S4 (3 ngủ + 2 logia) 105m² thông thủy - view sân golf.- Căn góc - view sông đẹp.- Cắt lỗ: 5.150 tỷ (bao phí).* S5 - 02, căn góc - 106m².- View sân golf Đông Nam.Giá: 5.X tỷ (bao phí + sổ đỏ).* S6 - 08, căn góc - 100m² - mới.- View nội khu thành phố.Giá: 4.7 tỷ (bao phí).Hot 2 ngủ:* Căn S2 - 06 (86m² - tầng cao) (2 ngủ + 1 đa năng).View sông Hồng.- Giá: 3,6 tỷ + 2 năm DV.* S2 - 02 - 90m² thông thủy, có ban công.Tầng cao view sông.Giá: 3.5 tỷ (full đồ bao phí).* S2 - 08 - 80,5m² (2PN + 2WC) - full đồ + SỔ ĐỎ.- View sông Hồng + tầng trung.- Giá: 3.4 tỷ (full đồ).* S5 - 08 - 80,5m² (2PN + 2WC) - full đồ + SỔ ĐỎ.- Giá 4,1 tỷ bao phí.* Thông tin căn duplex:- Căn duplex 178m² tim tường - thông thủy 158m², thiết kế 3PN + 1, 4WC giá chỉ 8.5 tỷ.- Căn góc duplex 212m² tim tường - thông thủy 192m², thiết kế 4PN + 1, 4WC giá chỉ 9.9 tỷ.- Ban công hướng Nam mát mẻ.- View nội khu biệt thự, công viên cây xanh.Căn 2 ngủ:+ S3 và S4: 73m² (view nội khu) - 3.3 tỷ.+ S5 - 08: 81m² (view golf) - 3.99 tỷ.+ S6 - 06, 80.5m² (view nội khu) - Giá: 3,7 tỷ.Còn nhiều căn hộ giá đa dạng + hấp dẫn khác.Giá căn hộ: 100% GTCH + 2% KPBT + (bao phí) - Nhận nhà ở ngay.+ Đầy đủ tiện ích 5* vườn treo, rạp chiếu phim, bể bơi, shophouse, trung tâm thương mại, tàu điện đi qua các tòa nhà, vườn cây xanh chạy thông từ tòa S1 đến S6...+ Bàn giao cao cấp: Điều hòa âm trần 2 chiều, tủ bếp, bếp từ hút mùi Hafele, sàn gỗ, thiết bị vệ sinh Kohler có bồn tắm và bệt thông minh, cửa chống cháy Porta Door,...(Tư vấn mọi thủ tục - vay ngân hàng mọi trường hợp - nhanh gọn - uy tín).Liên hệ PKD Sunshine: 0398 732 *** để xem nhà 24/7 (Zalo).            ",116 m²,4.7 tỷ,,,3 phòng,2 phòng,20/11/2022,30/11/2022,Tin Vip đặc biệt,35888943,batdongsan_com_vn_35888943,,,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Bán shop TMDV HA09.DT 82,5m².Mặt tiền 5m.Tầng 1 xây 54m².Tổng xây dựng 265m².Căn có chóp ngay cạnh quảng trường.Giá bán 8,5tỷ bao phí.LH: 0911 269 *** ",82.5 m²,8.5 tỷ,,,,,19/11/2022,29/11/2022,Tin Vip đặc biệt,35881748,batdongsan_com_vn_35881748,5 m,5 tầng,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Masteri West Heights']","
View biển hồ - Hàng hiệu 5* - gần Big C, sân vận động Mỹ Đình.Miễn phí 3 năm dịch vụ.Giá và kí hợp đồng trực tiếp với chủ đầu tư - sổ hồng lâu dài.Phân khu duy nhất sở hữu 2 hầm để xe.Bàn giao full nội thất liền tường nhập khẩu Châu Âu Hafele, Kohler.Hệ thống kính Low E chống tia cực tím, tia UV.Điều hòa âm trần 2 chiều...* Chính sách ưu đãi mới dành cho khách hàng *.Chiết khấu 13,8% thanh toán sớm.Chiết khấu 7,3% thanh toán tiến độ.Chiết khấu 0,3% vay 80% miễn lãi trong 24 tháng.Gói quà tặng tân gia 50 - 100 triệu (tùy loại căn).Tặng gói bảo hiểm trị 0,8% giá trị căn hộ.* Diện tích *.Căn hộ Studio 27,2m² - 35,2m².Căn hộ 1 phòng ngủ 41,8m² - 42,1m².Căn hộ 2 phòng ngủ 1 toilet 54,2m² - 60,1m².Căn hộ 2 phòng ngủ 2 toilet 61,7m² - 62,9m².Căn hộ 3 phòng ngủ 73,5m² - 79,3m².* 22 tiện ích đẳng cấp nhất chỉ có tại Masteri West Heights *.Tầm view triệu đô, trực diện hồ điều hòa cát trắng dừa xanh rộng 4,8ha.Rạp chiếu phim.4 bể bơi trên tầng thượng miễn phí, Sky Garden trên tầng thượng view trong thành phố.Thư viện, công viên nước, vườn lọc không khí tươi,...* Tiện ích chung ở Vinhomes Smart City *.3 công viên.20 trường học.10 bể bơi phong cách resort.1 bệnh viện Vinmec đỗ được trực thăng.Siêu thị Vincom lớn nhất hệ thống, bể bơi 4 mùa miễn phí tầng 4...+ Địa chỉ: Tây Mỗ - Đại Mỗ, Nam Từ Liêm (Đại đô thị thông minh Vinhomes Smart City).Hotline/Zalo: 0983 290 *** ",43 m²,Thỏa thuận,Tây - Bắc,Đông - Nam,1 phòng,1 phòng,23/11/2022,03/12/2022,Tin Vip đặc biệt,35457997,batdongsan_com_vn_35457997,,,Sổ đỏ/ Sổ hồng.,"Full nội thất nhập khẩu cao cấp Bàn giao full nội thất liền tường nhập khẩu Châu Âu Hafele, Kohler. Bàn giao full nội thất liền tường nhập khẩu Châu Âu Hafele, Kohler. Hệ thống kính Low E chống tia cự",
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Hoàng Mai', 'Dự án Feliz Homes']","
Sự kiện đặc biệt: 3 tầng đẹp nhất 5 - 15 - 22 ra hàng!Quỹ căn 1 - 2 - 3 PN view đẹp giá tốt nhất thị trường!Liên hệ ngay: 0982 169 ***I. Chính sách bán hàng siêu khủng:- Đóng 10% ký ngay hợp đồng mua bán.- Chiết khấu 2% khi thanh toán theo tiến độ.- Ưu đãi lãi suất 0% trong 18 tháng (Dự án hiếm hoi có đủ room giải ngân).- Ân hạn nợ gốc trong thời gian hỗ trợ lãi suất.- Tặng gói hoàn thiện khu vườn trên không 50 triệu đồng.- Tặng gói ban công xanh 30 triệu đồng.- Miễn phí dịch vụ 1 năm.- Hỗ trợ vay vốn lên đến 75% giá trị căn hộ.- Ân hạn nợ gốc trong thời gian hỗ trợ lãi suất.II. Thông tin dự án:- Vị trí: Hoàng Văn Thụ, Hoàng Mai, Hà Nội.- Số tầng: 27 tầng hầm: 3 Nhà để xe nổi: 6 tầng.- Loại hình sản phẩm: Căn hộ 1PN 2PN 3PN diện tích từ 45 115m².- Dự kiến bàn giao: Quý II 2023.III. Đặc quyền có 1 - 0 - 2 tại Feliz Home:- Vị trí siêu đắc địa: Chỉ cách Hồ Gươm 5km, khu vực có đủ hệ thống giáo dục các cấp, gần bệnh viện, siêu thị, chợ đầu mối, công viên, hồ nước, kết nối giao thông thuận tiện qua nhiều trục đường Hoàng Mai, Tân Mai, Mai Động.- Tiện ích nội khu chuẩn resort: Mật độ xây dựng thấp chỉ hơn 20%, hồ bơi và hồ cảnh quan 1000m², diện tích cây xanh mặt nước gần 10.000m², sân bóng rổ, vườn thiền, khu vui chơi trẻ em, khu mua sắm, coffee shop, trường mầm non.- Diện tích bãi đỗ xe lớn nhất khu vực: Tỷ lệ 30m² đỗ xe/100m² nhà ở giải quyết ngay bài toán chỗ đỗ xe đau đầu cho cư dân.- Đa dạng loại hình sản phẩm từ 1 - 2 - 3PN phù hợp với nhu cầu nhiều gia đình, thiết kế hiện đại đón sáng tự nhiên tối ưu công năng, có căn ban công lên đến 17m² tầm view cực thoáng.- Bàn giao nội thất cơ bản từ các thương hiệu lớn: Sàn gỗ, trần thạch cao, cửa chống cháy, điều hòa multi âm trần, thiết bị chiếu sáng, thiết bị vệ sinh, chuông hình, tiết kiệm chi phí hoàn thiện sau này.- Tiến độ xây dựng đảm bảo: Hiện đã xây dựng đến tầng 26, đảm bảo thời gian nhận nhà quý II. 2023, khách hàng không phải chờ đợi quá lâu.- Đặc biệt: Giá bán hiện nay đang hợp lý nhất khu vực và phân khúc!Liên hệ tư vấn nhận bảng giá mới nhất hotline: 0982 169 *** ",73 m²,38 triệu/m²,,,,,25/11/2022,05/12/2022,Tin Vip đặc biệt,35822293,batdongsan_com_vn_35822293,,,,,
"['Hà Nội', 'Mê Linh', 'Xã Tiền Phong', 'Dự án Cienco 5 Mê Linh']","
Cần bán nhà full nội thất xịn, cầu thang máy, cho thuê được luôn.Diện tích 100m² xây 5 tầng mới sổ đỏ chính chủ.Tại khu đô thị Cienco 5 cạnh trường đại học Tài Chính đường chạy vào Vincom, huyện Mê Linh.Đang cho thuê văn phòng 70 triệu/tháng.Giá 6,9 tỷ số liên hệ SĐT 0867 575 *** ",100 m²,6.9 tỷ,,,,,25/11/2022,05/12/2022,Tin Vip đặc biệt,35941483,batdongsan_com_vn_35941483,,5 tầng,,Full nội thất xịn.,
