price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
"3,2 tỷ VNĐ",Lê Quang Đạo, 35m2, 3,07/11/2022,Tin thường,batdongsan_so_com_vn_1670469192.6371658,,,,,
"3,8 tỷ VNĐ",Lê Quang Đạo, 36m2, 5,07/11/2022,Tin thường,batdongsan_so_com_vn_1670469194.539622, 5, 4, 3, 3,
"3,05 tỷ VNĐ",Thụy Phương, 55m2, 4,07/11/2022,Tin thường,batdongsan_so_com_vn_1670469197.985291, 3, 3, 3,,
16 tỷ VNĐ,"Xuân Dục, Yên Thường", 151m2, 6,07/11/2022,Tin thường,batdongsan_so_com_vn_1670469200.8680687,,,,,
"3,6 tỷ VNĐ","Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 53m2, 3,07/11/2022,Tin thường,batdongsan_so_com_vn_1670469203.456615,,,,,
"2,75 tỷ VNĐ","Đường Hồ Tùng Mậu, Cầu Diễn, Nam Từ Liêm", 32m2, 4,07/11/2022,Tin thường,batdongsan_so_com_vn_1670469205.259023, 3, 4, 3, 1,
,"Đường Bằng Liệt, Hoàng Liệt, Hoàng Mai",,,07/11/2022,Tin thường,batdongsan_so_com_vn_1670469208.4464452, 2, 5, 4,,
17 tỷ VNĐ,"Đường Quang Trung, Quang Trung, Hà Đông", 42m2, 3,07/11/2022,Tin thường,batdongsan_so_com_vn_1670469210.8267918, 40, 6, 4, 4,
"3,05 tỷ VNĐ",Vĩnh Hưng Hoàng Mai Hà Nội, 46m2, 4,06/11/2022,Tin thường,batdongsan_so_com_vn_1670469213.292198,, 4, 4,,
"3,2 tỷ VNĐ",Nam Dư Hoàng Mai Hà Nội, 30m2,,06/11/2022,Tin thường,batdongsan_so_com_vn_1670469215.7015586,, 5, 3,,
"1,75 tỷ VNĐ","Bình Vọng, Văn Bình", 65m2,,06/11/2022,Tin thường,batdongsan_so_com_vn_1670469217.8002505,,,,,
"2,05 tỷ VNĐ","Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội", 33m2, 4,06/11/2022,Tin thường,batdongsan_so_com_vn_1670469220.1049633,,,,,
4 tỷ VNĐ,"Đường Bồ Đề, Bồ Đề, Long Biên", 35m2, 5,06/11/2022,Tin thường,batdongsan_so_com_vn_1670469222.5847623, 3, 5, 3, 4,
14 tỷ VNĐ,Hoàng Quốc Việt, 80m2, 5,06/11/2022,Tin thường,batdongsan_so_com_vn_1670469224.986697, 40, 5, 6, 8,
"2,7 tỷ VNĐ","Đường Phúc Lơi, Phường Phúc Lợi, Quận Long Biên, Hà Nội.", 37m2,,06/11/2022,Tin thường,batdongsan_so_com_vn_1670469227.6008976,, 3, 3,,
"5,555555 tỷ VNĐ","Đường Nguyễn Phúc Lai, Ô Chợ Dừa, Đống Đa", 40m2, 3,06/11/2022,Tin thường,batdongsan_so_com_vn_1670469232.1071, 9, 4, 3, 3,
"1,98 tỷ VNĐ","Đường Huyền Kỳ, Phú Lãm, Hà Đông", 35m2, 3,06/11/2022,Tin thường,batdongsan_so_com_vn_1670469234.4741197, 3, 2, 2, 1, Nam
"5,9 tỷ VNĐ","Đường Nguyễn Khang, Yên Hòa, Cầu Giấy", 45m2, 4,06/11/2022,Tin thường,batdongsan_so_com_vn_1670469236.8580132, 4, 5, 6,,
138 tỷ VNĐ,"Đường Hàng Than, Nguyễn Trung Trực, Ba Đình", 132m2,,06/11/2022,Tin thường,batdongsan_so_com_vn_1670469239.2103763, 30, 11, 40, 40,
158 tỷ VNĐ,Lý Nam Đế Hoàn Kiếm, 273m2, 10,06/11/2022,Tin thường,batdongsan_so_com_vn_1670469243.5471127,, 9,, 9,
