price,address,Diện tích,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Hướng,Số phòng ngủ,Số toilet,Mặt tiền
2 tỷ VNĐ,Lai Xá Kim Chung Hoài Đức Hà Nội, 60m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440754.1494534,,,,,,
"3,3 tỷ VNĐ","Đường Hoàng Liệt, Hoàng Liệt, Hoàng Mai", 35m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440756.7242978, 2, 5,,,,
"3,5 tỷ VNĐ",Xã Vân Canh - Huyện Hoài Đức - Hà Nội, 67m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440758.8403752, 60, 10, Tây nam, 2, 2,
"3,5 tỷ VNĐ",Xã Vân Canh - Huyện Hoài Đức - Hà Nội, 67m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440760.7080262, 60,, Tây nam, 2, 2,
"3,5 tỷ VNĐ",Chung cư view công viên nhạc nước đẹp nhất Hoài Đức: Moonlight I - An Lạc Green Symphony sắp ra mắt, 67m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440763.1153548, 40,, Tây nam, 2, 2,
"3,6 tỷ VNĐ",Dương Văn Bé - Hà Nội, 40m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440765.6494484,,,,,,
"4,8 tỷ VNĐ",Số 8 - Lê Đức Thọ - Nam Từ Liêm - Hà Nội, 84m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440768.716527,,, Đông nam, 2, 2,
"13,5 tỷ VNĐ","Đường Biến Thế, Hạ Đình, Thanh Xuân", 56m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440770.8457775, 1, 5,,,, 4
"3,4 tỷ VNĐ","Đường Hoàng Mai, Hoàng Văn Thụ, Hoàng Mai", 32m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440772.9324012, 3, 5,, 3, 4, 4
"16,5 tỷ VNĐ","Đường Lê Duẩn, Phương Liên, Đống Đa", 90m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440774.8036387, 3, 7,, 24, 24, 8
"6,8 tỷ VNĐ","Đường Nguyễn Ngọc Nại, Khương Mai, Thanh Xuân", 52m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440776.6809943, 3, 3,, 5,, 5
"4,5 tỷ VNĐ","Đường Trường Chinh, Khương Thượng, Đống Đa", 45m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440794.8007233, 3, 5,, 4, 5, 5
163 triệu VNĐ,"Đường Giải Phóng, Hoàng Liệt, Hoàng Mai", 65m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440813.7018995, 50, 6,, 7, 5, 4
"5,8 tỷ VNĐ","Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 76m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440815.9058685,,,,,, 3
"3,2 tỷ VNĐ","Đường Thạch Bàn, Thạch Bàn, Long Biên", 40m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440818.4225347, 5, 4,, 3, 4, 5
69 tỷ VNĐ,"Đường Phạm Văn Đồng, Đông Ngạc, Bắc Từ Liêm", 290m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440820.7557206, 20, 4,, 5, 7, 16
"3,55 tỷ VNĐ","Đường Vũ Tông Phan, Khương Đình, Thanh Xuân", 45m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440822.4589148, 3, 5,, 5, 4, 4
"6,35 tỷ VNĐ","Đường Tây Sơn, Ngã Tư Sở, Đống Đa", 60m2,05/12/2022,Tin thường,batdongsan_so_com_vn_1670440825.2407033, 3, 5,, 5,, 4
