price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Hướng,Số toilet
7 tỷ VNĐ,"nguyên hồng,đống đa,hà nội.", 37m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470400.497674,,,,,,
4 tỷ VNĐ,"hoàng mai,hà nội.", 34m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470403.1433828,,,,,,
4 tỷ VNĐ,"hoàng mai,hà nội.", 33m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470406.7456133,,,,,,
5 tỷ VNĐ,"hai bà trưng,hà nội.", 35m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470409.1130579,,,,,,
"3,5 tỷ VNĐ","đống đa,hà nội", 36m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470411.7746935,,,,,,
"6,2 tỷ VNĐ","đội cấn,ba đình,hà nội", 52m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470413.9728973,,,,,,
"8,2 tỷ VNĐ","Đường Quan Hoa, Dịch Vọng, Cầu Giấy", 60m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470416.6143515, 5, 6, 5, 6,,
"5,2 tỷ VNĐ","đống đa,hà nội", 33m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470418.9632256,,,,,,
"1,712 tỷ VNĐ","Đường Võ Nguyên Giáp, Vân Nội, Đông Anh", 77m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470421.3120368, 8, 6, 16, 2, Đông nam, 2
,"Đường Cổ Điển A, Tứ Hiệp, Thanh Trì", 82m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470423.189463,, 35,, 2,, 2
24 tỷ VNĐ,"Đường Thái Hà, Trung Liệt, Đống Đa", 86m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470442.213103, 5, 1, 5, 5,, 6
4 tỷ VNĐ,"Đường Đình Thôn, Mỹ Đình 1, Nam Từ Liêm", 95m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470444.9044466, 10, 50, 30, 3,, 2
"2,1 tỷ VNĐ",iec tứ hiệp thanh trì, 53m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470447.512234,,,,,,
"11,111111 tỷ VNĐ","Đường Yên Phụ, Trúc Bạch, Ba Đình", 110m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470450.791925, 11, 50, 30, 2,, 2
24 tỷ VNĐ,"Đường Thái Hà, Trung Liệt, Đống Đa", 86m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470453.5040112, 5, 1, 5, 5,, 6
"3,3 tỷ VNĐ","Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 38m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470455.2534018, 3,,,,,
"3,3 tỷ VNĐ","Ngọc thụy, long biên, hà nội", 38m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470457.649835, 3, 3,,,,
8 tỷ VNĐ,Phường Mỹ Đình, 55m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470460.2975457,,,,,,
6 tỷ VNĐ,"Đường Phạm Văn Đồng, Đông Ngạc, Bắc Từ Liêm", 96m2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470463.259804, 10, 50, 30, 3,, 2
