price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Số toilet,Lộ giới,Hướng
"4,75 tỷ VNĐ","Mê Linh, Đông Anh, Hà Nội", 44m2, 3, 3, 3,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470618.5166209,,,
"4,6 tỷ VNĐ","Phan Trọng Tuệ, Thanh Trì, Hà Nội", 40m2,, 4, 3,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470620.4345772, 3,,
8 tỷ VNĐ,"Đường Khương Trung, Khương Trung, Thanh Xuân", 45m2, 4, 6, 4,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470622.0612662, 4, 1,
900 triệu VNĐ,"Đường 19/12, Chương Dương Độ, Hoàn Kiếm", 132m2, 6,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470625.1667986,,,
15 tỷ VNĐ,"Đường Bà Triệu, Tràng Tiền, Hoàn Kiếm", 88m2, 9,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470627.8778698,,, Nam
34 tỷ VNĐ,"Đường Kim Mã, Kim Mã, Ba Đình", 127m2, 6, 4,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470630.317572,, 10,
"5,5 tỷ VNĐ","Đường Láng Thượng, Láng Thượng, Đống Đa", 45m2, 4, 5, 6,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470632.6854196,, 3,
"1,8 tỷ VNĐ","Phúc Tiến, Phú Xuyên", 230m2,,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470635.0762799,,,
"13,5 tỷ VNĐ",ngõ 132 phố Cầu Giấy, 50m2, 4, 7, 5,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470637.6000907, 6, 4, Tây bắc
"2,75 tỷ VNĐ","Đường Hồ Tùng Mậu, Cầu Diễn, Nam Từ Liêm", 32m2, 4, 4, 3,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470640.071864, 1, 3,
"9,25 tỷ VNĐ","Đường Lê Đức Thọ, Mỹ Đình 1, Nam Từ Liêm", 77m2, 6,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470642.1930635,,,
"4,4 tỷ VNĐ","Đường Lễ Pháp, Tiên Dương, Đông Anh", 125m2, 6,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470645.0823588,,,
"2,3 tỷ VNĐ","Đường Văn Phú, Phú La, Hà Đông", 32m2, 3, 4, 4,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470647.4530497, 3, 3,
"4,2 tỷ VNĐ","Đường Minh Khai, Vĩnh Tuy, Hai Bà Trưng", 35m2,, 5, 3,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470650.0960503,, 3,
1 tỷ VNĐ,"Đường Văn Hương, Hàng Bột, Đống Đa", 17m2,,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470652.4863539,, 1,
"1,234 triệu VNĐ","Đường Đào Tấn, Ngọc Khánh, Ba Đình", 59m2, 4, 4, 5,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470656.803022, 4, 3,
"3,1 tỷ VNĐ",Yên Xá, 34m2, 4, 5, 4,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470659.3738108, 4,,
"3,65 tỷ VNĐ","Cầu Bươu, Tả Thanh Oai", 33m2,,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470661.7789454,,,
"4,75 tỷ VNĐ","Đường Kim Ngưu, Vĩnh Tuy, Hai Bà Trưng", 50m2, 4, 4, 5,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470663.8497028, 4, 4,
"3,95 tỷ VNĐ",Đường Giáp Bát Phường Giáp Bát quận Hoàng Mai Hà Nội, 35m2, 4, 5,,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470666.378257,,,
