price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Hướng
"28,5 tỷ VNĐ","Đường Thái Hà, Trung Liệt, Đống Đa", 76m2, 6, 1, 8,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440882.085358,,,
"3,1 tỷ VNĐ",Bách Khoa - Hà Nội, 60m2,,,,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440883.7328315,,,
"2,7 tỷ VNĐ","đường Ngô Gia Tự, Phường Đức Giang, quận Long Biên, Hà Nội", 33m2,,, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440885.4810827, 3,,
36 tỷ VNĐ,Hồ Văn Chương Đống Đa Hà Nội, 76m2, 8,, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440887.8754792,,,
"4,1 tỷ VNĐ","Đường Quốc lộ 32, Đức Thượng, Hoài Đức", 115m2, 6,,,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440890.2094715,,,
"4,5 tỷ VNĐ","Đường Kim Mã, Kim Mã, Ba Đình", 45m2, 6, 5, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440892.861643, 3, 4,
"2,75 tỷ VNĐ","Đường Lĩnh Nam, Lĩnh Nam, Hoàng Mai", 35m2, 3, 2, 4,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440894.5824182, 3, 3,
6 tỷ VNĐ,"Đường Giáp Bát, Giáp Bát, Hoàng Mai", 58m2, 4, 4, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440896.2642188, 5, 5,
"9,5 tỷ VNĐ","Đường Nguyễn Sơn, Bồ Đề, Long Biên", 88m2, 6, 3, 3,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440898.7694237, 3,,
"18,6 tỷ VNĐ","Đường Đại lộ Thăng Long, An Khánh, Hoài Đức", 160m2, 8,,,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440901.2788336,,,
"2,85 tỷ VNĐ","Thượng Phúc, Tả Thanh Oai, Thanh Trì, Hà Nội", 62m2, 4, 3,,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440903.5536802,,, Đông bắc
"3,1 tỷ VNĐ","đường Mai Phúc, Phường Phúc Đồng, quận Long Biên, Hà Nội", 33m2, 4,, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440906.5531204, 3,,
"4,7 tỷ VNĐ","Đường Hồ Tùng Mậu, Cầu Diễn, Nam Từ Liêm", 32m2, 4, 3, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440909.0371237,,,
"3,6 tỷ VNĐ","Đường Quốc lộ 32, Đức Thượng, Hoài Đức", 62m2, 5,,,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440911.2888,,,
"7,65 tỷ VNĐ",Văn Khê - Hà Đông, 50m2, 4,,,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440913.921589,,,
"7,7 tỷ VNĐ",Văn Khê - Hà Đông, 50m2,,, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440916.6256952,,,
"3,4 tỷ VNĐ",Hà Trì - Hà Đông, 41m2,,, 4,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440919.2460706,,,
"3,4 tỷ VNĐ",Đa Sỹ - Hà Đông, 41m2,,, 4,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440921.6594598,,,
500 tỷ VNĐ,"Đường hàng gai, hàng gai, Hoàn Kiếm", 500m2, 20, 15, 7,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440923.822811, 30, 35, Tây bắc
34 tỷ VNĐ,Nhân Hoà Nhân Chính Thanh Xuân Hà Nội, 90m2, 5,, 8,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440926.6499107,,,
