price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
115 tỷ VNĐ,"Đường Trần Thủ Độ, Hoàng Liệt, Hoàng Mai", 10700m2, 300,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471837.0587418,,,,
"14,85 tỷ VNĐ","Đường Cầu Diễn, Minh Khai, Bắc Từ Liêm", 150m2, 7,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471858.086569, 3, 7, 31, 31
9 tỷ VNĐ,"Vạn Phúc, Hà Đông", 80m2, 5,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471860.5878468,, 6, 10,
12 tỷ VNĐ,"Đường Thiên Hiền, Mỹ Đình 1, Nam Từ Liêm", 64m2,,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471878.8963425, 1, 6,,
7 tỷ VNĐ,"Đường Nguyễn Lam, Phúc Đồng, Long Biên", 70m2, 5,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471880.8186228,,,,
900 triệu VNĐ,"Đường 19/12, Chương Dương Độ, Hoàn Kiếm", 132m2, 6,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471882.7007012,,,,
"9,3 tỷ VNĐ","Đường Cầu Giấy, Quan Hoa, Cầu Giấy", 45m2, 4,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471885.381237, 4, 6, 8,
"8,8 tỷ VNĐ","Đường Bồ Đề, Bồ Đề, Long Biên", 50m2, 6,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471888.3987646, 20, 7, 4, 5
3 tỷ VNĐ,Chính chủ cần tiền đầu tư bán nhanh lô LK -C7 Chi Đông- Mê Linh; nhỉnh 3 tỷ; 0986494152, 68m2,,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471890.6965067,,,,
"2,7 tỷ VNĐ","Đường Thanh Bình, Mộ Lao, Hà Đông", 81m2, 4,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471892.8990285, 20, 12, 3, 2
"6,4 tỷ VNĐ",Mỗ Lao- Hà Đông, 39m2,,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471895.2458117,, 6,,
"6,4 tỷ VNĐ",Văn Quán - Hà Đông, 38m2,,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471897.0960367,, 6,,
10 tỷ VNĐ,Vạn Phúc - Hà Đông, 50m2,,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471899.4284205,, 6,,
"9,7 tỷ VNĐ",Vạn Phúc- Hà Đông, 50m2,,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471901.8155456,, 6,,
"6,5 tỷ VNĐ","Đường Chùa Láng, Láng Hạ, Đống Đa", 77m2, 3,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471904.252675, 2, 5, 5, 4
"3,859999 tỷ VNĐ","Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 46m2, 4,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471907.3337815, 30, 5, 3, 4
200 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2, 10,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471911.5011382,,,,
"11,79 tỷ VNĐ","Đường Nguyễn Khánh Toàn, Quan Hoa, Cầu Giấy", 55m2, 4,01/11/2022,Tin thường,batdongsan_so_com_vn_1670471913.9904883, 8, 7, 5, 6
