price,address,Diện tích,Mặt tiền,Số tầng,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Hướng,Số toilet
"6,3 tỷ VNĐ",Phố Trương Định quận Hai Bà Trưng Hà Nội, 45m2, 5, 4,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472934.1518445,,,,
"6,3 tỷ VNĐ","Đường Nguyễn Đình Hoàn, Nghĩa Đô, Cầu Giấy", 40m2, 4, 5,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472936.1066957, 4, 6,,
"2,1 tỷ VNĐ","Đường Xa La, Phúc La, Hà Đông", 84m2,,,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472938.8327887, 1, 2,,
"5,2 tỷ VNĐ","Đường Hồ Văn Chương, Thổ Quan, Đống Đa", 35m2, 4, 5,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472941.361497, 3, 4,,
"3,45 tỷ VNĐ","Cầu Bươu, Tả Thanh Oai", 33m2,,,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472944.0772943,,,,
"2,5 tỷ VNĐ","Đường Tỉnh lộ 420, Tân Xã, Thạch Thất", 140m2, 6,,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472947.314707,,,,
"2,6 tỷ VNĐ","Đường Liên Xã, Liên Hà, Đông Anh", 63m2, 4,,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472949.7092655,,,,
"2,5 tỷ VNĐ","Ngọc Thụy, Long Biên", 33.5m2, 5, 2,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472951.9238365,, 2,,
"6,45 tỷ VNĐ",Đình thôn Nam Từ Liêm, 60m2, 4, 4,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472954.5140505, 2, 6,,
"5,2 tỷ VNĐ","Đường Yên Hòa, Yên Hòa, Cầu Giấy", 44m2, 4, 5,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472957.4417822, 4, 6,,
5 tỷ VNĐ,Yên Phụ Tây Hồ HÀ NỘI, 48m2,,,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472962.6976855,,,,
"5,8 tỷ VNĐ",Bà Triệu - Hà Đông - Hà Nội, 55m2, 3,,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472965.1977205, 5,, Đông nam,
"4,1 tỷ VNĐ","Đường Xuân Đỉnh, Xuân Đỉnh, Bắc Từ Liêm", 40m2, 7, 5,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472967.2060869, 5, 4,, 3
"4,2 tỷ VNĐ",đường cầu diễn, 52m2, 4, 3,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472969.6588883, 4, 3,, 3
"15,3 tỷ VNĐ","Đường Hàng Khay, Tràng Tiền, Hoàn Kiếm", 88m2, 12, 3,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472972.3608568, 2, 9,, 2
3 tỷ VNĐ,"Đường Gia Thượng, Ngọc Thụy, Long Biên", 38m2, 4, 4,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472975.0219512, 1, 4,, 3
7 tỷ VNĐ,la khê, 45m2, 4, 5,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472977.5984395,, 6,, 4
"2,9 tỷ VNĐ","Đường Quốc Lộ 2, Tân Dân, Sóc Sơn", 94m2, 5,,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472980.4496722, 1,,,
"7,2 tỷ VNĐ","Đường Phùng Khoang, Trung Văn, Nam Từ Liêm", 45m2, 4, 5,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472983.586037, 10, 6,,
"3,1 tỷ VNĐ","Đường Hồng Tiến, Bồ Đề, Long Biên", 45m2, 5, 1,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472986.2566953, 5, 1,, 1
