price,address,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Diện tích,Hướng,Mặt tiền
,"Đường Hồng Hà, Phúc Xá, Ba Đình", 4, 6, 4, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473148.4778411,,,
,"Đường Hào Nam, Nam Đồng, Đống Đa", 5, 6,,,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473150.9400475, 45m2,,
"5,6 tỷ VNĐ","Đường Quốc lộ 21B, Phú Lãm, Hà Đông", 7, 3, 2,,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473153.6706643, 78m2, Đông, 4
"7,8 tỷ VNĐ","Đường Thái Thịnh, Láng Hạ, Đống Đa", 5, 4, 4,,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473155.7894835, 45m2,, 5
"6,25 tỷ VNĐ","Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 4, 5, 6, 3,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473157.6816633, 48m2,, 5
"10,5 tỷ VNĐ","Đường Lạc Long Quân, Nghĩa Tân, Cầu Giấy", 7, 4, 4, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473160.218191, 65m2,, 5
"3,65 tỷ VNĐ","Đường Trương Định, Trương Định, Hai Bà Trưng", 2, 5, 3, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473162.3052948, 35m2,, 4
"4,85 tỷ VNĐ","Đường Nguyễn Văn Linh, Sài Đồng, Long Biên", 3, 5, 4, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473164.7364814, 52m2,, 4
"4,85 tỷ VNĐ","Đường Sài Đồng, Sài Đồng, Long Biên", 4, 5, 4, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473166.8335173, 46m2,, 7
"2,4 tỷ VNĐ","Đường Minh Khai, Vĩnh Tuy, Hai Bà Trưng", 2, 5, 3, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473169.719936, 38m2,, 4
"9,25 tỷ VNĐ","Đường Trần Vỹ, Mai Dịch, Cầu Giấy", 4, 5, 5, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473171.955287, 60m2,, 4
6 tỷ VNĐ,Nguyễn Trãi,,,,,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473174.5423152, 40m2,,
"13,8 tỷ VNĐ",Nguyễn Khang,,,,,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473177.2143323, 64m2,,
"6,5 tỷ VNĐ","Đường Nguyễn Khánh Toàn, Pháo Đài Láng, Cầu Giấy",,,,,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473179.8500178, 37m2,, 3
"5,9 tỷ VNĐ","Đường Nguyễn Khang, Yên Hòa, Cầu Giấy", 4, 5, 6,,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473181.9900787, 45m2,, 4
10 tỷ VNĐ,"Đường Bạch Mai, Thanh Nhàn, Hai Bà Trưng", 7, 4, 4, 3,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473187.6126847, 72m2,, 5
"41,5 tỷ VNĐ","Đường Trần Xuân Soạn, Bùi Thị Xuân, Hai Bà Trưng", 15, 7, 7, 7,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473190.396671, 68m2, Đông nam, 5
"7,85 tỷ VNĐ","Đường Láng Hạ, Giảng Võ, Ba Đình", 3, 5, 4, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473192.1640189, 36m2,, 3
"3,85 tỷ VNĐ","Hồng Tiến, Bồ Đề, Long Biên",, 5, 3, 3,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473194.278105, 30m2, Đông nam, 3
23 tỷ VNĐ,"Đường Lạc Long Quân, Bưởi, Tây Hồ", 6, 7, 30, 30,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473196.4488118, 200m2,, 9
