price,address,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Diện tích,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
,"Đường Lê Đức Thọ, Mỹ Đình 2, Nam Từ Liêm", 4, 5,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473359.7369902,,,,,
13 tỷ VNĐ,"Đường vương thừa vũ, khương trung, Thanh Xuân", 5, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473362.3782184, 95m2, 5, 4, 3,
"4,45 tỷ VNĐ",P.Trương Định quận Hai Bà Trưng Hà Nội,, 5,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473364.5937443, 45m2, 5, 4,,
"6,6 tỷ VNĐ","Đường Minh Khai, Vĩnh Tuy, Hai Bà Trưng", 18, 18,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473367.2432086, 117m2, 9, 3, 3, Đông nam
"6,25 tỷ VNĐ","Đường Láng, Láng Thượng, Đống Đa", 3, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473369.6174915, 77m2, 4, 5, 4,
4 tỷ VNĐ,"Đường Trần Cung, Nghĩa Đô, Cầu Giấy", 5, 5,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473372.2078748, 40m2, 4, 4, 3,
4 tỷ VNĐ,"Đường Cầu Giấy, Xuân Thủy, Cầu Giấy", 5, 5,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473374.9319406, 45m2, 4, 4, 3,
"4,75 tỷ VNĐ","Đường Mai Dịch, Mai Dịch, Cầu Giấy", 1, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473376.7022743, 41m2, 1, 2, 3,
"1,25 tỷ VNĐ","Đường Đa Phúc, Quang Tiến, Sóc Sơn",,,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473379.104649, 55m2, 4,,,
"11,8 tỷ VNĐ","Đường Lạc Trung, Thanh Lương, Hai Bà Trưng", 2, 6,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473382.0490146, 60m2,, 6, 6,
"7,4 tỷ VNĐ","Đường Cự Lộc, Hạ Đình, Thanh Xuân", 10, 5,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473385.0972102, 35m2, 5, 4,,
1 tỷ VNĐ,"Đường Lê Đức Thọ, Mỹ Đình 1, Nam Từ Liêm", 4, 5,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473389.1499429, 30m2, 4, 3, 4,
136 tỷ VNĐ,"Đường Lê Đức Thọ, Mỹ Đình 2, Nam Từ Liêm", 30, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473391.597804, 312m2, 17, 5, 7, Tây nam
31 tỷ VNĐ,"Đường Hoàng Hoa Thám, Ngọc Hà, Ba Đình", 40, 16,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473394.5649207, 310m2, 31, 3, 3, Đông nam
"3,1 tỷ VNĐ","Lệ Mật, Việt Hưng",, 3,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473397.2028654, 30m2, 4, 3, 3,
3 tỷ VNĐ,"Đường Ngọc Trục, Đại Mỗ, Nam Từ Liêm", 3, 5,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473399.6495447, 35m2, 4, 4,,
"7,35 tỷ VNĐ","Đường Láng Thượng, Láng Thượng, Đống Đa", 4, 5,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473402.1184435, 50m2, 4, 6,,
"16,5 tỷ VNĐ","Đường Nghĩa Đô, Nghĩa Đô, Cầu Giấy", 1, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473404.9375267, 50m2, 5, 4, 4,
"6,5 tỷ VNĐ","Đường Hoàng Ngân, Nhân Chính, Thanh Xuân", 6, 5,29/10/2022,Tin thường,batdongsan_so_com_vn_1670473407.371715, 40m2, 5, 6, 5,
"16,8 tỷ VNĐ","ĐƯỜNG LÊ TRỌNG TẤN, PHƯỜNG KHƯƠNG MAI, QUẬN THANH XUÂN, HÀ NỘI", 7, 6,03/04/2022,Tin thường,batdongsan_so_com_vn_1670473409.984222, 102m2, 6, 10, 10,
