price,address,Diện tích,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Hướng,Mặt tiền,Lộ giới,Số tầng
"4,3 tỷ VNĐ","Bán nhà Phú Đô, Mỹ Đình, Nam Từ Liêm, 4,3tỷ; 0904526599", 33m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473697.9511535,,,,,,
"1,98 tỷ VNĐ","Tố Hữu, Dương Nội", 75m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473701.5988297, 2, 2,,,,
"5,9 tỷ VNĐ","Đường Bùi Xương Trạch, Khương Trung, Thanh Xuân", 57m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473704.4958985, 3, 4, Đông, 3, 5, 4
"26,8 tỷ VNĐ","Đường Kim Mã Thượng, Cống Vị, Ba Đình", 80m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473706.6554658, 4, 4,, 5, 15, 3
"5,5 tỷ VNĐ","Đường Hồ Tùng Mậu, Phú Diễn, Bắc Từ Liêm", 130m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473709.9169083, 3, 2,, 13, 50, 30
"9,5 tỷ VNĐ",Trần Phú, 73m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473712.3947117, 4, 4,, 6,, 4
"12,8 tỷ VNĐ","Đường Thanh Liệt, Văn Điển, Thanh Trì", 83m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473715.0776925, 4, 4,, 5, 12, 4
"3,95 tỷ VNĐ",xuân đỉnh, 30m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473717.3547482,,,,,,
"2,3 tỷ VNĐ","Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 34m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473719.8907235, 3, 3, Đông, 3, 2, 3
28 tỷ VNĐ,"Đường Quan Nhân, Trung Hòa, Cầu Giấy", 65m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473722.658496, 7,,, 5, 12, 9
"4,65 tỷ VNĐ","Đường Lê Quang Đạo, Mễ Trì, Nam Từ Liêm", 88m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473725.1119978, 2, 2,, 9, 50, 30
"4,55 tỷ VNĐ","Đường Yên Hòa, Yên Hòa, Cầu Giấy", 53m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473727.7921076, 3, 4,, 1, 1, 5
"6,5 tỷ VNĐ","Phúc Đồng, Long Biên,Hà Nội.", 70m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473729.7781103, 4, 3,, 5, 6, 3
500 triệu VNĐ,"TT Xuân Mai, Hà Nội", 40m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473733.8098307,,,,,,
"1,2 tỷ VNĐ","Đường A, Đặng Xá, Gia Lâm", 28m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473736.0119, 1, 1,, 3, 1, 1
4 tỷ VNĐ,"Đường Đình Thôn, Mỹ Đình 1, Nam Từ Liêm", 95m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473738.79252, 3, 2,, 10, 50, 30
"5,7 tỷ VNĐ",29 Tố Hữu, 123m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473741.7307968, 3, 2,,,, 1
799 triệu VNĐ,135 Trần Phú, 74m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473744.2127707,,,,,,
3 tỷ VNĐ,"Phường Trung Phụng, Đống Đa", 30m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473746.88945, 3, 3,, 4,, 4
4 tỷ VNĐ,"Đường phạm văn đồng, Mai Dịch", 40m2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473749.3856034, 3, 4,, 4, 4, 5
