price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số tầng,Số toilet
"2,1 tỷ VNĐ",Đường Mỹ Nội phường Bắc Hồng, 83m2, 4,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474487.4138658,,,,
5 tỷ VNĐ,Đường Phùng Chí Kiên phường Nghĩa Đô, 100m2, 8,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474490.6752827, 15, 4,,
"2,85 tỷ VNĐ",đường Thượng Thụy, 46m2, 4,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474493.3636677, 5, 1, 1,
"8,5 tỷ VNĐ","Chính chủ bán căn CL 14-59, Gia Lâm, 8,5 tỷ; 0912200876", 63m2,,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474496.0128515,,,,
"4,1 tỷ VNĐ",Đường Cao tốc Thăng Long Nội Bài phường Hải Bối, 80m2, 4,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474498.0227036,,,,
"6,5 tỷ VNĐ","Thạch Bàn, Long Biên", 53m2, 4,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474500.350909,,, 6,
"3,95 tỷ VNĐ",Đường Tây Tựu phường Tây Tựu, 50m2, 5,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474502.967703, 3, 4, 5, 4
"5,9 tỷ VNĐ",Đường Nguyễn Khang phường Yên Hòa, 45m2, 4,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474506.6553106, 4, 6, 5,
"3,6 tỷ VNĐ",Đường Bắc Cầu phường Ngọc Thụy, 580m2, 13,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474509.4288046,,,,
"2,2 tỷ VNĐ",Đường Chùa Võ phường Dương Nội, 60m2, 5,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474512.1538622, 7, 1, 1, 2
"5,4 tỷ VNĐ",Đường Thạch Bàn phường Thạch Bàn, 55m2, 5,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474514.627922, 3, 3, 4, 3
"3,4 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 30m2, 4,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474517.302488, 3, 3, 4, 3
1 ngàn VNĐ,Đường Mỹ Đình phường Mỹ Đình 2, 38m2, 5,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474519.9569225, 3, 5, 5, 5
123 ngàn VNĐ,Đường Phú Diễn phường Phú Diễn, 65m2, 4,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474522.1771612, 10, 8, 7, 9
"2,85 tỷ VNĐ",Hà Trì- Hà Đông, 45m2, 4,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474524.6544745,,,,
"2,85 tỷ VNĐ",Đa Sỹ- Hà Đông, 45m2, 4,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474526.702663,,,,
12 tỷ VNĐ,Nguyễn Trãi- Hà Đông, 60m2,,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474529.2854044,,, 5,
12 tỷ VNĐ,Phùng Hưng- Hà Đông, 60m2,,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474531.418584,,, 5,
"4,6 tỷ VNĐ",Cầu Đơ- Hà Đông, 47m2,,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474534.0430753,,, 5,
"4,6 tỷ VNĐ",Cầu Đơ- Hà Đông, 47m2,,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474536.7808244,,, 5,
