price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Số tầng,Hướng
"48,5 tỷ VNĐ","Việt Hưng, Long Biên HN", 230m2,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474857.8244522,,,,,,
"3,45 tỷ VNĐ","Minh Khai, Hoàng Mai HN", 33m2,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474858.875904,,,,,,
"3,1 tỷ VNĐ",Đường Vĩnh Quỳnh phường Vĩnh Quỳnh, 50m2,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474859.8268588, 3, 1, 1, 1,,
"9,5 tỷ VNĐ",Đường Nguyễn Viết Xuân phường Hà Cầu, 53m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474860.828766, 4, 12, 1, 1, 1,
"9,5 tỷ VNĐ",Đường Nguyễn Viết Xuân phường Hà Cầu, 53m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474861.7264261, 4, 12, 1, 1, 1,
"7,9 tỷ VNĐ",Đường Lương Ngọc Quyến phường Văn Quán, 60m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474866.4968371, 4, 7, 3, 4, 4,
"3,4 tỷ VNĐ",Đường Hà Trì phường Hà Cầu, 43m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474867.9354997, 3, 3, 4, 4, 5,
"3,5 tỷ VNĐ","Phường Phương Liên, Đê La Thành, Đống Đa", 31m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474868.7966068, 4,, 2, 2, 3,
,Đường Văn Chương phường Văn Chương, 51m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474869.632543,, 4, 4,, 4,
"37,5 tỷ VNĐ",Trương Định Hoàng Mai Hà Nội, 96m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474870.6019394, 5,,, 5, 5,
"5,18 tỷ VNĐ",Đường Quan Nhân phường Nhân Chính, 48m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474871.6936843, 5, 2, 4, 4, 4,
"8,6 tỷ VNĐ",Đường Thái Hà phường Láng Hạ, 39m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474872.701242,, 7, 4, 3, 4,
"5,18 tỷ VNĐ",Đường Quan Nhân phường Nhân Chính, 48m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474873.8085825, 5, 2, 4, 4, 4,
4 tỷ VNĐ,Đường 19 tháng 5 phường Văn Quán, 43m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474874.6652305, 4, 3, 4, 3, 5,
,Đường Văn Chương phường Văn Chương, 51m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474875.8177118,, 4, 4,, 4,
"11,5 tỷ VNĐ",Phùng Khoang Nam Từ Liêm, 70m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474877.023788, 3, 17, 10, 10, 7, Tây
"12,3 tỷ VNĐ",Đường Nguyễn Phong Sắc phường Nghĩa Tân, 69m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474878.0842316, 6, 6, 6, 3, 4,
"12,3 tỷ VNĐ",Đường Nguyễn Phong Sắc phường Nghĩa Tân, 69m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474878.9544542, 6, 6, 6, 3, 4,
"11,5 tỷ VNĐ",Phùng Khoang, 77m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474880.271126,,,,, 7,
"10,1 tỷ VNĐ",Đường Hoàng Văn Thái phường Khương Mai, 60m2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670474881.5608268, 4, 4, 4, 4, 4,
