price,address,Diện tích,Hướng,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền
"3,3 tỷ VNĐ",Yên Xá - Thanh Trì - Hà Nội, 32m2, Đông nam, 2, 5, 3, 4,25/06/2022,Tin thường,batdongsan_so_com_vn_1670475095.2341976,
"6,5 tỷ VNĐ",Nguyễn Khuyến - Hà Đông - Hà Nội, 36m2,, 3, 5, 3, 4,27/06/2022,Tin thường,batdongsan_so_com_vn_1670475096.3770638,
800 triệu VNĐ,HOÀN KIẾM HÀ NỘI, 80m2,, 6,,,,25/10/2022,Tin thường,batdongsan_so_com_vn_1670475097.259369, 5
"4,5 tỷ VNĐ",Đường 19 tháng 5 phường Văn Quán, 46m2,, 4, 4, 4, 3,25/10/2022,Tin thường,batdongsan_so_com_vn_1670475098.6718557, 3
"16,5 tỷ VNĐ",Đường Trương Định phường Hoàng Liệt, 65m2,, 8, 5, 3, 4,25/10/2022,Tin thường,batdongsan_so_com_vn_1670475099.6996737, 5
"5,9 tỷ VNĐ",LÊ LỢI, 60m2,,,,,,25/10/2022,Tin thường,batdongsan_so_com_vn_1670475100.6890614, 6
"11,1 tỷ VNĐ",Đường Tứ Hiệp phường Tứ Hiệp, 84m2,, 35, 1, 1, 1,25/10/2022,Tin thường,batdongsan_so_com_vn_1670475101.8505025, 6
"2,5 tỷ VNĐ","Đông Dư, Gia Lâm", 30m2,,, 5,,,25/10/2022,Tin thường,batdongsan_so_com_vn_1670475103.0005288, 4
"2,08 tỷ VNĐ",Đường 3 phường Vân Nội, 55m2,,,,,,25/10/2022,Tin thường,batdongsan_so_com_vn_1670475103.9518495, 4
"24,4 tỷ VNĐ",Đường Phúc Lộc phường Vân Hà, 122m2,,,,,,25/10/2022,Tin thường,batdongsan_so_com_vn_1670475104.8698366, 8
"1,15 tỷ VNĐ",Đường Tỉnh Lộ 131 phường Sóc Sơn, 63m2,,,,,,25/10/2022,Tin thường,batdongsan_so_com_vn_1670475106.1050484, 4
"5,8 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 40m2,, 4, 5, 4, 4,25/10/2022,Tin thường,batdongsan_so_com_vn_1670475107.076597, 4
"5,5 tỷ VNĐ",Đường Bồ Đề phường Bồ Đề, 50m2,, 3, 4, 4, 4,25/10/2022,Tin thường,batdongsan_so_com_vn_1670475108.1038601, 4
68 tỷ VNĐ,"Vinhomes Riverside, Long Biên, HN", 250m2,,,,,,25/10/2022,Tin thường,batdongsan_so_com_vn_1670475109.1093037,
"2,4 tỷ VNĐ",Đường Phú Diễn phường Phú Diễn, 50m2,, 3, 1, 2, 2,25/10/2022,Tin thường,batdongsan_so_com_vn_1670475109.9535055,
25 tỷ VNĐ,Hoàng Quốc Việt Cầu Giấy, 69m2,,, 7,, 7,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475111.0406528, 4
"6,7 tỷ VNĐ","Hoàng Cầu, Đống Đa, Hà Nội", 67m2,,, 5, 3, 4,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475112.085467, 3
,Đường Xã Đàn phường Phương Mai,,, 1, 5,,,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475115.7143652,
"8,9 tỷ VNĐ",Đường Hồng Tiến phường Bồ Đề, 80m2,, 7, 4, 5, 5,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475118.1337912, 4
27 tỷ VNĐ,Mỹ Đình, 113m2,,, 7,,,14/10/2022,Tin thường,batdongsan_so_com_vn_1670475119.4445922,
