price,address,Diện tích,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới
30 tỷ VNĐ,Bán đất Chùa Láng 200m mt 20m sổ đỏ chính chủ, 200m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475238.937031,,,,,
"4,35 tỷ VNĐ",Bùi Xương Trạch, 35m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475240.746531, 6, 4, 5,,
20 tỷ VNĐ,"Phú Cường, Sóc Sơn", 2000m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475242.2521582, 5,,,,
17 tỷ VNĐ,Đường Kim Đồng phường Giáp Bát, 59m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475243.2453947, 4, 4, 3, 4, 3
"3,6 tỷ VNĐ",Đường Vân Hồ 2 phường Trương Định, 30m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475244.3170772, 5, 3, 4, 3, 3
"2,25 tỷ VNĐ","Tả Thanh Oai, Thanh Trì, Hà Nội", 30m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475245.4873967, 4, 3, 3, 3, 2
,Đường Hàm Nghi phường Mỹ Đình 2,,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475246.6689065, 7, 8, 7,, 15
"78,8 tỷ VNĐ",Đường Âu Cơ phường Nhật Tân, 246m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475247.6916664, 2, 4, 5, 12, 40
"4,3 tỷ VNĐ",Đường Thụy Khuê phường Thụy Khuê, 33m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475248.7560534, 5, 3,, 3, 2
3 tỷ VNĐ,"Trung Phụng, Đống Đa", 45m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475249.9380383, 4, 6, 5, 5,
3 tỷ VNĐ,Đường Trần Hữu Tước phường Trung Liệt, 50m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475250.9632983, 4, 3, 4, 5, 10
2 tỷ VNĐ,Đường Chùa Bộc phường Quang Trung, 35m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475251.9038165, 6, 4, 6, 3, 15
"2,5 tỷ VNĐ",Đường Tôn Đức Thắng phường Hàng Bột, 30m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475252.7839859, 4, 3, 5, 6, 3
5 tỷ VNĐ,"Trung Phụng, Đống Đa", 55m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670475254.4696884, 5, 6, 5, 5,
"9,6 tỷ VNĐ",Đường Láng Thượng phường Láng Thượng, 40m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475255.835847, 6, 6,, 6, 10
10 tỷ VNĐ,Đường Tân Mai phường Tân Mai, 58m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475257.4456246, 5,,,, 4
"9,3 tỷ VNĐ",CẦU GIẤY - HN, 60m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475261.868969,,,,,
"6,7 tỷ VNĐ",Cầu Giấy HÀ NỘI, 50m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475264.1299613,,,,,
"3,65 tỷ VNĐ",Đường Hoàng Mai phường Tân Mai, 95m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475265.3758695,,,, 10, 1
32 tỷ VNĐ,Đường Hồ Đền Lừ phường Định Công, 200m2,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475266.291519, 3, 8, 6, 12, 17
