price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Lộ giới
5 tỷ VNĐ,1 Hà Nôi, 66m2, 6, 4, 4, 3,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475443.0130916,
800 triệu VNĐ,hoàn kiếm hà nội, 80m2, 5,,,,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475443.980167, 6
"3,85 tỷ VNĐ",TRẦN PHÚ, 40m2,, 5, 4, 4,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475444.9884937,
"2,5 tỷ VNĐ",Đường Phạm Văn Đồng phường Cổ Nhuế 1, 77m2, 7, 1, 2, 2,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475446.249591, 1
"6,15 tỷ VNĐ",Đường Ngọc Lâm phường Ngọc Lâm, 50m2, 5, 4, 4, 4,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475447.1216497, 4
"4,2 tỷ VNĐ",Đường Ngô Quyền phường Quang Trung, 38m2, 4, 4, 4, 4,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475448.2963529, 3
"5,6 tỷ VNĐ",Đường Cầu Giấy phường Quan Hoa, 35m2, 4, 5, 4,,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475450.6948884, 3
"3,4 tỷ VNĐ","Nguyễn Lam, Phúc Đồng", 46m2,, 4, 4,,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475454.210935,
"4,3 tỷ VNĐ","Định Công Hạ, Hoàng Mai HN", 37m2,,,,,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475455.4606848,
"16,9 tỷ VNĐ","Phố Hoàng Văn Thái, Phường Khương Mai", 65m2, 8, 6, 5, 5,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475456.5274787, 7
"4,3 tỷ VNĐ","Định Công, Hoàng Mai HN", 39m2,,,,,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475457.416977,
"4,6 tỷ VNĐ",Đường Việt Hưng phường Việt Hưng, 54m2, 6, 4, 3, 4,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475458.648664, 5
"37,9 tỷ VNĐ",Quận Cầu Giấy, 90m2,,,,,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475459.8834763,
"5,5 tỷ VNĐ","Quận Hoàng Mai, Ngõ Phố Giáp Nhị", 55m2, 4, 5, 6, 5,23/10/2022,Tin thường,batdongsan_so_com_vn_1670475461.414748,
"6,4 tỷ VNĐ",Đường Nguyễn Trãi phường Thanh Xuân Trung, 50m2, 4, 4, 4, 4,22/10/2022,Tin thường,batdongsan_so_com_vn_1670475462.5971444, 3
"9,8 tỷ VNĐ",Đường Xa La phường Quang Trung, 80m2, 4, 6, 6, 6,22/10/2022,Tin thường,batdongsan_so_com_vn_1670475463.579259, 8
30 triệu VNĐ,Đường 21B phường Thanh Văn, 105m2,,,,,22/10/2022,Tin thường,batdongsan_so_com_vn_1670475464.6965742,
"8,8 tỷ VNĐ",Đường Nguyễn Lương Bằng phường Nam Đồng, 38m2, 5, 3, 4,,22/10/2022,Tin thường,batdongsan_so_com_vn_1670475466.012697, 30
5 tỷ VNĐ,Đường Nguyễn Thị Thập phường Thượng Đình, 102m2, 8, 25, 2, 2,22/10/2022,Tin thường,batdongsan_so_com_vn_1670475475.4901888, 1
