price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Số toilet,Hướng
"4,85 tỷ VNĐ",Đường Bùi Ngọc Dương phường Bạch Mai, 43m2, 4, 1, 5, 3,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476004.2467432,,
"23,5 tỷ VNĐ",Đường Lê Thanh Nghị phường Đồng Tâm, 66m2, 4, 4, 5, 8,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476005.0671012, 9,
"3,9 tỷ VNĐ",Đường Lê Trọng Tấn phường Khương Mai, 32m2, 4, 8, 5, 3,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476005.8475637, 3,
"13,9 tỷ VNĐ",18 Hoàng Ngân, 44m2,,,,,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476007.0784843,,
800 triệu VNĐ,LONG BIÊN HÀ NỘI, 80m2, 5, 6,,,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476007.8863664,,
550 triệu VNĐ,Đường Kim Ngưu phường Thanh Nhàn, 32m2, 4, 2,, 2,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476009.076006, 1,
"4,55 tỷ /tháng",phan huy chú yết kiêu, 31m2, 3, 8, 5, 3,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476010.2571945, 4, Tây bắc
57 tỷ VNĐ,Đường Vạn Phúc phường Liễu Giai, 135m2, 10, 35, 1, 2,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476011.2749062, 2,
"4,1 tỷ VNĐ",Đường Đỗ Đức Dục phường Mễ Trì, 69m2, 6, 1, 40, 2,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476012.4625013, 2,
100 tỷ VNĐ,Đường Bà Triệu phường Nguyễn Du, 191m2, 5, 20, 6, 5,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476013.5204294, 8,
"8,5 tỷ VNĐ",Đường Khuất Duy Tiến phường Nhân Chính, 42m2, 4, 3, 4, 6,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476014.597575,,
"16,9 tỷ VNĐ","Phố Hoàng Văn Thái, Phường Khương Mai.", 65m2, 8, 7, 6, 4,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476015.6860557, 5,
"1,35 tỷ VNĐ","Chương Mỹ, Hà Nội", 129m2,,,,,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476016.6752748,,
5 tỷ VNĐ,Đường Nguyễn Lam phường Phúc Đồng, 90m2, 6, 3, 1, 1,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476017.4836478, 1,
6 tỷ VNĐ,Đường Trường Chinh phường Ngã Tư Sở, 46m2, 4, 5, 4, 4,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476018.5902019, 3,
"6,5 tỷ VNĐ",Đường Thái Thịnh 1 phường Ô Chợ Dừa, 48m2, 4, 5, 5, 6,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476029.0383132, 4,
"5,5 tỷ VNĐ","Pháp Vân, Ngọc Hồi HN", 45m2,,,,,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476029.974541,,
"9,2 tỷ VNĐ",Đường Ngô Thì Nhậm phường Hà Cầu, 48m2, 4, 12, 5, 4,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476030.9798582, 4,
"4,85 tỷ VNĐ",Đường Mỹ Đình phường Mỹ Đình 1, 50m2, 4, 4, 5, 6,20/10/2022,Tin thường,batdongsan_so_com_vn_1670476032.1902626, 5,
