price,address,Diện tích,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền,Hướng
12 tỷ VNĐ,Biên Giang, 402m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476422.586367,,,,,,
"4,85 tỷ VNĐ",Đường Xuân Đỉnh phường Xuân Đỉnh, 36m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476423.6345072, 3, 5, 3, 4,,
"15,9 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 90m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476424.9339275, 15, 3, 4, 4, 7,
"4,7 tỷ VNĐ",Đường Đông Dư phường Đặng Xá, 63m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476425.9982946, 1, 6, 2, 2,,
"5,6 tỷ VNĐ",Đường La Dương phường Dương Nội, 50m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476426.8990772,,,,, 4,
"1,57 tỷ VNĐ",Đường Bắc Cầu phường Ngọc Thụy, 35m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476428.0267873, 3, 2, 2, 1, 4,
"2,1 tỷ VNĐ",Đồng Quang, 700m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476429.425212,,,,,,
"7,5 tỷ VNĐ",Vân Nội, 250m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476430.4020872,,,,,,
20 tỷ VNĐ,Ngọc Lâm, 98m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476431.4254835,,,,,, Tây nam
"7,5 tỷ VNĐ",Vân Nội, 250m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476432.3996944,,,,,,
"6,3 tỷ VNĐ",Đại La, 53m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476433.408708,, 5, 10, 5, 5, Tây bắc
"7,3 tỷ VNĐ",Đường Xa La phường Phúc La, 50m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476434.4023712,,,,, 4,
4 tỷ VNĐ,Đường Thái Thịnh phường Thịnh Quang, 34m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476435.5586662, 8, 5, 3, 3, 4,
"7,4 tỷ VNĐ",Đường Bạch Mai phường Bạch Mai, 75m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476436.619119, 3, 4, 4, 5, 4,
"10,2 tỷ VNĐ",Đường Đại Cát phường Cổ Nhuế 1, 55m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476437.6860046, 25, 3, 4,, 6,
780 triệu VNĐ,Đường Quốc lộ 14 phường Minh Phú, 104m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476438.8027327,,,,, 4,
39 triệu VNĐ,"Số 29 Tố Hữu, Trung Văn, Nam Từ Liêm, Hà Nội", 106m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476439.9610276, 10, 10, 3, 2, 10, Đông nam
"2,7 tỷ VNĐ",Đường Khuất Duy Tiến phường Nhân Chính, 82m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476441.2385163, 1,, 2, 2,,
"11,2 tỷ VNĐ",Đường Cầu Giấy phường Yên Hòa, 70m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476442.3394926, 3, 7, 14, 14, 4,
800 triệu VNĐ,BA ĐÌNH HÀ NỘI, 80m2,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476443.3354025, 6,,,, 5,
