price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
,"💥CHÍNH CHỦ BÁN NHÀ mặt đường bờ Sông Sét (ngõ 553 Giải Phóng) P.Giáp Bát, Hoàng Mai, 0918188590", 191m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478215.9802673,,,,,,
"3,8 tỷ VNĐ",547.x Minh Khai, 30m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478218.5507824, 3, 5, 3, 4,,
"9,7 tỷ VNĐ",Đường Hoàng Cầu phường Ô Chợ Dừa, 50m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478220.5535548, 6, 4, 4, 5, 10,
"3,9 tỷ VNĐ",455.x Minh Khai, 30m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478222.4590154, 3, 5, 3, 4,,
10 tỷ VNĐ,Đường Quốc lộ 5B phường Kiêu Kỵ, 60m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478224.654447, 4, 5, 4, 5, 15,
"2,7 tỷ VNĐ",Đường Lương Thế Vinh phường Mễ Trì, 69m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478227.0875516, 7, 4, 2, 2, 24,
5 tỷ VNĐ,"💥Chính chủ bán CHCC toà S3 VinHomes SkyLake Phạm Hùng view hồ điều hoà, full đồ cao cấp, 5 tỷ; 0766888897", 76m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478229.0350862,,,,,,
48 triệu VNĐ,Đường Cổ Dương phường Tiên Dương, 72m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478232.2594538, 5,,,,,
5 tỷ VNĐ,Đường Láng Hạ phường Láng Hạ, 30m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478235.1330054, 5, 5, 5, 4, 5,
"4,45 tỷ VNĐ",Đường Châu Văn Liêm phường Phú Đô, 40m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478237.1350782, 5, 5, 3, 4, 4,
"23,8 tỷ VNĐ",Đường Nguyễn Khuyến phường Biên Giang, 110m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478241.1830788, 7, 4, 5,, 20,
"7,6 tỷ VNĐ",Đường Hoàng Văn Thái phường Khương Mai, 60m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478245.0896668, 4, 4, 4, 4, 6,
"2,75 tỷ VNĐ",Đường Tố Hữu phường La Khê, 103m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478248.5812798, 8, 1, 3, 2, 10,
"8,8 tỷ VNĐ",Cầu Giấy Quan Hoa Hà Nội, 62m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478253.22349,,,,,,
3 tỷ VNĐ,Đường Tố Hữu phường Trung Văn, 108m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478259.6118395,, 11, 3, 2, 15,
"2,196 tỷ VNĐ","đông hội, đông anh hn", 77m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478263.7207766,,, 2, 2,, Đông nam
8 tỷ VNĐ,Đường Mỗ Lao phường Mộ Lao, 40m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478267.0755808, 1, 5, 4, 5, 10,
35 tỷ VNĐ,Đường Cầu Giấy phường Dịch Vọng, 140m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478270.5772202, 10, 5, 5, 5, 40,
"4,2 tỷ VNĐ","Long Biên,Hà Nội", 52m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478273.058993, 4, 2, 2, 3, 3,
700 triệu VNĐ,Bach Hạ, 64m2,14/10/2022,Tin thường,batdongsan_so_com_vn_1670478276.164897,,,,,,
