price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Hướng
5 tỷ VNĐ,Đường Thái Hà phường Ô Chợ Dừa, 40m2, 4, 4, 5, 4, 3,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478654.1214607,
"4,38 tỷ VNĐ",Đường Tô Vĩnh Diện phường Khương Trung, 39m2, 3, 3, 4, 4, 3,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478656.245963,
"6,6 tỷ VNĐ",Đường Đình Thôn phường Mỹ Đình 1, 66m2, 5, 4, 4, 5, 5,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478658.7437913,
"1,48 tỷ VNĐ",Đường 32 phường Đan Phượng, 57m2, 4,,,,,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478661.50893,
"3,65 tỷ VNĐ",Đường Trần Cung phường Nghĩa Tân, 35m2, 4, 5, 5, 3, 4,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478664.9270656,
"8,6 tỷ VNĐ",Đường Trần Đăng Ninh phường Quang Trung, 45m2,, 1, 4, 4, 4,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478667.1948051,
8 tỷ VNĐ,Đường Ngọc Lâm phường Ngọc Lâm, 59m2, 5, 6, 5, 4, 4,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478669.6145494,
987 triệu VNĐ,Đường Tỉnh Lộ 35 phường Hồng Kỳ, 90m2, 7,,,,,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478672.0741856,
3 tỷ VNĐ,Đường Phú Đô phường Phú Đô, 32m2, 4, 3, 5, 4,,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478674.372807,
"4,75 tỷ VNĐ","Vương Thừa Vũ, Khương Mai, Thanh Xuân", 46m2,,, 5, 6,,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478676.5428336,
"34,86 tỷ VNĐ",Đường Dương Khuê phường Mai Dịch, 94m2, 9, 1, 8, 11, 8,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478678.3676085,
"7,9 tỷ VNĐ",Đường Lương Ngọc Quyến phường Văn Quán, 50m2, 4, 8, 4, 4, 4,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478680.9163945,
"6,25 tỷ VNĐ","⭐Chính chủ bán nhà ngõ 24 Ngọc Lâm, Long Biên, 6,25 tỷ; 0888923525", 42m2,,,,,,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478682.9881697,
"4,5 tỷ VNĐ",Đường Xuân Phương phường Xuân Phương, 38m2, 4, 4, 1,,,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478685.9811606,
"2,7 tỷ VNĐ",Đường Lương Thế Vinh phường Mễ Trì, 69m2, 7, 24, 4, 2, 2,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478687.68937,
"2,6 tỷ VNĐ",Đường Tố Hữu phường La Khê, 85m2, 5, 10, 1, 2, 2,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478690.1343467,
"3,1 tỷ VNĐ","105 Chu Văn An, Yết Kiêu, Hà Đông", 80.43m2,,,, 2, 2,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478692.2897673, Đông nam
73 tỷ VNĐ,Đường Trần Thái Tông phường Dịch Vọng Hậu, 90m2, 6, 15, 9, 9, 9,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478694.5230198,
39 triệu VNĐ/m2,"số 29 Tố Hữu, Trung Văn, Nam Từ Liêm, Hà Nội", 105m2, 10,, 10, 3, 2,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478697.652932, Đông nam
"3,1 tỷ VNĐ","105 Chu Văn An, Yết Kiêu, Hà Đông", 81m2,,,, 2, 2,13/10/2022,Tin thường,batdongsan_so_com_vn_1670478703.0131993, Đông nam
