price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Hướng,Số toilet
"2,7 tỷ VNĐ","Đường Hoa Bằng, Quan Hoa, Cầu Giấy", 26m2, 4, 3, 4, 3,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441973.3423696,,
"2,48 tỷ VNĐ","Đường Huyền Kỳ, Phú Lãm, Hà Đông", 58m2, 4,,,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441975.3392565, Tây bắc,
"2,7 tỷ VNĐ","Đường Khâm Thiên, Trung Phụng, Đống Đa", 34m2, 3, 2, 4, 3,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441977.6597068,, 3
"2,2 tỷ VNĐ","Đường Lê Xuân Điệp, Kiến Hưng, Hà Đông", 68m2, 8, 1,, 2,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441980.034421, Tây bắc, 2
"6,7 tỷ VNĐ","Khúc Thừa Dụ, Cầu Giấy", 45m2, 4,, 4, 4,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441982.592694,,
"6,25 tỷ VNĐ","Đường , Thạch Bàn, Long Biên", 38m2, 4, 5, 5, 4,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441985.029613,, 4
"7,8 tỷ VNĐ","Đường Thanh Am, Thượng Thanh, Long Biên", 50m2, 3, 7, 5, 4,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441986.7342243,, 4
"5,05 tỷ VNĐ","Đường Xuân Thủy, Dịch Vọng, Cầu Giấy", 42m2, 3, 2, 5, 7,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441990.2138164,, 4
6 tỷ VNĐ,"Thanh Xuân, Hà Nội", 45m2,,,,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441992.8296106,,
"2,7 tỷ VNĐ","Đường Văn Chương, Văn Chương, Đống Đa", 42m2, 4, 3, 5, 4,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441995.404616,,
28 tỷ VNĐ,"Đường Hoàng Hoa Thám, Bưởi, Tây Hồ", 85m2, 5, 15, 4, 4,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441997.684469,, 4
32 tỷ VNĐ,"Đường Cầu vượt Mai Dịch, Dịch Vọng, Cầu Giấy", 185m2, 10, 2, 4, 4,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442000.0032241, Tây nam, 5
"3,3 tỷ VNĐ","Đường Nguyễn Cảnh Dị, Đại Kim, Hoàng Mai", 78m2, 6, 30, 1, 2,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442002.5694156,, 2
"6,8 tỷ VNĐ","Đường Chùa Bộc, Quang Trung, Đống Đa", 40m2, 4, 10, 5, 6,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442004.943012,,
"2,7 tỷ VNĐ",Phồ Vọng, 30m2,,,,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442006.6976838,,
"3,7 tỷ VNĐ",Mậu Lương - Hà Đông, 37m2,,, 4,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442009.0768983,,
"3,6 tỷ VNĐ",Mậu Lương - Hà Đông, 38m2,,, 4,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442011.0917428,,
"10,5 tỷ VNĐ",Văn Phú - Hà Đông, 90m2,,, 4,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442012.6047792,,
"10,3 tỷ VNĐ",Văn Phú - Hà Đông, 90m2, 4,,,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442015.598069,,
2 tỷ VNĐ,"Đường Khương Trung, Khương Trung, Thanh Xuân", 30m2, 4, 3,, 2,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442018.0378613,, 2
