price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Hướng
,"Đường Vĩnh Phúc, Vĩnh Phúc, Ba Đình", 30m2, 3, 4, 3,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442082.3474884,,,
,MỸ  HƯNG THANH OAI, 140m2, 4,,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442084.9050343, 9,,
"25,5 triệu VNĐ/m2","Chung cư C17, Phương Ngọc Thụy, Long Biên, Hà Nội", 114m2,,, 3,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442087.2542305,, 2,
"3,7 tỷ VNĐ","Đường Lê Quang Đạo, Mỹ Đình 2, Nam Từ Liêm", 33m2, 3, 5, 3,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442089.1646092, 4,,
"1,5 tỷ VNĐ","Đường Bùi Ngọc Dương, Bạch Mai, Hai Bà Trưng", 135m2,,,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442091.1037822, 7,,
"38,5 tỷ VNĐ","Đường Định Công Thượng, Định Công, Hoàng Mai", 60m2, 10, 4, 4,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442093.60648,,,
9 triệu VNĐ/m2,HÀ NỘI, 80m2,,,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442095.8893487,,,
4 triệu VNĐ,lê duẩn, 38m2,,,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442098.2524426,,,
32 tỷ VNĐ,"Đường Cầu vượt Mai Dịch, Dịch Vọng, Cầu Giấy", 185m2, 2, 4, 4,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442101.2765234, 10, 5, Tây nam
"6,6 tỷ VNĐ","Đường Trần Bình, Mai Dịch, Cầu Giấy", 55m2, 5, 5, 4,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442103.2738798, 4, 3,
"1,75 tỷ VNĐ","Đường Lĩnh Nam, Vĩnh Hưng, Hoàng Mai", 47m2, 8, 5, 2,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442105.5231528, 4, 2,
"4,39 tỷ VNĐ",Phan Đình Giót, 35m2,, 5, 3,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442108.1862545, 4,,
"17,2 tỷ VNĐ",Phạm Ngọc Thạch Đống Đa Hà Nội, 76m2,, 4, 3,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442110.7100291, 4, 3,
"27,5 tỷ VNĐ","nam dư, lính nam, hoàng mai, Hà Nội", 145m2, 6, 8, 10,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442113.6763005, 13, 10,
"5,8 tỷ VNĐ","Đường Vương Thừa Vũ, Khương Mai, Thanh Xuân", 35m2, 4, 4, 4,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442115.3817227,, 4,
11 tỷ VNĐ,phường nghĩa đô, 60m2,,,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442118.154229,,,
"3,3 tỷ VNĐ","Đường Phan Đình Giót, La Khê, Hà Đông", 40m2, 4, 3, 2,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442121.2072313, 4, 3,
800 triệu VNĐ,"Đường Giáp Bát, Giáp Bát, Hoàng Mai", 50m2, 2, 7, 2,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442123.8654697,,,
201 triệu VNĐ/m2,31 Lê văn Lương, 93m2,, 5, 6,30/11/2022,Tin thường,batdongsan_so_com_vn_1670442126.419183, 5, 4, Tây bắc
"3,5 tỷ VNĐ",mai động, 36m2,, 4, 4,28/04/2022,Tin thường,batdongsan_so_com_vn_1670442128.820238, 3, 3,
