price,address,Diện tích,Mặt tiền,Lộ giới,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Số tầng
900 triệu VNĐ,Hùng Vương, 132m2, 132, 22,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482313.2914548,,,
13 tỷ VNĐ,Đường Linh Đàm phường Hoàng Liệt, 102m2, 6,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482315.8415115,,,
,Đường Cổ Điển A phường Tứ Hiệp, 127m2,, 26,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482318.6857843, 4, 3,
"6,5 tỷ VNĐ",CẦU GIẤY, 56m2, 6,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482321.0928447, 10, 10, 6
"10,85 tỷ VNĐ",Đường Kim Quan Thượng phường Bồ Đề, 70m2, 6,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482324.171906,,,
"7,3 tỷ VNĐ",Đường Thụy Phương phường Thụy Phương, 55m2, 7, 5,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482329.2095585, 4, 3, 3
6 tỷ VNĐ,Đường Kim Mã phường Kim Mã, 56m2, 5, 5,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482332.2729044, 4, 4, 4
3 tỷ VNĐ,Đường Ngọc Trục phường Đại Mỗ, 38m2, 4, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482334.3084733, 4,, 5
3 tỷ VNĐ,Đường Ngọc Trục phường Đại Mỗ, 38m2, 4, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482337.4072006, 4,, 5
"7,6 tỷ VNĐ",Đường Kiêu Kỵ phường Kiêu Kỵ, 60m2, 4, 15,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482340.2721424, 4, 5, 5
"2,2 tỷ VNĐ",Đường Tân Mai phường Tân Mai, 25m2, 3, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482342.672381, 4, 4, 5
"15,5 tỷ VNĐ",Quận Cầu Giấy, 50m2,,,29/09/2022,Tin thường,batdongsan_so_com_vn_1670482345.3459172,,,
"3,2 tỷ VNĐ",Lê Hồng Phong, 35m2, 4,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482348.5074258, 3,, 4
"15,5 tỷ VNĐ",Quận Nam Từ Liêm, 50m2,,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482351.369857,,,
"5,5 tỷ VNĐ",Đường Chùa Láng phường Láng Thượng, 45m2,, 4,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482353.7362285, 8, 4, 5
"5,36 tỷ VNĐ",Đường An Đào C phường Trâu Quỳ, 40m2, 4,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482356.2377863,,,
3 tỷ VNĐ,Đường Ngọc Trục phường Đại Mỗ, 40m2, 4, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482358.785642, 5, 5, 5
9 tỷ VNĐ,"Văn Quán, Hà Đông, Hà Nội", 55m2, 4, 4,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482362.393618, 4,, 5
"11,3 tỷ VNĐ",Đường Bồ Đề phường Bồ Đề, 72m2, 6, 5,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482364.6695445, 5, 6, 5
6 tỷ VNĐ,nguyễn văn trỗi thanh xuân hà nội., 54m2, 3,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482367.2422228, 3, 2, 3
