price,address,Diện tích,Mặt tiền,Lộ giới,Ngày đăng,Loại tin,id,Hướng,Số tầng,Số phòng ngủ,Số toilet
18 triệu VNĐ/m2,"xã Tân Ước, Huyện Thanh Oai", 228m2, 12, 2,22/09/2022,Tin thường,batdongsan_so_com_vn_1670482869.3618464,,,,
"3,9 tỷ VNĐ","93 Láng Hạ, Đống Đa, Hà Nội", 46m2,,,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482871.835539, Đông nam, 10, 2, 2
"2,3 tỷ VNĐ",Đường Phúc Lợi phường Phúc Lợi, 40m2, 4, 6,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482874.0954125,, 1, 1, 1
"3,6 tỷ VNĐ",135 Trần Phú, 98m2, 10, 10,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482877.2476547, Tây bắc, 1, 2, 2
"13,9 tỷ VNĐ",Đường Mễ Trì Thượng phường Mễ Trì, 100m2, 6, 6,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482879.678808,, 5, 18, 18
"6,1 tỷ VNĐ",Đường Xuân Thủy phường Dịch Vọng Hậu, 45m2, 3, 3,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482881.820196,, 5, 4, 4
"8,6 tỷ VNĐ",Đường Võ Thị Sáu phường Thanh Nhàn, 40m2, 6, 10,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482884.2472632,, 6, 4, 6
"13,2 tỷ VNĐ","Đường Nguyễn An Ninh, Phường Tương Mai.", 60m2, 4, 10,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482886.34557,, 5, 5, 4
"13,2 tỷ VNĐ","Đường Nguyễn An Ninh, Phường Tương Mai", 60m2, 4, 10,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482888.8055239,, 5, 5, 4
10 tỷ VNĐ,"93 Láng Hạ, quận Đống Đa, Hà Nội", 140m2,,,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482890.7740147, Tây bắc,, 3, 2
"6,5 tỷ VNĐ",Thanh Xuân, 56m2, 3,,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482894.9698389,, 4,,
"2,7 tỷ VNĐ",Đường Châu Văn Liêm phường Phú Đô, 31m2, 5, 1,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482896.8299944,, 1, 1, 3
,92 mai động, 73m2,,,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482899.112402,,, 2, 2
"2,7 tỷ VNĐ",Đường Châu Văn Liêm phường Phú Đô, 31m2, 5, 1,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482900.834759,, 1, 1, 3
"13,2 tỷ VNĐ","Đường Nguyễn An Ninh, Phường Tương Mai.", 60m2, 4, 10,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482903.5040696,, 5, 5, 4
"2,1 tỷ VNĐ",Đường 19 phường Đông Anh, 54m2, 5,,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482905.5986764,,,,
41 triệu VNĐ/m2,"Lô đất số 20, khu dịch vụ nhà ở, Phùng Xá, Thạch Thất, Hà Nội", 92.5m2, 5,,04/07/2022,Tin thường,batdongsan_so_com_vn_1670482908.0540898, Đông nam,,,
"3,45 tỷ VNĐ","hoàng mai, hà nội", 32m2,,,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482909.8818026,,,,
"6,8 tỷ VNĐ",Đường Ngô Gia Tự phường Việt Hưng, 55m2, 5, 5,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482912.5434463,, 5, 4, 4
"3,55 tỷ VNĐ",22.x Nguyễn Công Trứ, 30m2, 4,,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482914.2385137,, 4, 3, 3
