price,address,Lộ giới,Ngày đăng,Loại tin,id,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet
,Đường Tố Hữu phường Trung Văn, 1,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483442.1392245,,,,,
"5,4 tỷ VNĐ",Đường 633 Tân Mai phường Tân Mai, 1,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483445.5296793, 33m2, 3, 5, 3, 3
"7,5 tỷ VNĐ",Đường Khu X2B phường Yên Sở, 1,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483447.3818793, 54m2, 3, 5, 3, 3
29 tỷ VNĐ,Đường Phúc Đồng phường Phúc Đồng, 5,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483450.738185, 215m2,,,,
32 tỷ VNĐ,Đường Đình Thôn phường Mỹ Đình 1, 10,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483453.4457018, 108m2, 10, 8, 9, 10
,Đường Trần Phú phường Văn Quán, 1,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483456.562541,,,,,
"4,8 tỷ VNĐ",Đường Hoàng Quốc Việt phường Nghĩa Tân, 2,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483460.3437095, 41m2, 4, 5, 3, 3
"6,6 tỷ VNĐ",Đường Yên Lộ phường Yên Nghĩa, 15,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483465.0111728, 50m2, 4, 4, 4, 4
"2,6 tỷ VNĐ",135 Trần Phú, 10,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483469.0184553, 74m2, 10, 1, 2, 2
"5,9 tỷ VNĐ",Đường Hoàng Văn Thái phường Thanh Xuân Nam, 3,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483472.8460183, 37m2, 5, 4, 4, 4
"9,2 tỷ VNĐ",Đường Lê Trọng Tấn phường Khương Mai, 6,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483475.8266816, 63m2,,,,
"6,3 tỷ VNĐ",Đường Tây Sơn phường Thịnh Quang, 3,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483480.207441, 40m2, 4, 5, 5, 4
840 triệu VNĐ,ba đình hà nội, 6,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483484.3916514, 80m2, 5,,,
"4,15 tỷ VNĐ",Đường Yên Hòa phường Yên Hòa, 3,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483488.3074286, 40m2, 4, 5, 3, 3
4 tỷ VNĐ,Đường Kim Giang phường Đại Kim, 10,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483490.587367, 50m2, 4, 1,,
"4,5 tỷ VNĐ",Trương Công Định,,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483494.678339, 39m2,, 5,,
31 tỷ VNĐ,Đường Vĩnh Phúc phường Vĩnh Phúc,,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483497.9021206, 197m2, 8,,,
"3,75 tỷ VNĐ",Đường Phú Kiều phường Phúc Diễn, 3,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483505.2547293, 42m2, 6, 4, 4, 3
"5,3 tỷ VNĐ",Đường Đê La Thành phường Ô Chợ Dừa, 2,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483508.1716483, 40m2, 4, 4, 3, 3
6 tỷ VNĐ,Đường Núi Trúc phường Kim Mã, 4,04/10/2022,Tin thường,batdongsan_so_com_vn_1670483512.112753, 55m2, 5, 4, 4, 4
