price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới
"3,9 tỷ VNĐ",Văn Phú- Hà Đông, 39m2, 5,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491557.1804934,,,,,
"7,5 tỷ VNĐ",Tản Đà- Hà Đông, 48m2, 5,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491559.7603083,,,,,
"7,4 tỷ VNĐ",Hoàng Diệu- Hà Đông, 49m2, 5,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491561.4288254,,,,,
6 tỷ VNĐ,"93 Láng Hạ, quận Đống Đa, Hà Nội", 70m2,,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491566.6312559, Tây bắc, 2, 2,,
900 triệu VNĐ,Hùng Vương, 132m2,,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491571.2261586,,,, 6, 22
136 triệu VNĐ/m2,16 Láng Hạ, 126m2, 10,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491577.5422394, Tây nam, 3, 2,,
"3,3 tỷ VNĐ",xa la kiến hưng hà đông, 35m2,,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491580.4517603,,,,,
22 tỷ VNĐ,"Phố Giang Văn Minh - Núi Trúc, Phường Kim Mã, Quận Ba Đình, Hà Nội", 80m2, 4,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491582.434426,, 4, 5, 6, 8
18 tỷ VNĐ,Đường Hoàng Ngân phường Dịch Vọng, 69m2, 7,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491584.729661,, 5, 6, 4, 1
"3,9 tỷ VNĐ","Lê trong tấn, thanh xuân, hà nội.", 42m2, 5,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491587.4779499,, 6, 4, 3, 10
"21,5 triệu VNĐ/m2","Yên Sơn, Quốc Oai, Hà Nội", 45.1m2,,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491590.4462106, Đông bắc,,, 3,
"8,35 tỷ VNĐ",Đường Đội cấn phường Ngọc Hà, 60m2, 4,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491593.018504,, 4, 4, 5, 5
"3,29 tỷ VNĐ",Đường Hải Bối phường Hải Bối, 89m2,,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491597.1006289,,,, 4,
,Đường Vũ Phạm Hàm phường Yên Hòa, 300m2,,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491599.3568065,,,, 30, 1
"5,3 tỷ VNĐ",Đường Trung Kính phường Trung Hòa, 47m2, 4,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491600.871803,, 4, 3, 3, 2
"4,8 tỷ VNĐ",Đường Bồ Đề phường Bồ Đề, 855m2, 4,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491602.504123,, 4, 4, 4, 5
"17,55 tỷ VNĐ",Lê Đức Thọ - Mỹ Đình, 66m2, 8,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491604.3395264,, 4, 7, 5,
3 tỷ VNĐ,"Nguyễn Văn Linh, Thạch bàn", 38m2,,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491605.5162187,,,, 3, 6
"10,9 tỷ VNĐ",Đường Trần Thái Tông phường Dịch Vọng Hậu, 50m2, 7,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491607.0934818,, 4, 6, 6, 7
"11,5 tỷ VNĐ",Đường Hoàng Ngân phường Nhân Chính, 64m2, 8,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491608.6801982,, 14, 14, 4, 3
