price,address,Diện tích,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Lộ giới,Số toilet,Hướng
"7,5 tỷ VNĐ",CẦU GIẤY HÀ NỘI, 50m2,11/09/2022,Tin thường,batdongsan_so_com_vn_1670493301.1702366,,,,,,
"11,8 tỷ VNĐ","Đường Nguyễn Văn Huyên, Cầu Giấy, Hà Nội", 99m2,12/09/2022,Tin thường,batdongsan_so_com_vn_1670493304.612545,,,,,,
"8,9 tỷ VNĐ",Đường Cầu Giấy - Hà Nội, 45m2,12/09/2022,Tin thường,batdongsan_so_com_vn_1670493307.340988,,,,,,
6 tỷ VNĐ,Cầu Giấy - Hà Nội, 41m2,12/09/2022,Tin thường,batdongsan_so_com_vn_1670493309.4321868,,,,,,
"7,3 tỷ VNĐ",CẦU GIẤY - HÀ NỘI, 44m2,17/09/2022,Tin thường,batdongsan_so_com_vn_1670493310.7556486,,,,,,
"6,5 tỷ VNĐ",Cầu Giấy - Hà Nội, 58m2,12/09/2022,Tin thường,batdongsan_so_com_vn_1670493312.5199292,,,,,,
"9,5 tỷ VNĐ",CẦU GIẤY HÀ NỘI, 46m2,17/09/2022,Tin thường,batdongsan_so_com_vn_1670493314.111927,,,,,,
"8,2 tỷ VNĐ",CẦU GIẤY - HÀ NỘI, 42m2,17/09/2022,Tin thường,batdongsan_so_com_vn_1670493315.8343122,,,,,,
"6,9 tỷ VNĐ",CẦU GIẤY - HÀ NỘI, 30m2,17/09/2022,Tin thường,batdongsan_so_com_vn_1670493319.9623992,,,,,,
"7,9 tỷ VNĐ",CẦU GIẤY HÀ NỘI, 60m2,18/09/2022,Tin thường,batdongsan_so_com_vn_1670493321.2399828,,,,,,
"5,7 tỷ VNĐ",CẦU GIẤY - HÀ NỘI, 50m2,18/09/2022,Tin thường,batdongsan_so_com_vn_1670493322.440771,,,,,,
"6,3 tỷ VNĐ",Cầu Giấy Hà Nội, 50m2,19/09/2022,Tin thường,batdongsan_so_com_vn_1670493324.169149,,,,,,
"7,1 tỷ VNĐ",Cầu Giấy Hà Nội, 50m2,19/09/2022,Tin thường,batdongsan_so_com_vn_1670493325.6516771, 6, 10,,,,
"12,3 tỷ VNĐ",CẦU GIẤY HÀ NỘI, 56m2,19/09/2022,Tin thường,batdongsan_so_com_vn_1670493327.5482492,,,,,,
"9,3 tỷ VNĐ",CẦU GIẤY HÀ NỘI, 58m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670493329.2347848,,,,,,
"7,3 tỷ VNĐ",CẦU GIẤY, 54m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670493330.3641443,,,,,,
12 tỷ VNĐ,cầu giấy, 40m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670493331.4731765,,,,,,
2 tỷ VNĐ,Đường Lĩnh Nam phường Lĩnh Nam, 45m2,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493332.6992204, 4, 4, 4, 3, 3,
"34,99 tỷ VNĐ",Lê Đức Thọ, 96m2,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493334.3019328, 7, 6, 6, 14, 6, Đông bắc
"1,98 tỷ VNĐ",Đường Giải Phóng phường Thịnh Liệt, 30m2,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493335.790745, 4, 2, 4, 3, 3,
