price,address,Diện tích,Mặt tiền,Số tầng,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số phòng ngủ,Số toilet
11 tỷ VNĐ,"Hai Bà Trưng, Hà Nội", 65m2, 4, 7,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493723.3669536,,,,
17 triệu VNĐ/m2,"Làng Phúc Đức, Sài Sơn, Quốc Oai, Hà Nội", 107m2, 6,,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493725.3476038, Tây nam,,,
"2,1 tỷ VNĐ",Đường Cổ Linh phường Long Biên, 30m2,, 1,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493726.731904,, 2, 1, 1
"16,96 tỷ VNĐ",Dươnng Khuê - Cầu Giấy, 74m2, 9, 5,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493727.860883,,, 5, 5
"6,1 tỷ VNĐ",Đường Đỗ Đức Dục phường Mỹ Đình 2, 48m2, 5,,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493728.8821528,,,,
"5,2 tỷ VNĐ","Trần Phú, Hà Đông, Hà Nội", 53m2, 4, 2,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493730.1767263,, 3, 3,
4 tỷ VNĐ,Cầu Đơ- Hà Đông, 38m2,, 5,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493731.2208982,,,,
"3,8 tỷ VNĐ",Văn Phú- Hà Đông, 38m2,, 5,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493732.2192287,,,,
"12,3 tỷ VNĐ",Văn Phú- Hà Đông, 83m2,, 4,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493733.3841133,,,,
"12,2 tỷ VNĐ",Văn Phú- Hà Đông, 83m2, 4,,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493734.4324179,,,,
7 tỷ VNĐ,Đường Cầu Giấy phường Quan Hoa, 70m2, 4, 6,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493735.4277163,, 6, 9, 10
120 tỷ VNĐ,QUAN CAU GIAY, 210m2,,,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493736.4519765,,,,
120 tỷ VNĐ,QUAN CAU GIAY, 210m2,,,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493737.3495772,,,,
"5,8 tỷ VNĐ",Đường Pháo Đài Láng phường Láng Thượng, 40m2, 5, 4,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493738.7179177,, 3, 4, 4
"5,1 tỷ VNĐ",Đường Nguyễn Chí Thanh phường Láng Hạ, 133m2,,,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493739.8439064,, 29, 3, 2
750 triệu VNĐ,"2. Bán nhà thôn Nam Dương, xã Hòa Nam, huyện Ứng Hòa, Hà Nội", 30m2,,,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493740.8631809,,,,
"3,9 tỷ VNĐ",Trường Chinh, 34m2,, 5,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493741.8605206,,,,
"3,2 tỷ VNĐ",Đường 299 Cầu Giấy phường Dịch Vọng, 100m2,,,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493742.8877678,, 29, 2, 2
866 triệu VNĐ,hoàn kiếm hà nội, 80m2, 5,,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493747.0425024,, 6,,
"3,3 tỷ VNĐ",Phố Lê Hồng Phong, 35m2, 4, 4,24/09/2022,Tin thường,batdongsan_so_com_vn_1670493748.2552574,,,,
