price,address,Diện tích,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Mặt tiền,Số toilet,Hướng
17 tỷ VNĐ,PHƯỜNG BƯỞI, 60m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442742.903508,,,,,,
"4,5 tỷ VNĐ","Đường Cầu Giấy, Dịch Vọng Hậu, Cầu Giấy", 40m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442745.476932, 3, 4, 4,,,
"3,45 tỷ VNĐ","Đường Thượng Thanh, Thượng Thanh, Long Biên", 33m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442747.9224703, 2, 5, 3, 4, 4,
"3,7 tỷ VNĐ","Cổ Điển B, Thanh Trì Hà Nội", 34m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442750.276748,,,,,,
"2,75 tỷ VNĐ","Đường Ngọc Thụy, Phường Ngọc Thụy, quận Long Biên, Hà Nội", 40m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442752.2410924,, 4, 4,,,
"4,6 tỷ VNĐ","Đường Cầu Giấy, Quan Hoa, Cầu Giấy", 40m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442754.3628352, 3, 5,,,,
"4,45 tỷ VNĐ","Đường Láng Hạ, Láng Hạ, Đống Đa", 38m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442756.807414, 2, 5, 3, 4, 5,
"4,05 tỷ VNĐ","Cổ Điển A, Thanh Trì Hà Nội", 42m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442759.2616918,,,,,,
7 tỷ VNĐ,"Đường Láng, Láng Thượng, Đống Đa", 34m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442761.7679713, 50, 3,, 3,,
91 tỷ VNĐ,Cầu Giấy Hà Nội, 263m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442763.6901174,, 2, 2, 6, 2,
2 tỷ VNĐ,"Đường Khương Trung, Khương Trung, Thanh Xuân", 30m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442766.0323076, 3,, 2, 4, 2,
"4,58 tỷ VNĐ","Đường Tân Triều, Tân Triều, Thanh Trì", 49m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442768.528982, 4, 4, 4, 4, 4,
"2,3 tỷ VNĐ","Đường Đại lộ Thăng Long, An Khánh, Hoài Đức", 55m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442770.7501826, 4, 4, 4, 4, 3,
"3,6 tỷ VNĐ","Đường Giếng Mứt, Bạch Mai, Hai Bà Trưng", 38m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442773.2633548, 3, 3, 2, 3, 2,
"3,5 tỷ VNĐ","Đường sài đồng, Sài Đồng, Long Biên", 51m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442775.6917024,,,, 4,,
"5,5 tỷ VNĐ","Số 55 Nguyễn Văn Giáp, Cầu Diễn, Nam Từ Liêm, Hà Nội", 113m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442777.9821825,,, 3,, 2, Đông bắc
"8,75 tỷ VNĐ",Đê La Thành, 80m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442780.653721,, 6, 10, 6, 10,
19 tỷ VNĐ,"Đường Trần Quang Diệu, Quang Trung, Đống Đa", 65m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442782.6816738, 4, 6, 4, 6, 5,
"5,4 tỷ VNĐ","Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 50m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442786.752542, 6, 5, 4, 4, 4,
"2,6 tỷ VNĐ","Đường Ngọc Hồi, Hoàng Liệt, Hoàng Mai", 71m2,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442789.3651974, 1, 17, 2,, 2,
