price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Hướng
12 tỷ VNĐ,Văn Phú- Hà Đông, 83m2, 4,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493942.5854669,,,,,
"6,5 tỷ VNĐ",Đường Chùa Bộc phường Quang Trung, 50m2, 4,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493943.6640332, 3, 4, 4, 4,
15 tỷ VNĐ,Đường Tôn Thất Tùng phường Khương Thượng, 58m2, 7,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493944.5369012, 4, 4, 5,,
"3,7 tỷ VNĐ",Đường Giải Phóng phường Giáp Bát, 35m2, 5,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493945.652985, 4, 3, 3, 3,
"10,5 tỷ VNĐ",Hồ Tùng Mậu Mai Dịch Cầu Giấy Hà Nội, 57m2, 7,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493946.67296, 5,,,,
"2,45 tỷ VNĐ",Đường Trần Phú phường Mộ Lao, 95m2, 12,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493947.700788, 9, 10, 2, 2,
"6,5 tỷ VNĐ",Đường Võng Thị phường Bưởi, 50m2, 4,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493948.994252, 4, 4, 4, 3,
"4,3 tỷ VNĐ",Đường Ái Mộ phường Bồ Đề, 31m2, 4,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493950.3884783, 34, 6,, 3,
"6,6 tỷ VNĐ",Đường Láng Hạ phường Láng Hạ, 46m2, 4,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493951.401085, 5, 3, 5,,
"1,5 tỷ VNĐ",135 Trần Phú, 98m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493952.365643, 98,, 2, 2, Đông nam
"7,5 tỷ VNĐ","Ngô Quyền, Hà Đông, Hà Nội", 76m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493953.4225867, 10, 3,,,
,"Yên Lãng, Đống Đa", 37m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493954.6192315,,,,,
16 triệu VNĐ,Đường Quốc Lộ 35 phường Phù Linh, 100m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493955.8961682, 6,,,,
"3,932 tỷ VNĐ",Cửu Việt - Trâu Quỳ - Gia Lâm - Hà Nội, 55m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493956.984535, 4, 3,,,
21 tỷ VNĐ,Kim Ngưu- Hai Bà Trưng, 61m2, 6,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493957.9909337,,, 6, 6,
,đức thượng, 100m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493958.980437, 4,,,,
22 tỷ VNĐ,Trần Quốc Vượng- Cầu Giấy, 55m2, 7,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493963.5343618, 5,, 6, 5,
,đức thượng, 50m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493964.6634543, 4,,,,
"4,8 tỷ VNĐ",Cầu Giấy QUan Hoa Cầu Giấy Hà Nội, 38m2, 4,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493965.7811556,,,,,
50 triệu VNĐ/m2,quốc lộ 32, 50m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670493966.7039325,,,,,
