price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Lộ giới,Số toilet,Hướng
6 tỷ VNĐ,Thượng Đình, 42m2, 5,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494220.4779348,,,,,
"2,6 tỷ VNĐ",Nguyễn Chính Hoàng Mai Hà Nội, 30m2, 4,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494221.4626153, 4, 3,,,
"4,2 tỷ VNĐ",Phan Đình Giót, 41m2, 4,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494222.3757153, 3, 4, 3,,
6 tỷ VNĐ,tôn đức thắng, 45m2, 4,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494223.5101118,, 4,,,
13 triệu VNĐ/m2,Xã Tân Ước Huyện Thanh Oai, 178m2,,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494224.6919787,,, 2,,
"5,2 tỷ VNĐ",Đường Chùa Láng phường Láng Thượng, 50m2, 4,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494225.6985312, 5, 4, 5, 5,
"5,3 tỷ VNĐ",Đường Ngọc Lâm phường Ngọc Lâm, 54m2, 3,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494226.9118679, 4, 3, 3, 4,
"5,5 tỷ VNĐ",Đường Ngọc Lâm phường Ngọc Lâm, 143m2, 2,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494228.0547526, 4, 3, 5, 3,
"5,4 tỷ VNĐ",Đường Pháo Đài Láng phường Láng Thượng, 5m2, 3,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494229.4076707, 4, 3, 5, 3,
17 tỷ VNĐ,"Hồ Tùng Mậu, Phú Diễn, Bắc Từ Liêm", 43m2, 5,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494230.6687853, 4, 4, 30, 3, Nam
"7,2 tỷ VNĐ",Đường Cổ Nhuế 2 phường Cổ Nhuế 2, 42m2, 4,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494231.5890567, 4, 4, 1, 4,
6 tỷ VNĐ,Vũ Tông Phan, 42m2, 5,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494232.7247937,,,,,
6 tỷ VNĐ,Khương Hạ, 44m2, 5,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494233.6730018,,,,,
"3,6 tỷ VNĐ",Đường Yên Duyên phường Yên Sở, 40m2, 4,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494234.6402621, 3, 3, 1, 3,
"5,6 tỷ VNĐ",đường Xuân Đỉnh, 55m2, 4,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494235.9421875, 4, 4, 4,,
29 triệu VNĐ,Đường 29 phường Trung Văn, 105m2, 1,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494237.0000944, 6, 3, 30, 2,
"7,2 tỷ VNĐ",Đường Cổ Nhuế 2 phường Cổ Nhuế 2, 42m2, 4,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494238.8989034, 4, 4, 1, 4,
"3,4 tỷ VNĐ",Đường Vũ Trọng Khánh phường Mộ Lao, 74m2,,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494240.3651361,,, 10,,
"14,5 tỷ VNĐ",Đường Hoàng Ngân phường Trung Hòa, 45m2, 7,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494245.8778598, 4,, 8,,
"23,4 tỷ VNĐ",Đường Văn Khê phường La Khê, 210m2, 3,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494246.8376348, 14, 2, 10, 3,
