price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet
"14,8 tỷ VNĐ",Đường Nguyễn Khánh Toàn phường Quan Hoa, 46m2, 3, 6, 7,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494268.6671379,,
"5,9 tỷ VNĐ",Đường Văn Chương phường Ô Chợ Dừa, 45m2,, 3, 5,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494270.6679413,,
97 tỷ VNĐ,Đường Hàng Bún phường Nguyễn Trung Trực, 200m2, 13, 15, 2,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494271.7029142, 3, 3
6 tỷ VNĐ,Đường Đàm Quang Trung phường Long Biên, 40m2, 4, 6, 6,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494272.9810145, 3, 6
97 tỷ VNĐ,Đường Hàng Bún phường Nguyễn Trung Trực, 200m2, 13, 15, 2,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494274.2232356, 3, 3
12 tỷ VNĐ,Phường Cổ Nhuế, 65m2,,,,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494275.9048312,,
"4,2 tỷ VNĐ",Đường Bồ Đề phường Bồ Đề, 40m2, 4, 1, 5,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494279.6571596, 4, 4
"3,7 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 45m2, 4, 1, 5,22/09/2022,Tin thường,batdongsan_so_com_vn_1670494281.301215, 5, 4
109 tỷ VNĐ,Hoàng Cầu Đống Đa Hà Nội, 216m2, 9,, 9,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494282.89034, 5, 9
"2,9 tỷ VNĐ",Đường Lệ Mật phường Việt Hưng, 35m2, 3, 3, 4,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494283.7808557, 3, 4
"3,3 tỷ VNĐ",Đường Trương Định phường Trương Định, 34m2, 4, 3, 5,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494285.8486753, 3, 4
"7,1 tỷ VNĐ",Đường Yên Hòa phường Yên Hòa, 89m2,, 1, 5,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494287.122285, 4, 4
"3,5 tỷ VNĐ",Khương Đình Thanh Xuân Hà Nội., 42m2, 3,, 4,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494288.1980898, 4, 3
"7,15 tỷ VNĐ",Đường Yên Hòa phường Yên Hòa, 78m2,, 1, 5,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494289.4896238, 4, 4
5 tỷ VNĐ,Đường Gia Quất phường Gia Thụy, 52m2, 5, 4, 5,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494290.7433267, 4, 3
7 tỷ VNĐ,Hạ ĐÌnh, 48m2, 4,, 5,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494291.956887,,
"4,8 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 50m2, 4, 3, 5,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494292.7945182, 5, 4
"7,2 tỷ VNĐ",Bùi Xương Trạch, 48m2,,, 5,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494293.7011325,,
11 tỷ VNĐ,"Nguyễn An Ninh, Hoàng Mai HN", 112m2,,,,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494295.0404627,,
"7,2 tỷ VNĐ",Khương Trung, 52m2,,, 5,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494296.6000397,,
