price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Hướng,Lộ giới
"41,5 tỷ VNĐ",Thái Hà Đống Đa, 160m2, 4, 4, 4, 4,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494318.2516298,,
"7,5 tỷ VNĐ",Kim Mã Thượng, 31m2,,,,,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494319.1401513,,
13 tỷ VNĐ,Định Công Thượng, 43m2,,,,,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494320.1860178,,
7 tỷ VNĐ,Thượng Đình, 48m2,, 5,,,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494321.1416228,,
4 tỷ VNĐ,Mỗ Lao- Hà Đông, 38m2,, 5,,,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494322.4953837,,
4 tỷ VNĐ,Ao Sen- Hà Đông, 38m2,, 5,,,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494323.6492941,,
10 tỷ VNĐ,Quang Trung- Hà Đông, 50m2,, 5,,,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494324.8487923,,
10 tỷ VNĐ,Nguyễn Thái Học- Hà Đông, 50m2,, 5,,,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494326.8471446,,
"5,2 tỷ VNĐ",Trần Thái Tông Cầu Giấy Hà Nội, 40m2, 4, 5,,,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494327.9936898,,
"5,2 tỷ VNĐ","Ngõ Văn Chương, Đống Đa, Hà Nội", 33m2,,,,,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494329.9144497,,
53 triệu VNĐ/m2,8 le duc tho, 93m2,, 10, 3, 2,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494331.1950495, Đông nam,
"8,28 tỷ VNĐ",Đường 1 phường Thượng Thanh, 63m2, 5, 5, 4, 5,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494332.1886094,, 25
"11,25 tỷ VNĐ",CẦU GIẤY, 550m2,,,,,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494333.0990832,,
"18,8 tỷ VNĐ",Đường Phùng Hưng phường Phú La, 106m2, 6, 3, 3, 1,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494334.139151,, 15
"3,2 tỷ VNĐ",Đường Bồ Đề  phường Bồ Đề, 31m2, 4, 4, 3, 4,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494335.5125823,, 3
"15,7 tỷ VNĐ",Đường Đội cấn phường Đội Cấn, 61m2, 4, 6, 8, 8,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494336.783792,, 9
"9,9 tỷ VNĐ",Hồng tiến, 59m2, 6, 4, 4, 3,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494337.6348143,, 4
"4,25 tỷ VNĐ",Cầu giấy, 45m2,,,,,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494338.4575844,,
"11,25 tỷ VNĐ",Cầu giấy, 50m2,,,,,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494339.7709532,,
14 tỷ VNĐ,NGỌC LÂM, 66m2, 3, 2, 3, 2,21/09/2022,Tin thường,batdongsan_so_com_vn_1670494340.6765006,, 10
