price,address,Diện tích,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet,Hướng
"6,85 tỷ VNĐ",Vũ Tông Phan Khương ĐÌnh Thanh Xuân Hà Nội, 38m2, 6, 4,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494593.2016022,,,,
"29,5 tỷ VNĐ",Quận Cầu Giấy, 70m2,,,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494594.404428,,,,
"4,6 tỷ VNĐ",đường Lê Đức Thọ, 55m2, 4, 6,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494595.4458742, 4, 2,,
13 tỷ VNĐ,Đường Phố Nguyễn Sơn phường Gia Thụy, 100m2, 3, 5,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494596.4491358, 7, 15, 5,
"5,2 tỷ VNĐ",đường Xuân Đỉnh, 55m2, 3, 2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494597.6247363, 8,,,
20 tỷ VNĐ,Đường Láng Hạ phường Thành Công, 75m2, 5, 4,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494598.78232, 5, 15, 4,
3 tỷ VNĐ,Trần Khát Chân - Hà Nội, 52m2,,,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494600.1666076,,,,
"9,7 tỷ VNĐ",Đường Tây Sơn phường Ô Chợ Dừa, 70m2, 5, 4,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494601.1823916, 4, 10, 3,
95 tỷ VNĐ,Đường Lê Đức Thọ phường Mỹ Đình 2, 270m2, 4, 5,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494602.3284369, 15, 40, 8,
"6,25 tỷ VNĐ",Cầu giấy, 60m2,,,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494603.1580827,,,,
"6,35 tỷ VNĐ",Hà Nội, 60m2,,,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494604.1999207,,,,
4 tỷ VNĐ,"Trần phú , hà đông, hn", 48m2, 5, 3,11/04/2022,Tin thường,batdongsan_so_com_vn_1670494609.1874816, 5, 3,,
9 tỷ VNĐ,"Cầu Giấy , Hà Nội", 57m2, 3, 2,04/04/2022,Tin thường,batdongsan_so_com_vn_1670494610.0840201,, 8,,
"16,8 tỷ VNĐ",Đội Cấn Ba Đình Hà Nội, 45m2, 4, 3,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494611.154064, 4,, 4,
"10,5 tỷ VNĐ","Đường Kim Mã, Ba Đình, Hà Nội", 44m2, 5, 6,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494612.0729408, 4, 6, 4, Nam
"5,65 tỷ VNĐ",Hồ Tùng Mậu Mai Dịch Cầu Giấy Hà Nội, 42m2, 5, 9,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494613.0499911,,,,
13 tỷ VNĐ,Hà Nội, 85m2,,,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494614.021394,,,,
"3,4 tỷ VNĐ",Đường Ngọc Trì phường Thạch Bàn, 40m2, 5,,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494615.0128734,, 1,,
"3,4 tỷ VNĐ","hoàng mai, hà nội", 45m2,,,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494615.9861307,,,,
"5,1 tỷ VNĐ",Đường Trung Kính phường Yên Hòa, 53m2, 5,,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494617.1351905,, 3,,
