price,address,Diện tích,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet
"18,69 tỷ VNĐ",Đường Nguyễn Ngọc Vũ phường Trung Hòa, 74m2, 5, 5,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494637.082237,,,
13 tỷ VNĐ,Cầu giấy, 85m2,,,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494637.966417,,,
"4,2 tỷ VNĐ",thanh xuân hà nội., 67m2, 12, 5,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494638.9639227, 5, 6, 4
"7,9 tỷ VNĐ",văn quán, 50m2,, 5,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494642.4219575, 4, 6, 4
17 tỷ VNĐ,Đường Ngọc Thụy phường Ngọc Thụy, 170m2,,,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494643.2570953, 9,,
"6,5 tỷ VNĐ",Vương Thừa Vũ, 52m2,, 5,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494644.3178189,,,
"22,5 tỷ VNĐ",Đường Võ Văn Dũng phường Ô Chợ Dừa, 61m2, 6, 7,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494645.429039, 5, 4, 4
"2,9 tỷ VNĐ","Tứ Hiệp, Thanh Trì HN", 32m2,,,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494646.398997,,,
"3,9 tỷ VNĐ","Tứ Hiệp, Thanh Trì, HN", 45m2,,,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494647.384768,,,
"6,4 tỷ VNĐ",Ngô Quyền- Hà Đông, 50m2,, 5,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494648.4417577,,,
7 tỷ VNĐ,Vạn Phúc- Hà Đông, 45m2,, 5,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494649.40554,,,
"5,5 tỷ VNĐ",Phúc La- Hà Đông, 47m2,, 5,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494650.4260526,,,
"5,5 tỷ VNĐ",Thanh Bình- Hà Đông, 47m2,, 5,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494651.5855315,,,
"4,2 tỷ VNĐ",thanh xuân hà nội., 67m2,, 4,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494652.5775337,, 4, 3
"11,5 tỷ VNĐ",Đường Lương Khánh Thiện phường Tương Mai, 65m2, 8, 5,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494653.5417552, 4, 4,
"4,5 tỷ VNĐ",Khương Hạ, 38m2,,,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494654.5083437,,,
"1,5 tỷ VNĐ","Phố Phan Văn Trường, Dịch Vọng Hậu, Cầu Giấy, Hà Nội", 33m2, 7, 1,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494655.5207353,,,
"3,22 tỷ VNĐ",Đường Cao Lỗ phường Uy Nỗ, 70m2,,,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494656.3820026, 4,,
"3,9 tỷ VNĐ",Đường Lê Trọng Tấn phường Quang Trung, 36m2, 5, 5,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494657.323236, 4, 3, 4
"4,5 tỷ VNĐ",Đường Cầu Giấy phường Dịch Vọng, 40m2, 4, 4,19/09/2022,Tin thường,batdongsan_so_com_vn_1670494658.421439, 4, 4, 3
