price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số toilet,Ngày đăng,Loại tin,id,Số phòng ngủ
"16,5 tỷ VNĐ",Đặng xá, 132m2, 6, 6, 4, 4,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494913.1415553,
"34,5 tỷ VNĐ",Đường Ô Chợ Dừa phường Ô Chợ Dừa, 60m2, 5, 10, 5,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494914.2666779,
7 tỷ VNĐ,Nguyễn Trãi, 42m2, 3,, 5,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494915.0987759,
51 ngàn VNĐ,Đường LÊ VĂN LƯƠNG phường Nhân Chính, 50m2, 3, 3, 5, 4,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494916.2586613, 4
4 ngàn VNĐ,Đường Hào Nam phường Ô Chợ Dừa, 39m2, 3, 3, 6, 4,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494917.183997, 3
"4,2 tỷ VNĐ","hoàng mai, hà nội", 70m2,,,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494918.195795,
"14,5 tỷ VNĐ",Phố ÁI MỘ, 146m2, 9, 10, 1, 1,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494919.191755, 1
29 tỷ VNĐ,Đội Cấn Ba Đình Hà Nội, 130m2, 9,,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494920.3062828,
6 tỷ VNĐ,Đường Định Công phường Định Công, 35m2, 3, 4, 6, 4,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494921.379834, 4
"4,333333 tỷ VNĐ",Đường Thụy Khuê phường Bưởi, 41m2, 3, 2, 4, 3,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494922.4859624, 4
27 tỷ VNĐ,Trần Quý Cáp, 90m2,,,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494923.6860178,
"3,2 tỷ VNĐ","Kim Đồng, Hoàng Mai, HN", 35m2,,,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494924.7670784,
"6,5 tỷ VNĐ",la khê, 48m2, 4,, 3, 3,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494925.8441646, 3
"11,5 tỷ VNĐ",Phương Liệt, 52m2,,,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494926.9416523,
"5,9 tỷ VNĐ","Vĩnh HƯng, Hoàng Mai, HN", 75m2,,,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494928.0277472,
"3,6 tỷ VNĐ",Đường Tân Mai phường Tân Mai, 30m2, 3, 1, 4, 3,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494929.100981, 3
"5,5 tỷ VNĐ",Kiến Hưng- Hà Đông, 46m2,,, 5,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494931.410173,
"5,5 tỷ VNĐ",Phùng Hưng- Hà Đông, 46m2,,, 5,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494935.8836317,
2 tỷ VNĐ,Đường 3 phường Xuân Nộn, 62m2, 4,,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494936.9420416,
"17,5 tỷ VNĐ",Võ Chí Công Tây Hồ Hà Nội, 60m2, 5,, 5, 5,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494938.0757399, 4
