price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Lộ giới,Số toilet
"4,2 tỷ VNĐ","Khương Trung, Thanh Xuân, Hà Nội", 56m2, 4, 3, 2,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494957.1766312,,
"3,6 tỷ VNĐ",Đường Trần Khát Chân phường Thanh Nhàn, 36m2, 3, 5, 4,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494958.2626905, 3, 4
12 tỷ VNĐ,Bà Triệu- Hà Đông, 60m2,, 5,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494959.1158295,,
12 tỷ VNĐ,Lê Hồng Phong- Hà Đông, 60m2,, 5,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494960.0897565,,
3 tỷ VNĐ,Đường Tôn Đức Thắng  phường Hàng Bột, 36m2, 3, 4, 3,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494961.1619143, 2, 3
2 tỷ VNĐ,Đường Tỉnh Lộ 131 phường Tiên Dược, 72m2, 6,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494962.1562133,,
"4,6 tỷ VNĐ","Phường Mễ Trì, Quận Nam Từ Liêm, TP Hà Nội", 42m2,, 4, 4,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494963.0885,, 3
866 triệu VNĐ,long biên hà nội, 80m2, 5,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494964.0694242, 6,
"14,8 tỷ VNĐ",Gia thụy, 66m2, 4, 4,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494965.003166, 5, 3
"4,15 tỷ VNĐ",Đường Đại Mỗ phường Đại Mỗ, 43m2, 5, 2, 2,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494965.9815457, 4, 2
3 tỷ VNĐ,Đường Tỉnh Lộ 181 phường Phú Thị, 72m2, 7, 3, 4,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494971.2548065, 5, 4
1 tỷ VNĐ,Đường Bắc Cầu phường Ngọc Thụy, 45m2, 5, 1, 2,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494972.1885874, 1, 1
12 tỷ VNĐ,Đường Trần Cung phường Cổ Nhuế 1, 71m2, 4, 4, 5,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494973.2273855, 3, 4
"23,7 tỷ VNĐ",Đường Đào Tấn phường Liễu Giai, 57m2, 5, 5, 5,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494974.5672438, 4, 5
12 tỷ VNĐ,Đường Nguyễn Văn Huyên phường Nghĩa Đô, 56m2, 4, 6, 5,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494975.563598, 4, 5
"6,2 tỷ VNĐ",Đường Khương Trung phường Khương Trung, 49m2, 3, 4, 5,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494976.6022832, 4, 4
"2,5 tỷ VNĐ",Đường Bồ Đề phường Bồ Đề, 30m2, 6, 3, 2,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494977.5906591, 3, 3
"8,6 tỷ VNĐ",Đường Nhân Hòa phường Nhân Chính, 34m2, 5, 5, 4,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494978.7030926, 1, 4
"56,78 tỷ VNĐ",Đường Hoa Lan - Vinhomes Riverside, 226m2, 9, 5, 4,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494980.0732398,, 5
68 ngàn VNĐ,Đường Quang Tiến phường Tây Mỗ, 41m2, 5, 1, 1,17/09/2022,Tin thường,batdongsan_so_com_vn_1670494981.5886664, 30,
