price,address,Diện tích,Hướng,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới
115 triệu VNĐ/m2,"16 láng hạ, thành công, Ba Đình, Hà Nội", 125m2, Tây nam, 6, 3, 2,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495007.7674053,,
7 tỷ VNĐ,Đường Tô Hiệu phường Nguyễn Trãi, 50m2,, 5, 4, 3,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495008.9505813, 4, 1
7 tỷ VNĐ,Đường Tô Hiệu phường Nguyễn Trãi, 50m2,, 5, 4, 3,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495010.086498, 4, 1
9 tỷ VNĐ,Nguyễn Trãi, 50m2,, 4,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495011.0226133, 4,
68 ngàn VNĐ,Đường Quang Tiến phường Tây Mỗ, 41m2,, 1, 1,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495012.0201623, 5, 30
12 tỷ VNĐ,Đường GIÁP NHẤT phường Nhân Chính, 55m2,, 5, 5, 4,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495013.4622645, 4, 7
"5,5 tỷ VNĐ","Trần Phú, Hà Đông", 36m2,, 4, 3, 3,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495014.9418201, 4, 3
"6,5 tỷ VNĐ",Đường Trung Hòa phường Trung Hòa, 45m2,, 5, 6, 5,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495016.7998998, 4, 4
"5,5 tỷ VNĐ","Trần Phú, Hà Đông", 36m2,, 4, 3, 3,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495017.822687, 4, 3
"8,1 tỷ VNĐ","Phố Võ Thị Sáu,Phường Thanh Nhàn", 55m2,, 5, 4, 4,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495018.9265153, 4, 5
4 tỷ VNĐ,Đường Phan Huy Chú phường Yết Kiêu, 38m2,, 5, 4,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495019.8339777, 1, 3
"8,1 tỷ VNĐ","Phố Võ Thị Sáu, Phường Thanh Nhàn", 55m2,, 5, 4, 4,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495020.90555, 4, 5
"2,5 tỷ VNĐ",135 Trần Phú, 98.89m2,,, 2, 2,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495022.3981402,,
80 tỷ VNĐ,Đường Liễu Giai phường Liễu Giai, 120m2,,,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495023.5933216,, 50
"6,8 tỷ VNĐ",Đường Nguyễn Hoàng phường Mỹ Đình 2, 45m2,, 6, 5, 5,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495024.5600724, 3, 3
"10,5 tỷ VNĐ","Bán nhà 4 tầng ôtô đỗ cổng phố Đội Cấn, Ba Đình, 10,5 tỷ; 0913226758", 65m2,,,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495025.3466816,,
32 tỷ VNĐ,Đường Cổ Linh phường Long Biên, 102m2,, 9, 25, 25,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495026.3734016, 6, 20
"4,95 tỷ VNĐ","Quang Trung, Hà Đông", 68m2,,,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495027.2343187, 4, 2
"9,3 tỷ VNĐ",Đường Phú Đô phường Phú Đô, 57m2,,,,,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495028.0835476, 5,
14 tỷ VNĐ,Đường Hoàng Ngân phường Trung Hòa, 45m2,, 7, 6, 6,17/09/2022,Tin thường,batdongsan_so_com_vn_1670495029.2458937, 4, 6
