price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Lộ giới
6 tỷ VNĐ,Đường An Trai phường Vân Canh, 69m2, 16,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495191.4457695,,,,
"32,96 tỷ VNĐ",Khu đô thị Trung Yên - Trung Hoà - Cầu Giấy, 82m2, 5,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495192.3171608, 8, 4, 7,
8 tỷ VNĐ,HOÀI ĐỨC, 150m2,,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495193.1676247,,,,
"866,666666 triệu VNĐ",hoàn kiếm hà nội, 80m2, 5,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495194.1563156,,,, 6
25 triệu VNĐ/m2,"Bán đất vị trí đẹp tại xã Đại Thành, Quốc Oai, 25tr/m2; 0984299511", 379m2,,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495195.106444,,,,
"4,5 tỷ VNĐ",Đường Nguyễn Sơn phường Bồ Đề, 55m2, 4,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495196.036442, 4, 4, 4, 3
"2,3 tỷ VNĐ",Đường Gia Thượng phường Ngọc Thụy, 34m2, 4,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495197.0237393, 4, 3, 3, 4
"2,5 tỷ VNĐ","nguyễn văn cừ, gia thụy", 30m2, 3,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495197.8282013, 3, 3, 2, 3
"5,95 tỷ VNĐ",Đường Phố Trạm phường Long Biên, 75m2, 4,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495198.7197032,,,,
"9,3 tỷ VNĐ",Đường Phú Đô phường Phú Đô, 57m2, 5,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495199.7449448,,,,
"8,5 tỷ VNĐ","Thái Hà, Đống Đa, Hà Nội", 50.3m2,,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495200.8156846,,,,
"5,85 tỷ VNĐ","Pháo Đài Láng, Đống Đa, Hà Nội", 33m2,,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495202.204838,,,,
"9,3 tỷ VNĐ",Đường Phú Đô phường Phú Đô, 57m2, 5,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495203.1432586,,,,
"8,5 tỷ VNĐ","Thái Hà, Đống Đa, Hà Nội", 50.3m2,,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495204.3480375,,,,
"5,86 tỷ VNĐ","Hoa Bằng, Cầu Giấy, Hà Nội", 47m2,,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495205.7113814,,,,
"10,2 tỷ VNĐ",Cầu giấy, 50m2,,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495206.6912067,,,,
"19,9 tỷ VNĐ",Đường Giang Văn Minh phường Đội Cấn, 56m2, 4,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495207.7127247, 5, 5, 5, 15
"5,5 tỷ VNĐ","Phố Kim Ngưu, Phường Thanh Nhàn", 35m2, 3,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495208.8314643, 6, 4, 4, 3
"12,5 tỷ VNĐ",Cầu giấy, 91m2,,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495209.815541,,,,
"4,1 tỷ VNĐ",Đường Nhân Mỹ phường Mỹ Đình 1, 42m2, 6,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495210.7328835, 5, 5, 4, 3
