price,address,Diện tích,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
"2,4 tỷ VNĐ",Đường Nguyễn Lương Bằng phường Ô Chợ Dừa, 22m2, 3, 3,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495271.124408,,,,
"8,6 tỷ VNĐ",Quận Cầu Giấy, 32m2,,,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495272.0650256,,,,
"4,5 tỷ VNĐ",Đường Thanh Nhàn phường Quỳnh Lôi, 42m2, 4, 5,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495273.0387871, 4, 5, 5,
"4,8 tỷ VNĐ",Đường Đại Từ phường Đại Kim, 40m2, 3, 5,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495274.0273283, 5, 4, 4,
"3,45 tỷ VNĐ",Hà Trì hà Cầu, 38m2, 12, 5,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495275.350661, 3, 4, 4, Nam
115 tỷ VNĐ,Đường Tuệ Tĩnh phường Bùi Thị Xuân, 117m2, 1,,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495276.3282719, 5,,,
"5,5 tỷ VNĐ",Hà Đông, 37m2,,,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495277.382867,,,,
16 tỷ VNĐ,Đường Cầu Giấy phường Quan Hoa, 92m2, 10, 5,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495278.3863099,, 4,,
"4,15 tỷ VNĐ","Đường 19/5, Văn Quán, Hà Đông", 30m2, 3, 5,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495279.6598506, 4, 3, 4, Nam
"5,8 tỷ VNĐ",Bà Triệu Hai Bà Trưng Hà Nội, 30m2,, 4,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495280.685196, 5, 3,,
"1,3 tỷ VNĐ",Lĩnh Nam Hoàng Mai Hà Nội, 32m2,, 2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495281.5632832, 3, 2,,
"8,7 tỷ VNĐ",đường Lê Đức Thọ, 90m2, 3, 6,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495282.8880737, 4,,,
"9,8 tỷ VNĐ",Đường Yên Phúc phường Văn Quán, 60m2, 7, 5,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495284.0004532, 6, 5, 5,
"14,8 tỷ VNĐ",Quận Cầu Giấy, 36m2,,,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495285.0059736,,,,
"6,75 tỷ VNĐ",Vũ Tông Phan Khương Đình Thanh Xuân Hà Nội, 38m2,, 6,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495286.0205197,,,,
"3,68 tỷ VNĐ",Đường Thạch Bàn phường Thạch Bàn, 40m2, 3, 5,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495287.130963, 4, 4, 4,
"7,9 tỷ VNĐ",Đường Nguyễn An Ninh phường Tương Mai, 56m2, 3, 5,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495288.1482654, 4, 6, 5,
"10,5 tỷ VNĐ",Đường Yên Hòa phường Yên Hòa, 53m2, 2, 5,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495289.372501, 4, 3, 4,
"1,6 tỷ VNĐ",Dương Văn Bé - Hà Nội, 30m2,,,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495290.3315816,,,,
"2,8 tỷ VNĐ",Cầu Giấy, 82m2,,,15/09/2022,Tin thường,batdongsan_so_com_vn_1670495291.3515968,, 3, 2,
