price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet
"4,9 tỷ VNĐ",Đường An Trai phường Vân Canh, 63m2, 5,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495621.1895034,,,,
"3,94 tỷ VNĐ","Đường Cổ Linh , Phường Thạch Bàn, Long Biên, Hà Nội", 41m2, 4,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495623.3894336, 5,,,
"3,333333 tỷ VNĐ",Đường Nguyễn Lương Bằng phường Quang Trung, 47m2, 4,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495625.8542466, 4, 6,,
"5,35 tỷ VNĐ",Đường Bùi Xương Trạch phường Khương Đình, 40m2, 3,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495628.0872586, 6, 1, 6, 3
"1,05 tỷ VNĐ",Đường Tỉnh Lộ 35 phường Minh Phú, 80m2, 5,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495629.9125488,,,,
"6,5 tỷ VNĐ",Đường Hào Nam phường Ô Chợ Dừa, 40m2, 4,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495632.3429074, 4, 10, 4, 5
"4,5 tỷ VNĐ","Vạn Phúc, Hà Đông", 32m2, 4,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495634.2545414, 5, 3, 3, 4
8 tỷ VNĐ,Đường Quan Nhân phường Nhân Chính, 63m2, 5,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495635.404056, 5, 1, 4, 4
10 tỷ VNĐ,Thái Hà, 50m2,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495636.5833023, 7,,,
"4,75 tỷ VNĐ",Hà Trì - Hà Cầu - Hà Đông, 33m2,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495637.7071283, 5,, 4, 3
"7,2 tỷ VNĐ","Đường Trương Định, Phường Trương Định", 52m2, 4,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495638.71605, 5, 2, 4, 4
,Đường Bát Khối phường Thạch Bàn, 79m2, 6,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495639.741342, 4, 9, 6,
"6,5 tỷ VNĐ",Đường Hoàng Ngân phường Nhân Chính, 40m2, 5,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495641.0044556, 5, 6, 6, 5
"7,2 tỷ VNĐ","Quan Nhân, Nhân Chính, Thanh Xuân, Hà Nội", 53m2, 4,16/08/2022,Tin thường,batdongsan_so_com_vn_1670495643.168563, 5, 3, 6, 4
"5,2 tỷ VNĐ","Nguyễn Trãi, Thanh Xuân, Hà Nội", 45m2, 3,17/08/2022,Tin thường,batdongsan_so_com_vn_1670495645.3767102, 4, 3, 4, 3
"4,5 tỷ VNĐ","Ngõ 61 Vạn Phúc, Hà Đông", 32m2, 4,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495657.7949455, 5, 3, 3, 4
"7,2 tỷ VNĐ","Đường Trương ĐỊnh, Phường Trương Định", 52m2, 4,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495658.6733882, 5, 2, 4, 4
5 tỷ VNĐ,Đường Trương Định phường Trương Định, 45m2, 4,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495659.630919, 5, 3, 6, 5
"5,9 tỷ VNĐ",phú la, 52m2, 5,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495660.7467875, 4,, 4, 3
