price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Hướng
12 tỷ VNĐ,Đường Tân Mai phường Tân Mai, 105m2, 6, 5, 5, 5,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495680.7415302,,
10 tỷ VNĐ,Thái Thịnh, 50m2,, 7,,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495681.6456957,,
"6,5 tỷ VNĐ",Đường Khương Đình phường Khương Đình, 70m2, 4, 3, 3, 3,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495682.432384, 4,
"1,85 tỷ VNĐ",Đường Bắc Cầu 3 phường Ngọc Thụy, 45m2, 3, 1, 2, 2,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495683.4284832, 4,
5 tỷ VNĐ,Đường Trương Định phường Tương Mai, 40m2, 3, 4, 2, 3,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495684.4115071, 4,
"15,95 tỷ VNĐ",Đường Bạch Thái Bưởi phường Văn Quán, 80m2, 10, 5, 4, 4,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495685.3392718, 8,
"4,55 tỷ VNĐ",Đường Bồ Đề phường Bồ Đề, 45m2, 3, 6, 5, 4,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495686.190898, 4,
"7,6 tỷ VNĐ",đường Tây Mỗ, 110m2, 4, 7,,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495687.2796745, 5,
"1,75 tỷ VNĐ",1194 đường Láng, 80m2, 4, 2, 2, 3,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495688.118524, 5,
"2,5 tỷ VNĐ",Đường Tạ Quang Bửu phường Bách Khoa, 45m2, 2, 4, 4, 3,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495693.3274157, 4,
"4,8 tỷ VNĐ","Long Biên, Hà Nội", 39m2, 3, 5, 3, 4,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495694.3342173, 4,
"4,6 tỷ VNĐ","Đường 19/5, Văn Quán, Hà Đông", 30m2, 3, 5, 4, 3,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495695.372821, 6, Đông bắc
"4,6 tỷ VNĐ","Đường 19/5, Văn Quán, Hà Đông", 34m2, 3, 5, 3, 3,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495696.4827726, 6, Đông bắc
"25,5 tỷ VNĐ",Đường Trung Yên 11 phường Trung Hòa, 85m2, 15, 5, 6, 4,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495697.593942, 5,
45 tỷ VNĐ,Nguyễn Chí Thanh Đống Đa Hà Nội, 101m2,, 6, 6, 6,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495698.5907893, 6,
5 tỷ VNĐ,"hoàng mai, hà nội", 55m2,,,,,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495699.6862285,,
4 tỷ VNĐ,Khương ĐÌnh, 36m2,, 5,,,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495700.6768594,,
"4,7 tỷ VNĐ","Vạn Phúc, Hà Đông, Hà Nội", 42m2, 2, 4, 4,,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495701.7351906, 4,
100 tỷ VNĐ,Đường Tam Trinh phường Tân Mai, 1140m2, 40, 5,,,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495703.781179, 25,
"3,45 tỷ VNĐ",Đường Nhân Mỹ phường Mỹ Đình, 35m2, 3, 5, 4, 4,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495704.8596718, 3,
