price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id
115 triệu VNĐ,Thành Trung - Trâu Quỳ - Gia Lâm - Hà Nội, 84m2, Đông bắc, 6, 11, 4, 4, 4,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495817.5944436
"3,3 tỷ VNĐ",hai đình thanh xuân hà nội., 30m2,,,,,,,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495818.5376132
13 tỷ VNĐ,ĐỊnh Công Hoàng Mai hà Nội, 70m2,,,,,,,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495819.5503938
"10,96 tỷ VNĐ",Khu đô thị Vân Canh  - HUD Vân Canh, 100m2,, 5,, 4, 4, 4,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495820.6417446
"2,7 tỷ VNĐ","Chính chủ bán CHCC tầng 25 Tecco Diamond  Thanh Trì; 2,7 tỷ; 0984524168", 81m2,,,,,,,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495821.5807486
45 tỷ VNĐ,Đường Trần Quang Diệu phường Trung Liệt, 110m2,, 7, 30, 7, 9, 10,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495822.6329932
"7,3 tỷ VNĐ","Đường Nguyễn An Ninh, Phường Tương Mai", 55m2,, 4, 3, 5, 5, 4,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495823.776284
"3,2 tỷ VNĐ",Đường Lê Trọng Tấn phường Phú La, 93m2,, 8, 1, 20, 3, 2,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495824.9836922
"5,42 tỷ VNĐ",Đường Tứ Liên phường Tứ Liên, 35m2,, 4, 3, 5, 4, 4,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495825.8643787
"4,2 tỷ VNĐ",Đường Nguyễn Trãi phường Thượng Đình, 45m2,, 4, 3, 5, 4, 4,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495827.0722318
"2,7 tỷ VNĐ","Thượng Mạo, Phú Lương, Hà Đông", 34m2,, 3, 3, 4, 3, 3,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495827.9556987
"7,3 tỷ VNĐ","Đường  Nguyễn An Ninh, Phường Tương Mai", 55m2,, 4, 3, 5, 5, 4,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495828.8577707
9 tỷ VNĐ,Thái Hà, 50m2,,,, 5,,,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495829.9579597
"2,7 tỷ VNĐ","Thượng Mạo, Phú Lương, Hà Đông", 34m2,, 34, 3, 4, 4, 3,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495830.9227643
"4,5 tỷ VNĐ","Ngô Quyền, Hà Đông, Hà Nội", 40m2,, 4, 6, 4, 4,,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495832.0461864
"3,333333 tỷ VNĐ",Đường Nguyễn Lương Bằng phường Quang Trung, 47m2,, 4, 6, 4,,,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495833.0263784
"6,5 tỷ VNĐ",Đường 3 phường Tiên Dương, 100m2,, 5,,,,,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495834.1213841
"4,55 tỷ VNĐ",Yên Phúc - Phúc La - Hà Đông, 51m2,,,, 3, 3, 2,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495835.3620338
"7,65 tỷ VNĐ",Đường Thái Thịnh phường Trung Liệt, 40m2,, 3, 4, 5, 6, 4,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495839.5574498
"5,5 tỷ VNĐ",Đường Minh Khai phường Vĩnh Tuy, 106m2,, 10, 1, 15, 3, 2,13/09/2022,Tin thường,batdongsan_so_com_vn_1670495842.7950003
