price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng
"3,3 tỷ VNĐ",khương đình hà nội., 30.5m2, 5, 3, 3,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495912.8966746,,,
"2,4 tỷ VNĐ","Phố Viên, Bắc Từ Liêm", 30m2, 1, 1, 1,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495914.2912965, 4, 4,
"3,8 tỷ VNĐ","hoàng mai, hà nội", 36m2,,,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495915.4242241,,,
"7,3 tỷ VNĐ","Tố Hữu, La Khê, Hà Đông", 48m2, 5, 6, 4,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495916.5368624, 4, 7,
"4,78 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 45m2, 4, 4, 3,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495917.547392, 3, 4,
"7,3 tỷ VNĐ","Tố Hữu, La Khê, Hà Đông", 48m2, 5, 6, 4,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495918.6780276, 4, 7,
,PHỐ ÁI MỘ, 61m2, 5, 6, 4,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495919.7833667, 19,,
"5,6 tỷ VNĐ","Đường Cầu Vĩnh Tuy, Phường Vĩnh Tuy", 64m2, 4, 4, 4,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495920.7763355, 4, 3,
"13,5 tỷ VNĐ",Phố Chùa Quỳnh, 40m2,,,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495921.8507652,,,
"5,6 tỷ VNĐ","Đường Vĩnh tuy, Phường Vĩnh Tuy", 64m2, 4, 4, 4,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495922.9042995, 4, 3,
"6,9 tỷ VNĐ",mỗ lao, 50m2, 5, 8, 8,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495923.8997083, 6,,
5 tỷ VNĐ,"hoàng mai, hà nội", 40m2,,,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495924.7759695,,,
55 tỷ VNĐ,Đường Võ Chí Công phường Nghĩa Đô, 176m2, 9, 70, 70,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495926.2517312, 8, 5,
,hưng yên, 80m2,,,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495927.2964752,,, Tây
"2,65 tỷ VNĐ","Ngõ 1 Bùi Xương Trạch, Thanh Xuân", 26m2, 5, 3, 3,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495928.428518, 4,,
"5,9 tỷ VNĐ","Nguyễn Bặc, Tứ Hiệp HN", 70m2,,,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495929.6800284,,,
"7,2 tỷ VNĐ","Tố Hữu, Hà Đông", 50m2, 4, 4, 3,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495931.3632963, 4, 7,
"3,5 tỷ VNĐ","Nguyễn Bặc, Tứ Hiệp Thanh Trì HN", 35m2,,,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495933.1631021,,,
"4,25 tỷ VNĐ",Mỗ Lao- Hà Đông, 40m2, 4,,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495934.313787,,,
"4,15 tỷ VNĐ",Trần Phú- Hà Đông, 40m2, 4,,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495935.4291172,,,
