price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền
"3,35 tỷ VNĐ",Đường Hoàng Liệt phường Đại Kim, 35m2, 2, 5, 4, 3,12/09/2022,Tin thường,batdongsan_so_com_vn_1670496084.7336845,
11 tỷ VNĐ,Đường Kim Đồng phường Giáp Bát, 68m2, 1, 4, 4, 3,12/09/2022,Tin thường,batdongsan_so_com_vn_1670496085.955, 6
"4,7 tỷ VNĐ",LONG BIEN 2 LONG BIÊN, 20m2,,,,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670496087.0217352,
"5,05 tỷ VNĐ",Đường Trần Quốc Vượng phường Dịch Vọng Hậu, -1m2, 3, 6, 4, 5,12/09/2022,Tin thường,batdongsan_so_com_vn_1670496088.1202762, 5
9 tỷ VNĐ,Đường Hoàng Quốc Việt phường nghĩa đô, 72m2, 4, 5, 6,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670496089.253309, 5
2 tỷ VNĐ,Đường Thạch Bàn phường Thạch Bàn, 45m2, 5, 3, 3, 3,12/09/2022,Tin thường,batdongsan_so_com_vn_1670496090.095999, 4
9 tỷ VNĐ,Đường Ngọc Lâm phường Ngọc Lâm, 50m2, 25, 4, 4, 3,12/09/2022,Tin thường,batdongsan_so_com_vn_1670496091.1460066, 4
"12,5 tỷ VNĐ",Nguyễn Văn Huyên, 56m2,, 6, 6,,11/09/2022,Tin thường,batdongsan_so_com_vn_1670496095.3370512,
"17,17 tỷ VNĐ",Xuân Phương, 130m2,,,,,09/06/2022,Tin thường,batdongsan_so_com_vn_1670496096.3551102, 10
5 tỷ VNĐ,Xuân phương, 50m2,,,,,09/06/2022,Tin thường,batdongsan_so_com_vn_1670496097.2311776, 4
14 tỷ VNĐ,MỄ TRÌ, 190m2,,,,,08/06/2022,Tin thường,batdongsan_so_com_vn_1670496098.2856605, 11
,AN KHÁNH, 9m2,,,,,08/06/2022,Tin thường,batdongsan_so_com_vn_1670496099.340914,
"12,21 tỷ VNĐ",LÊ ĐỨC THỌ, 59m2,, 7,,,07/06/2022,Tin thường,batdongsan_so_com_vn_1670496100.1365674, 6
"8,18 tỷ VNĐ",thiên hiền, 65m2,,,,,07/06/2022,Tin thường,batdongsan_so_com_vn_1670496101.318144, 7
"14,14 tỷ VNĐ",mễ trì thượng, 85m2,, 9,,,06/06/2022,Tin thường,batdongsan_so_com_vn_1670496102.202242, 9
"5,2 tỷ VNĐ",Dịch vọng hậu, 80m2,, 5,,,06/06/2022,Tin thường,batdongsan_so_com_vn_1670496103.055919, 6
"5,9 tỷ VNĐ",Dương Khuê, 50m2,,,,,05/06/2022,Tin thường,batdongsan_so_com_vn_1670496104.1926515, 6
"7,654321 tỷ VNĐ",Quốc lộ 32, 100m2,,,,,05/06/2022,Tin thường,batdongsan_so_com_vn_1670496105.3034606, 16
"15,4321 tỷ VNĐ",mễ trì thượng, 70m2,,,,,03/06/2022,Tin thường,batdongsan_so_com_vn_1670496106.2279925,
"10,1 tỷ VNĐ",Xuân phương, 90m2,,,,,03/06/2022,Tin thường,batdongsan_so_com_vn_1670496107.2063718, 6
