price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ
"22,22 tỷ VNĐ",PHÚ ĐÔ, 165m2, 7,02/06/2022,Tin thường,batdongsan_so_com_vn_1670496130.017539,,,
"6,226 tỷ VNĐ",MỄ TRÌ, 100m2,,01/06/2022,Tin thường,batdongsan_so_com_vn_1670496130.8809078,,,
"6,2468 tỷ VNĐ",Phú Đô, 100m2,,01/06/2022,Tin thường,batdongsan_so_com_vn_1670496131.9119644,,,
"12,3456 tỷ VNĐ",Phố Nhổn, 80m2, 6,01/06/2022,Tin thường,batdongsan_so_com_vn_1670496132.6707065, 6,,
"3,223 tỷ VNĐ",đức thượng, 100m2,,01/06/2022,Tin thường,batdongsan_so_com_vn_1670496133.3867838,,,
"15,4321 tỷ VNĐ","Đại lộ Thăng long, mễ trì, nam từ liêm,HN", 72m2, 9,31/05/2022,Tin thường,batdongsan_so_com_vn_1670496134.4729974,, 10,
"12,345 tỷ VNĐ",trần duy hưng, 60m2, 6,31/05/2022,Tin thường,batdongsan_so_com_vn_1670496135.3191864,,,
"15,555 tỷ VNĐ",ĐÌNH THÔN, 125m2,,31/05/2022,Tin thường,batdongsan_so_com_vn_1670496136.2130113, 7,,
"15,16 tỷ VNĐ",mỹ đình, 130m2,,29/05/2022,Tin thường,batdongsan_so_com_vn_1670496137.6202583,,,
"8,06 tỷ VNĐ",lê đức thọ, 76m2, 5,29/05/2022,Tin thường,batdongsan_so_com_vn_1670496138.8513737, 5,, 8
"8,06 tỷ VNĐ",MỄ TRÌ THƯỢNG, 120m2,,29/05/2022,Tin thường,batdongsan_so_com_vn_1670496139.8633106, 7,,
"18,686 tỷ VNĐ",xuân phương, 215m2,,28/05/2022,Tin thường,batdongsan_so_com_vn_1670496140.8827791, 17,,
"15,666 tỷ VNĐ",mễ trì thượng, 75m2, 9,27/05/2022,Tin thường,batdongsan_so_com_vn_1670496142.0184717, 5,,
"5,2 tỷ VNĐ","TRẦN BÌNH, MỸ ĐÌNH, NAM TỪ LIÊM, HN", 45m2, 5,27/05/2022,Tin thường,batdongsan_so_com_vn_1670496143.0374196, 4,, 9
"6,2 tỷ VNĐ","trần duy hưng, cầu giấy ,hn", 70m2,,26/05/2022,Tin thường,batdongsan_so_com_vn_1670496143.8906431,,,
4 tỷ VNĐ,MỸ ĐÌNH, 40m2, 6,26/05/2022,Tin thường,batdongsan_so_com_vn_1670496144.9708748, 7,,
"5,668668686 tỷ VNĐ","MỸ ĐÌNH, NAM TỪ LIÊM, HN", 56m2, 5,25/05/2022,Tin thường,batdongsan_so_com_vn_1670496145.9377832, 4,, 9
,"XUÂN PHƯƠNG, NAM TỪ LIÊM, HN", 110m2, 7,25/05/2022,Tin thường,batdongsan_so_com_vn_1670496146.8587918, 5,,
"7,1 tỷ VNĐ","MỸ ĐÌNH, NAM TỪ LIÊM , HN", 80m2,,24/05/2022,Tin thường,batdongsan_so_com_vn_1670496147.8619788, 5,,
"8,8 tỷ VNĐ","LÊ ĐỨC THỌ ,DỊCH VỌNG HẬU, CẦU GIẤY,HN", 60m2, 7,23/05/2022,Tin thường,batdongsan_so_com_vn_1670496148.9265933, 4,,
