price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Lộ giới
4 tỷ VNĐ,"NAM TỪ LIÊM , HN", 40m2, 7, 6, 5,17/05/2022,Tin thường,batdongsan_so_com_vn_1670496171.8937447,
"10,8 tỷ VNĐ","NAM TỪ LIÊ, HN", 95m2, 6, 5,,17/05/2022,Tin thường,batdongsan_so_com_vn_1670496172.8915703,
"12,6 tỷ VNĐ",mễ trì nam từ liêm hn, 96m2, 6, 6,,11/05/2022,Tin thường,batdongsan_so_com_vn_1670496173.8021886,
"8,2 tỷ VNĐ","QUAN HOA, CẦU GIẤY, HN", 99m2, 4, 5, 5,09/05/2022,Tin thường,batdongsan_so_com_vn_1670496174.9161613,
"8,2 tỷ VNĐ","CẦU GIẤY, HN", 100m2, 4, 5, 6,09/05/2022,Tin thường,batdongsan_so_com_vn_1670496176.039597,
"10,2 tỷ VNĐ","cầu giấy , hn", 50m2, 6, 6,,07/05/2022,Tin thường,batdongsan_so_com_vn_1670496177.098405,
"2,6 tỷ VNĐ","Nam từ liêm, hà nội", 32m2, 3, 4,,07/05/2022,Tin thường,batdongsan_so_com_vn_1670496178.0684857,
"8,6 tỷ VNĐ","NAM TỪ LIÊM, HN", 150m2, 13,,,06/05/2022,Tin thường,batdongsan_so_com_vn_1670496179.067927,
15 tỷ VNĐ,"nam từ liêm, hn", 130m2, 8, 8,,05/05/2022,Tin thường,batdongsan_so_com_vn_1670496180.1676338,
"8,6 tỷ VNĐ","HÀM NGHI, CẦU DIỄN,NAM TỪ LIÊM,HN", 90m2, 5, 5, 3,05/05/2022,Tin thường,batdongsan_so_com_vn_1670496181.247779, 5
"7,2 tỷ VNĐ","ĐẠI MÔ, NAM TỪ LIÊM, HN", 100m2, 8,,,04/05/2022,Tin thường,batdongsan_so_com_vn_1670496184.3159769,
10 tỷ VNĐ,"phú mỹ , nam từ liêm, hn", 98m2, 5, 5, 6,03/05/2022,Tin thường,batdongsan_so_com_vn_1670496185.5672462, 6
11 tỷ VNĐ,"LÊ ĐỨC THỌ, CẦU DIỄN, NAM TỪ LIÊM, HN", 98m2, 5, 5, 6,03/05/2022,Tin thường,batdongsan_so_com_vn_1670496186.4981146,
"9,6 tỷ VNĐ","LÊ ĐỨC THỌ, CẦU DIỄN, NAM TỪ LIÊM, HN", 90m2, 4, 5,,02/05/2022,Tin thường,batdongsan_so_com_vn_1670496187.5649905, 10
"9,6 tỷ VNĐ","NGUYỄN CƠ THẠCH, CẦU DIỄN, NAM TỪ LIÊM, HN", 88m2, 4, 6,,02/05/2022,Tin thường,batdongsan_so_com_vn_1670496188.745046, 10
"9,2 tỷ VNĐ","NAM TỪ LIÊM, HN", 90m2,,,,02/05/2022,Tin thường,batdongsan_so_com_vn_1670496189.8632264,
"3,969696969 tỷ VNĐ","CẦU DIỄN , NAM TỪ LIÊM, HN", 65m2, 4,,,02/05/2022,Tin thường,batdongsan_so_com_vn_1670496190.7375326, 10
"6,7 tỷ VNĐ","CẦU GIẤY, HN", 47m2, 5, 6,,01/05/2022,Tin thường,batdongsan_so_com_vn_1670496191.7996335, 10
4 tỷ VNĐ,"VẠN PHÚC , HÀ ĐÔNG", 39m2,,,,01/05/2022,Tin thường,batdongsan_so_com_vn_1670496192.982226,
"7,9 tỷ VNĐ",TRUNG HÒA CẦU GIẤY HN, 73m2, 6, 4, 4,30/04/2022,Tin thường,batdongsan_so_com_vn_1670496193.819043, 5
