price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Hướng
7 tỷ VNĐ,"CẦU GIẤY, HN", 73m2,29/04/2022,Tin thường,batdongsan_so_com_vn_1670496215.2093923,,,,,
"8,9 tỷ VNĐ","BIÊN GIANG, HÀ ĐÔNG", 222m2,29/04/2022,Tin thường,batdongsan_so_com_vn_1670496216.2413979, 15, 6,,,
10 tỷ VNĐ,VĂN QUÁN HÀ ĐÔNG HN, 85m2,29/04/2022,Tin thường,batdongsan_so_com_vn_1670496217.221084, 5, 8, 5, 5,
"11,5 tỷ VNĐ","VĂN QUÁN,HÀ ĐÔNG", 85m2,28/04/2022,Tin thường,batdongsan_so_com_vn_1670496218.4630167, 5, 8, 5, 5,
"19,6 tỷ VNĐ","hồ tùng mậu, mai dịch", 120m2,28/04/2022,Tin thường,batdongsan_so_com_vn_1670496219.5512438, 5, 6,,,
"16,66 tỷ VNĐ","MỸ ĐÌNH, HN", 120m2,28/04/2022,Tin thường,batdongsan_so_com_vn_1670496220.6485415, 5, 6, 7,,
"6,9 tỷ VNĐ",NAM TỪ LIÊM. HN, 126m2,27/04/2022,Tin thường,batdongsan_so_com_vn_1670496221.7788534, 7, 5,,,
"8,9 tỷ VNĐ","Cầu Giấy , Hà Nội", 73m2,26/04/2022,Tin thường,batdongsan_so_com_vn_1670496223.3978539,,,,,
21 tỷ VNĐ,"MỸ ĐÌNH, HN", 100m2,25/04/2022,Tin thường,batdongsan_so_com_vn_1670496224.5493937, 7, 10, 8,,
"11,5 tỷ VNĐ","CẦU GIẤY , HÀ NỘI", 40m2,24/04/2022,Tin thường,batdongsan_so_com_vn_1670496225.6689854,, 8, 4,,
3 tỷ VNĐ,"VẠN PHÚC, HÀ ĐÔNG, HN", 41m2,22/04/2022,Tin thường,batdongsan_so_com_vn_1670496226.6297476, 4,, 4, 4,
8 tỷ VNĐ,"VĂN QUÁN, HÀ ĐÔNG, HN", 59m2,22/04/2022,Tin thường,batdongsan_so_com_vn_1670496227.7362292, 5, 8, 5, 5,
"4,5 tỷ VNĐ","VĂN QUÁN , HÀ ĐÔNG", 49m2,21/04/2022,Tin thường,batdongsan_so_com_vn_1670496228.6517174,,, 4, 4,
"6,9 tỷ VNĐ","TRẦN DUY HƯNG, CẦU GIẤY, HN", 72m2,20/04/2022,Tin thường,batdongsan_so_com_vn_1670496230.4015326, 4,, 4, 7,
4 tỷ VNĐ,"nguyễn trãi, hà đông, hn", 40m2,19/04/2022,Tin thường,batdongsan_so_com_vn_1670496233.4044137, 3, 8, 4, 3,
32 tỷ VNĐ,"DƯƠNG NỘI, HÀ ĐÔNG, HN", 225m2,18/04/2022,Tin thường,batdongsan_so_com_vn_1670496234.5467625, 9, 20, 4, 3,
"11,5 tỷ VNĐ","TỪ LIÊM, HN", 140.2m2,18/04/2022,Tin thường,batdongsan_so_com_vn_1670496235.593547, 27, 15, 4, 3,
86 tỷ VNĐ,"Cầu Giấy, HN", 265m2,14/04/2022,Tin thường,batdongsan_so_com_vn_1670496236.6138043, 6, 10, 2, 2, Đông
"4,2 tỷ VNĐ","HÀ ĐÔNG , HN", 50m2,13/04/2022,Tin thường,batdongsan_so_com_vn_1670496237.6876044, 4, 8, 4, 3,
16 tỷ VNĐ,"cầu giấy, hn", 50m2,12/04/2022,Tin thường,batdongsan_so_com_vn_1670496238.9077575, 4, 10, 6, 4,
