price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet
61 tỷ VNĐ,QUANCAUGIAY, 150m2,09/01/2021,Tin thường,batdongsan_so_com_vn_1670496587.344007,,,,
210 tỷ VNĐ,QUANCAUGIAY, 540m2,09/01/2021,Tin thường,batdongsan_so_com_vn_1670496588.4159503,,,,
35 tỷ VNĐ,quan thanh xuan, 115m2,26/05/2021,Tin thường,batdongsan_so_com_vn_1670496589.4265366,,,,
250 tỷ VNĐ,quan cau giay, 548m2,26/05/2021,Tin thường,batdongsan_so_com_vn_1670496590.442757,,,,
36 tỷ VNĐ,quan cau giay, 100m2,26/05/2021,Tin thường,batdongsan_so_com_vn_1670496596.351496,,,,
34 tỷ VNĐ,quan nam tu niem, 127m2,26/05/2021,Tin thường,batdongsan_so_com_vn_1670496597.6479754,,,,
18 tỷ VNĐ,Nguyễn Khang Cầu Giấy, 54m2,09/09/2022,Tin thường,batdongsan_so_com_vn_1670496598.5956414, 6, 7, 6, 7
200 tỷ VNĐ,QUANCAUGIAY, 610m2,09/01/2021,Tin thường,batdongsan_so_com_vn_1670496599.654005,,,,
60 tỷ VNĐ,QUANCAUGIAY, 143m2,09/01/2021,Tin thường,batdongsan_so_com_vn_1670496600.5941277,,,,
43 tỷ VNĐ,QUANCAUGIAY, 100m2,09/01/2021,Tin thường,batdongsan_so_com_vn_1670496601.5397804,,,,
210 tỷ VNĐ,QUANNAMTUNIEM, 390m2,09/01/2021,Tin thường,batdongsan_so_com_vn_1670496602.7035074,,,,
128 tỷ VNĐ,QUANCAUGIAY, 238m2,09/01/2021,Tin thường,batdongsan_so_com_vn_1670496603.799573,,,,
46 tỷ VNĐ,quan thanh xuan, 100m2,26/05/2021,Tin thường,batdongsan_so_com_vn_1670496604.843458,,,,
"16,96 tỷ VNĐ",54 Nguyễn Thị ĐỊnh, 39m2,09/09/2022,Tin thường,batdongsan_so_com_vn_1670496605.9516666, 4, 6, 4, 5
"3,4 tỷ VNĐ","hoàng mai, hà nội", 50m2,09/09/2022,Tin thường,batdongsan_so_com_vn_1670496606.7727132,,,,
"1,55 tỷ VNĐ",Đường Tỉnh Lộ 131 phường Mai Đình, 120m2,09/09/2022,Tin thường,batdongsan_so_com_vn_1670496607.8595762, 5,,,
50 tỷ VNĐ,quan thanh xuan, 115m2,07/11/2021,Tin thường,batdongsan_so_com_vn_1670496608.8067431,,,,
"46,5 tỷ VNĐ",quan cau giay, 158m2,07/11/2021,Tin thường,batdongsan_so_com_vn_1670496609.741471,,,,
75 tỷ VNĐ,quancau giay, 185m2,07/11/2021,Tin thường,batdongsan_so_com_vn_1670496610.5444567,,,,
200 tỷ VNĐ,quan hai ba trung, 230m2,07/11/2021,Tin thường,batdongsan_so_com_vn_1670496611.6012151,,,,
