price,address,Diện tích,Mặt tiền,Số tầng,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Hướng,Lộ giới
300 tỷ VNĐ,Lương Ngọc Quyến Hoàn Kiếm Hà Nội, 306m2, 9, 6,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497730.5572152,,,,
"2,65 tỷ VNĐ","Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội", 33m2, 4, 5,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497731.5142326, 3,,,
"3,8 tỷ VNĐ","Hoa Lâm, Việt Hưng", 44.5m2, 3,,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497732.5344663,,,,
,Khương Hạ, 50m2,, 5,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497733.661476,,,,
"9,5 tỷ VNĐ",x6/8x Đàm Quang Trung, 62m2, 6, 6,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497734.7316134, 4, 4,,
"4,7 tỷ VNĐ","vũ trọng phụng, thanh xuân, hà nội.", 60m2,, 4,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497735.8226955, 4, 3,,
"5,2 tỷ VNĐ","hoàng mai, hà nội", 60m2,,,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497736.8216577,,,,
"8,35 tỷ VNĐ",hà nội, 92m2,,,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497740.3546345,,,,
"6,4 tỷ VNĐ",Khương Trung, 48m2,, 5,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497742.1307313,,,,
"6,4 tỷ VNĐ",la khê, 52m2, 4, 4,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497743.1101136, 4, 3,,
"7,9 tỷ VNĐ",mỗ lao, 46m2, 4, 5,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497744.4684808, 6, 4,,
866 triệu VNĐ,"Tân Phúc, ân thi , hưng yên", 80m2, 5,,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497745.4947376,,, Đông nam, 7
"3,55 tỷ VNĐ",Đường Tân Mai phường Tân Mai, 36m2, 3, 5,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497746.58729, 3, 4,, 2
12 tỷ VNĐ,Đường Lương Khánh Thiện phường Tân Mai, 110m2, 5, 5,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497747.541235, 6, 4,, 9
,gia lâm hà nội, 90m2,,,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497748.4816792,,,,
"6,4 tỷ VNĐ",Vũ Tông Phan, 50m2,, 5,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497749.548118,,,,
12 tỷ VNĐ,Đường Tân Mai phường Tân Mai, 105m2, 5, 5,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497750.736402, 6, 4,, 9
866 triệu VNĐ,cầu giấy hà nội, 80m2, 5,,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497751.9036555,,,, 6
"1,7 tỷ VNĐ",Tổ 10- quang minh- mê linh- hà nội, 64m2,,,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497752.7793398,,,,
14 tỷ VNĐ,Đường Tôn Thất Thiệp phường Điện Biên, 55m2, 4, 6,03/09/2022,Tin thường,batdongsan_so_com_vn_1670497754.029971, 5, 5,, 4
