price,address,Diện tích,Mặt tiền,Lộ giới,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet
866 triệu VNĐ,cầu giấy hà nội, 80m2, 5, 6,01/09/2022,Tin thường,batdongsan_so_com_vn_1670497997.8620777,,,
"3,5 tỷ VNĐ","Nguyễn Văn Linh, Long Biên HN", 50m2,,,01/09/2022,Tin thường,batdongsan_so_com_vn_1670497998.8202095,,,
"4,85 tỷ VNĐ",Đường Bùi Xương Trạch phường Khương Đình, 43m2, 6, 3,01/09/2022,Tin thường,batdongsan_so_com_vn_1670497999.8894007, 6, 5, 5
8 tỷ VNĐ,Đường Ngọc Lâm phường Ngọc Lâm, 94m2, 6, 1,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498001.0207481, 3, 3, 3
"3,3 tỷ VNĐ","Nguyễn Văn Linh, Long Biên HN", 42m2,,,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498005.9531472,,,
"3,39 tỷ VNĐ","Nguyễn Văn Linh, Long Biên HN", 40m2,,,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498006.7520106,,,
,gia lâm hà nội, 90m2,,,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498007.7453449,,,
"5,3 tỷ VNĐ","hoàng mai , hà nội", 57m2,,,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498008.5995138,,,
,chu phan- mê linh- hà nội, 100m2,,,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498009.4675205,,,
101 tỷ VNĐ,Xuân Đỉnh Bắc Từ Liêm Hà Nội, 305m2, 16,,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498010.681725, 4, 3, 4
"7,9 tỷ VNĐ","Đường Vĩnh Hồ, Phường Ngã Tư Sở", 50m2, 5, 3,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498011.733951, 5, 4, 4
,chu phan- mê linh- hà nội, 117m2,,,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498012.675395,,,
"7,9 tỷ VNĐ","Đường Vĩnh Hồ, Phường Ngã Tư Sở", 50m2, 5, 3,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498013.8473651, 5, 4, 4
9 tỷ VNĐ,Đường Ngô Thì Nhậm phường Quang Trung, 65m2, 5, 15,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498014.877258, 5, 4, 5
4 tỷ VNĐ,Ngõ 212 phùng hưng phúc la, 30m2, 3, 10,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498016.211976, 5, 4, 4
"13,8 tỷ VNĐ",Đường Huỳnh Thúc Kháng phường Láng Hạ, 55m2,, 8,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498017.276131, 4, 4, 3
"1,6 tỷ VNĐ",Đường Thành Công phường Thành Công, 60m2, 6, 21,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498018.3882055, 1, 2, 2
"2,7 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Tây Mỗ, 66m2,, 1,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498019.4338026, 22, 2,
"4,8 tỷ VNĐ",Đường Ngọc Hà phường Ngọc Hà, 45m2, 5, 4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498020.3244228, 4, 4, 4
"4,7 tỷ VNĐ",Đường Cao Xá 2 phường Đức Thượng, 65m2, 5,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498021.2579298,,,
