price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Lộ giới,Hướng
"8,95 tỷ VNĐ",x6/16 Ngọc Lâm, 94m2, 6, 3, 2, 2,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498090.158667,,
"1,78 tỷ VNĐ",Đường Đình Trung phường Xuân Nộn, 56m2, 5,,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498091.1439958,,
"5,4 tỷ VNĐ",Nhà Kim Giang - Thanh Xuân, 52m2, 3, 6,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498092.1865506,,
117 tỷ VNĐ,Đường Nguyệt Quế 7 phường Phúc Lợi, 390m2, 37, 3, 8, 8,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498093.0612366, 20,
"3,9 tỷ VNĐ","Trâu Quỳ, Gia Lâm, Hà Nội", 54m2,,,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498094.1781948,,
120 triệu VNĐ/m2,Quận Nam Từ Liêm, 55m2,,,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498098.8271646,,
24 triệu VNĐ/m2,"Khu Tập Thể Xi Măng Sài Sơn, Quốc Oai, Hà Nội", 68.4m2, 4,,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498100.7670643,, Nam
"4,7 tỷ VNĐ",Nguyễn Trãi Thanh Xuân Hà Nội., 61m2,, 4, 4, 3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498101.8053217,,
21 triệu VNĐ,Đường Quốc Lộ 3 phường Mai Đình, 125m2, 5,,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498103.2139063,,
"20,5 tỷ VNĐ",Đường Phan Bội Châu phường Trần Hưng Đạo, 25m2, 5, 5, 3, 4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498104.6059587, 7,
3 tỷ VNĐ,Đường Phú Minh phường Minh Khai, 40m2, 3, 4, 4, 4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498105.9318383, 3,
"3,1 tỷ VNĐ",Đình Xuyên, 42m2,,,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498109.8014693,,
"3,9 tỷ VNĐ",Văn Phú- Hà Đông, 38m2,, 5,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498111.050134,,
"3,9 tỷ VNĐ",Lê Trọng Tấn- Hà Đông, 38m2,, 5,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498112.2239919,,
"7,15 tỷ VNĐ",Kiến Hưng- Hà Đông, 50m2,, 4,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498113.0836935,,
"7,15 tỷ VNĐ",Trần Phú- Hà Đông, 50m2,, 4,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498114.3662894,,
"5,8 tỷ VNĐ",Đường Phạm Hùng phường Dịch Vọng Hậu, 50m2, 4, 5, 5, 4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498115.4054854, 3,
"14,95 tỷ VNĐ","Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội", 145m2, 9, 4, 4,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498116.4536822,,
"19,8 tỷ VNĐ",Đường Tam Khương phường Khương Thượng, 100m2, 5, 7, 10, 6,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498117.651481, 4,
866 triệu VNĐ,"ân thi, hưng yên.", 75m2, 4,,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498118.7355793, 7, Đông nam
