price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới
"9,2 tỷ VNĐ",Ao Sen- Hà Đông, 40m2, 5,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498263.1796827,,,,
9 tỷ VNĐ,Trần Phú- Hà Đông, 40m2, 5,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498264.0523493,,,,
"5,7 tỷ VNĐ",2x7/34/x Ngọc Thụy, 55m2, 6,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498265.0679882, 4, 6, 4,
"8,2 tỷ VNĐ","Quan Hoa, Cầu Giấy, Hà Nội", 59m2, 5,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498266.298746,, 6, 4,
"7,8 tỷ VNĐ","Nghĩa Đô, Cầu Giấy, Hà Nội", 82m2, 6,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498267.3281536,, 4, 4,
"4,3 tỷ VNĐ","Đội Cấn, Liễu Giai, Ba Đình, Hà Nội", 35m2, 6,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498268.6139054,, 4, 4,
"2,3 tỷ VNĐ",Đường Thanh Am phường Đức Giang, 75m2, 1,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498269.5384333, 4,,, 2
,Đại thịnh- mê linh- hà nội, 100m2,,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498270.621891,,,,
"3,7 tỷ VNĐ",Đường Giải Phóng phường Giáp Bát, 35m2, 5,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498271.5199914, 4, 3, 4, 2
14 tỷ VNĐ,Đường Vạn Bảo phường Liễu Giai, 75m2, 5,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498272.740729, 4, 5, 5, 6
,Văn khê- mê linh- hà nội, 92m2,,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498273.9595451,,,,
"5,25 tỷ VNĐ",Đường Thịnh Quang phường Thịnh Quang, 52m2,,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498279.7644508, 4,,, 5
"3,7 tỷ VNĐ","Cổ Điển B, Thanh Trì HN", 34m2,,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498280.6508522,,,,
,"Cổ Điển A, Thanh Trì HN", 42m2,,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498281.5425224,,,,
55 tỷ VNĐ,Võ Chí Công Cầu Giấy, 175m2, 9,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498282.7366703,,,,
"2,5 tỷ VNĐ",Đường Long Biên phường Long Biên, 46m2, 2,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498283.8287501, 3, 3, 3, 3
"2,55 tỷ VNĐ",Đường Tứ Liên phường Tứ Liên, 36m2, 5,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498285.0745158, 4, 3, 4, 4
11 tỷ VNĐ,Lê Trọng Tấn, 58m2, 7,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498286.1870449,,,,
"1,596 triệu VNĐ",Đường Đại Lộ Thăng Long phường Đại Mỗ, 35m2, 3,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498287.125533, 9, 1, 1, 1
"4,3 tỷ VNĐ",x8/13 TuDdinhf, 50m2, 5,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498288.062033, 5, 3, 3,
