price,address,Diện tích,Ngày đăng,Loại tin,id,Số tầng,Hướng,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet
"35,5 tỷ VNĐ",viẹt Hưng long biên, 80m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498822.62041,,,,,,
"5,1 tỷ VNĐ",Tô Hiệu- Hà Đông, 48m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498824.05158, 4,,,,,
"5,05 tỷ VNĐ",Quang Trung- Hà Đông, 49m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498825.1576223, 4,,,,,
"3,9 tỷ VNĐ","Tứ Hiệp, Thanh Trì HN", 45m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498826.3185225,,,,,,
,Hà Đông Ha Nội, 80m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498827.2071846, 1, Đông, 5, 61,,
866 triệu VNĐ,"Tân Phúc, Ân Thi, Hưng Yên", 75m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498828.1167517,,, 4, 7,,
62 tỷ VNĐ,Đường Chu Huy Mân phường Phúc Đồng, 220m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498829.4751613, 4,, 10, 21, 4, 4
"11,9 tỷ VNĐ","Đàm Quang Trung, Long Biên", 80m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498831.2837412,,,,,,
"2,95 tỷ VNĐ","Chính chủ bán nhà vị trí đẹp tại Ngọc Trì, P.Thạch Bàn, Long Biên, 2,95 tỷ; 0974553596", 46m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498832.1155176,,,,,,
"5,05 tỷ VNĐ","Lương Khánh Thiện, Hoàng Mai, Hà Nội", 56m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498832.9982483, 3,, 3,, 2,
"2,85 tỷ VNĐ",x43/6/8, 31m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498835.073434, 5,, 4,, 3, 3
866 triệu VNĐ,phường láng hạ - quận đống đa, 80m2,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498837.3941946,,, 5, 5,,
"5,6 tỷ VNĐ",Đường Đội cấn phường Đội Cấn, 56m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498838.9165733, 4,, 7, 3, 5, 4
6 tỷ VNĐ,Hoàng Đạo Thành, 44m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498840.432204, 5,,,,,
"10,8 tỷ VNĐ","NGÕ CHƠ KHÂM THIÊN, ĐỐNG ĐA, HÀ NỘI", 52m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498841.5928679, 4,, 3,,,
"5,5 tỷ VNĐ","hoàng mai , hà nội", 78m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498842.5765998,,,,,,
"8,6 tỷ VNĐ",Quận Cầu Giấy, 60m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498843.847577,,,,,,
"49,5 tỷ VNĐ","HOÀNG CẦU, ĐỐNG ĐA, HÀ NỘI", 150m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498844.8737106,,, 7,,,
6 tỷ VNĐ,Hà Nội, 52m2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498845.6861906,,,,,,
"9,1 tỷ VNĐ","Thái Hà, Hà Nội", 60m2,07/07/2021,Tin thường,batdongsan_so_com_vn_1670498846.8759923, 4,, 4, 3, 4, 3
