price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet
"3,75 tỷ VNĐ","Đường Bồ Đề, Bồ Đề, Long Biên", 34m2, 6, 3, 5,25/11/2022,Tin thường,batdongsan_so_com_vn_1670443990.5038598,,,
"8,65 tỷ VNĐ",Chính chủ cần bán gấp nhà ngõ phố Hoàng Sâm Đường 800A  Phùng Chí Kiên Nghĩa Đô Cầu Giấy dt 35 m2 giá 8.95 tỷ, 35m2,, 6, 7,23/11/2022,Tin thường,batdongsan_so_com_vn_1670443992.5175872, Nam,,
"2,1 tỷ VNĐ",iec tứ hiệp, 53m2,,,,25/11/2022,Tin thường,batdongsan_so_com_vn_1670443994.7640576,,,
"4,5 tỷ VNĐ",hà nội, 90m2,,,,25/11/2022,Tin thường,batdongsan_so_com_vn_1670443996.941852,, 3, 2
"5,8 tỷ VNĐ","Đường Nguyễn Văn Cừ, Gia Thụy, Long Biên", 40m2,, 4, 4,25/11/2022,Tin thường,batdongsan_so_com_vn_1670443999.153269,, 3,
"21,5 tỷ VNĐ","Đường Hàng Bông, Hàng Bông, Hoàn Kiếm", 32m2,, 24, 3,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444001.600277,, 3,
4 tỷ VNĐ,"Đường Tôn Thất Tùng, Khương Thượng, Đống Đa", 40m2, 5, 3, 4,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444003.8224514,, 2, 2
600 triệu VNĐ,Quốc Lộ 21 Cổ Đông Sơn Tây Hà Nội, 61m2,,,,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444006.1747937,,,
"4,7 tỷ VNĐ","Đường Thái Hà, Láng Hạ, Đống Đa", 41m2, 4, 3, 5,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444007.9612727,, 3, 3
3 tỷ VNĐ,au co tay ho ha noi tay ho, 42m2, 6,, 6,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444010.2752602,, 4, 4
"2,5 tỷ VNĐ","Đường Bồ Đề, Bồ Đề, Long Biên", 30m2, 6, 3, 2,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444012.8477,, 2,
"2,7 tỷ VNĐ","Đường Lê Trọng Tấn, Dương Nội, Hà Đông", 117m2,, 1,,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444015.195325,,,
25 tỷ VNĐ,"Đường Ái Mộ, Bồ Đề, Long Biên", 166m2, 11, 8, 7,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444016.994042,, 6, 6
,"Đường Trần Duy Hưng, Trung Hòa, Cầu Giấy", 110m2, 5, 11, 8,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444019.2350807,, 8, 8
3 tỷ VNĐ,Trương Định, 45m2,,,,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444021.294835,,,
"3,4 tỷ VNĐ",Phú diễn, 40m2, 4, 3, 4,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444023.9472535,, 3,
"5,2 tỷ VNĐ","Đường chùa láng, Láng Thượng, Đống Đa", 41m2,, 3, 5,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444026.0730822,, 3,
"5,68 tỷ VNĐ","Đường Lê Trọng Tấn, La Khê, Hà Đông", 60m2,, 3, 4,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444028.3642,, 5, 4
"3,75 tỷ VNĐ","Đường Khương Đình, Hạ Đình, Thanh Xuân", 48m2, 6, 3, 3,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444030.7712126,, 4, 3
6 tỷ VNĐ,"Đường trung kính, Trung Hòa, Cầu Giấy", 40m2,, 3, 5,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444035.2702105,, 3,
