price,address,Diện tích,Mặt tiền,Lộ giới,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Hướng
5 tỷ VNĐ,Hà Trì, 168m2, 10, 2,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498974.9083958,,,,
60 tỷ VNĐ,Nghi Tàm Tây Hồ Hà Nội, 154m2, 8,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498976.3438368, 7, 8, 8,
"3,6 tỷ VNĐ",đường Văn Tiến Dũng, 56m2, 4, 4,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498977.464837, 1, 1, 1,
"5,05 tỷ VNĐ","Tân mai, hoàn mai, hà nội.", 56m2,,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498978.9817803, 3, 2, 2,
"7,99 tỷ VNĐ",Đường Hoàng Hoa Thám phường Ngọc Hà, 200m2, 12, 10,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498980.3471844, 12, 4, 4,
"6,2 tỷ VNĐ",Hà nỘi, 55m2,,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498981.435284,,,,
53 triệu VNĐ/m2,"Đường Bắc Nam, Thị trấn Quốc Oai, Hà Nội", 100m2, 5,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498982.5753534,,,, Nam
866 triệu VNĐ,phường láng hạ - quận đống đa, 80m2, 5, 5,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498983.6803987,,,,
"3,864 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Tây Mỗ, 66m2, 6, 1,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498984.656788, 33, 2, 2,
5 tỷ VNĐ,Cầu Đơ- Hà Đông, 48m2,,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498985.5972736, 4,,,
"5,1 tỷ VNĐ",Trần Phú- Hà Đông, 47m2,,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498986.9078603, 4,,,
11 tỷ VNĐ,Bế Văn Đàn- Hà Đông, 60m2,,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498987.7851102, 5,,,
11 tỷ VNĐ,Chiến Thắng- Hà Đông, 60m2,,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498988.7088661, 5,,,
"9,5 tỷ VNĐ",thai hà, 55m2,,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498989.953818,,,,
"8,5 tỷ VNĐ",thai hà, 50m2,,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498991.4587927,,,,
"1,65 tỷ VNĐ",Đường Vũ Tông Phan phường Khương Đình, 24m2, 3, 5,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498992.7882767, 3, 2, 2,
"14,8 tỷ VNĐ",Đường Thiên Hiền phường Mỹ Đình 1, 50m2, 5, 10,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498997.8063548, 4, 4, 4,
"3,1 tỷ VNĐ",x6/8 Bồ Đề, 31m2, 3,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498998.9153948, 5, 3, 3,
4 tỷ VNĐ,Đường Xuân Thủy phường Xuân Thủy, 46m2, 4, 3,27/08/2022,Tin thường,batdongsan_so_com_vn_1670498999.770101, 5, 3, 3,
"14,2 tỷ VNĐ",Quận Bắc Từ Liêm, 75m2,,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499000.9180312,,,,
