price,address,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Diện tích,Số phòng ngủ,Mặt tiền,Số toilet
"4,5 tỷ VNĐ",Đường Dịch Vọng Hậu phường Dịch Vọng Hậu, 1, 4,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499065.103014,,,,
"2,75 tỷ VNĐ",Thạch Bàn,, 5,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499066.5041542, 31m2, 3,,
"12,6 tỷ VNĐ","Liền kề Văn Khê, Tố Hữu, Hà Đông", 7, 4,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499067.6172552, 83m2, 4, 5, 3
35 triệu VNĐ,Đường Đa Tốn phường Đa Tốn,,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499072.684952, 123m2,, 3,
"12,6 tỷ VNĐ","Tố Hữu, Văn Khê, La Khê, Hà Đông", 7, 4,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499075.283772, 83m2, 3, 5, 3
"3,8 tỷ VNĐ",Đường Đội cấn phường Cống Vị, 1, 4,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499076.2363317, 38m2, 3, 4, 2
"5,05 tỷ VNĐ","tương mai, hoàng mai, hà nội.",,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499077.137036, 56m2,,,
,Thanh lâm- mê linh- hà nội,,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499078.3582098, 73m2,,,
5 tỷ VNĐ,Đường Ngô Gia Tự phường Đức Giang, 5, 3,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499079.7714298, 60m2, 4, 4, 5
,Thanh lâm- mê linh- hà nội,,,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499081.0440989, 80m2,,,
"12,8 tỷ VNĐ",Đường Thái Hà phường Láng Hạ, 6, 6,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499082.015717, 43m2, 4,, 4
"6,1 tỷ VNĐ","Phố Trần Điền, Phường Định Công.", 3, 4,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499083.0779548, 55m2, 4, 5, 4
"6,1 tỷ VNĐ","Phố Trần Điền, Phường ĐỊnh Công", 3, 4,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499084.3855479, 55m2, 4, 5, 4
"5,8 tỷ VNĐ",Đường Trung Kính phường Trung Hòa, 5, 4,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499086.9905815, 50m2, 4, 3, 4
"2,7 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Tây Mỗ, 1, 22,27/08/2022,Tin thường,batdongsan_so_com_vn_1670499088.6537046, 66m2, 2, 6,
"2,75 tỷ VNĐ",Đường Lai Xá phường Trạm Trôi, 8, 5,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499097.6600184, 32m2, 6, 4, 4
"6,5 tỷ VNĐ","đường Trần Cung, Bắc Từ Liêm", 3, 4,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499098.889728, 70m2, 8, 5,
"3,95 tỷ VNĐ",Đường Nguyễn Văn Linh phường Phúc Đồng, 4, 6,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499100.1763902, 35m2, 3, 4, 4
"3,95 tỷ VNĐ",xã Thanh Liệt,,,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499101.212619, 40m2,,,
