price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới
"4,85 tỷ VNĐ","tương mai, hoàng, mai hà nội.", 56m2, 3, 2, 2,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499172.2966852,,
"6,4 tỷ VNĐ",yên lãng, 50m2,,,,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499173.2601087,,
"3,5 tỷ VNĐ",1x2/68 Ngọc Thụy, 30m2, 1, 1, 1,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499174.3870943, 4,
"1,62 tỷ VNĐ",Phúc Lợi, 58m2,, 2, 2,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499175.3231854,,
"15,45 tỷ VNĐ",Lê Văn Lương - Thanh  Xuân, 45m2, 7, 5, 6,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499176.4671643,,
"4,8 tỷ VNĐ",Đường Cầu Giấy QUan Hoa Hà Nội, 42m2,,,,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499180.8497488,,
"3,85 tỷ VNĐ","Triều Khúc, Tân Triều, Thanh Trì", 30m2, 4, 3, 3,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499182.0360966, 4, 2
"6,8 tỷ VNĐ",Đường Trần Đăng Ninh phường Quang Trung, 44m2, 1, 2, 1,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499183.0680084, 5, 15
"5,7 tỷ VNĐ",Đường Đầm Trấu  phường Bạch Đằng, 40m2, 5, 5, 5,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499184.3963482, 5, 5
"2,527 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Tây Mỗ, 52m2,, 2, 1,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499185.3828247, 5, 50
,Đường Đại Lộ Thăng Long phường Tây Mỗ, 65m2, 5, 15, 2,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499186.344704, 5, 20
31 tỷ VNĐ,Nghi Tàm Tây Hồ, 142m2, 6, 5, 5,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499187.4210434, 5,
"5,4 tỷ VNĐ",Đường Vương Thừa Vũ phường Khương Trung, 30m2, 5, 4, 4,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499188.759405, 6, 8
"3,98 tỷ VNĐ",Đường Kim Ngưu phường Thanh Lương, 35m2, 5, 4, 5,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499190.278343, 4, 3
"3,75 tỷ VNĐ",Đường Lê Quang Đạo phường Phú Đô, 30m2, 5, 4, 3,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499193.584542, 4, 4
"6,8 tỷ VNĐ",Đường Đàm Quang Trung phường Long Biên, 38m2, 6, 3, 4,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499194.6865942, 3, 4
17 tỷ VNĐ,"Trần Duy Hưnng, Cầu Giấy, Hà Nội", 69m2, 5, 4, 4,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499195.7976248,,
"9,8 tỷ VNĐ",Đường Nguyễn Trãi phường Khương Đình, 70m2, 4, 4, 3,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499196.88583, 6, 20
"8,5 tỷ VNĐ",Đường Mạc Thái Tổ phường Yên Hòa, 45m2,,,,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499197.965905,, 1
4 tỷ VNĐ,Đường Lê Đức Thọ phường Mỹ Đình 2, 36m2, 5, 4, 4,26/08/2022,Tin thường,batdongsan_so_com_vn_1670499199.027067, 4, 2
