price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Số toilet
"3,5 tỷ VNĐ","đào tấn, ba đình, hà nội", 39m2, 3, 5, 4, 4,28/04/2022,Tin thường,batdongsan_so_com_vn_1670499298.930916,
3 tỷ VNĐ,kim quan Long biên, 53m2, 4, 3,,,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499300.1815705,
"5,7 tỷ VNĐ",xã đàn, 50m2,,,,,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499301.3135438,
"3,4 tỷ VNĐ",Đường Việt Hưng phường Việt Hưng, 36m2, 3, 2, 5, 3,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499302.5422585, 3
"3,3 tỷ VNĐ","Long Biên, Hà Nội", 40m2, 4, 2, 4, 4,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499303.9185767, 3
"7,5 tỷ /tháng",xã đàn, 50m2,,,,,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499305.4634926,
12 tỷ VNĐ,Đường Trường Lâm phường Đức Giang, 150m2, 4, 10, 2, 3,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499306.3979468, 3
"5,5 tỷ VNĐ",xã đàn 2, 50m2,,,,,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499307.8660212,
"7,4 tỷ VNĐ",xã đàn, 40m2,,,,,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499309.4039085,
"6,6 tỷ VNĐ",la khê, 48m2, 4,, 4, 4,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499311.62497, 3
"4,8 tỷ VNĐ","Ngô Quyền, Hà Đông, Hà Nội", 40m2, 5, 5, 4, 4,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499313.184698,
4 tỷ VNĐ,Đường Lê Ngọc Hân phường Ngô Thì Nhậm, 35m2, 5, 1,,,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499314.469567,
"5,15 tỷ VNĐ","tương mai, hoàng mai, hà nội.", 56m2,,, 3, 2,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499315.4878874, 2
76 tỷ VNĐ,Phùng Chí Kiên Cầu Giấy, 184m2, 8,, 4, 4,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499316.7835298, 4
"12,5 tỷ VNĐ",Long Biên Hà Nội, 100m2, 4, 7, 3, 3,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499321.5566602,
"6,1 tỷ VNĐ","Trần Phú, Hà Đông, Hà Nội", 70m2, 7, 3, 2, 3,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499322.7146058,
"8,6 tỷ VNĐ",văn quán, 50m2, 4,, 5, 6,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499323.9543104, 4
"4,8 tỷ VNĐ",Đường Trần Thái Tông phường Dịch Vọng Hậu, 65m2, 4, 2, 2, 2,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499325.1251218, 2
"55,5 triệu VNĐ",Đường Cao Lỗ phường Uy Nỗ, 66m2, 4,,,,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499326.3421996,
"4,5 tỷ VNĐ",Đường 1 phường Thạch Bàn, 45m2, 5, 5, 4, 4,25/08/2022,Tin thường,batdongsan_so_com_vn_1670499327.320741, 4
